Title                                                                           - Score - Year - Num Eps            - Duration              - Genre(s)                                                                            - Link
Chibi Maruko-chan Movie                                                         - 7.32  - 1990 - 1 episode(s)       - 1 hr. 33 min.         - Comedy, School, Shoujo                                                              - https://myanimelist.net/anime/3203
Chibikko Kamu no Bouken                                                         - 6.40  - 1976 - 1 episode(s)       - 1 hr. 5 min.          - Adventure, Kids                                                                     - https://myanimelist.net/anime/24923
Children Record                                                                 - 6.97  - 2012 - 2 episode(s)       - 3 min. per ep.        - Music                                                                               - https://myanimelist.net/anime/30903
Chingou Muchabee                                                                - 6.57  - 1971 - 26 episode(s)      - 30 min. per ep.       - Adventure, Comedy                                                                   - https://myanimelist.net/anime/17457
Chironup no Kitsune                                                             - 6.70  - 1987 - 1 episode(s)       - 1 hr. 12 min.         - Drama                                                                               - https://myanimelist.net/anime/17689
Chou Kidou Densetsu DinaGiga                                                    - 5.09  - 1998 - 2 episode(s)       - 28 min. per ep.       - Mecha, Sci-Fi                                                                       - https://myanimelist.net/anime/2310
Choujikuu Kidan Southern Cross                                                  - 6.70  - 1984 - 23 episode(s)      - 23 min. per ep.       - Action, Sci-Fi, Drama, Mecha                                                        - https://myanimelist.net/anime/4503
Choujuu Kishin Dancougar: God Bless Dancougar                                   - 6.62  - 1987 - 1 episode(s)       - 1 hr. 20 min.         - Action, Mecha, Sci-Fi                                                               - https://myanimelist.net/anime/5266
City Hunter 3                                                                   - 7.93  - 1989 - 13 episode(s)      - 24 min. per ep.       - Action, Comedy, Mystery, Shounen                                                    - https://myanimelist.net/anime/1472
Clannad Movie                                                                   - 7.32  - 2007 - 1 episode(s)       - 1 hr. 33 min.         - Drama, Romance, Fantasy, School                                                     - https://myanimelist.net/anime/1723
Cleopatra                                                                       - 5.81  - 1970 - 1 episode(s)       - 1 hr. 53 min.         - Sci-Fi, Hentai, Historical                                                          - https://myanimelist.net/anime/2755
Crayon Shin-chan Movie 03: Unkokusai no Yabou                                   - 7.11  - 1995 - 1 episode(s)       - 1 hr. 36 min.         - Sci-Fi, Comedy, Historical, Seinen                                                  - https://myanimelist.net/anime/6217
Crayon Shin-chan Movie 14: Densetsu wo Yobu Odore! Amigo!                       - 6.82  - 2006 - 1 episode(s)       - 1 hr. 30 min.         - Slice of Life, Comedy, Ecchi, School, Seinen                                        - https://myanimelist.net/anime/8366
Crayon Shin-chan Movie 25: Shin-chan Shuurai! Uchuujin Shiriri                  - 7.05  - 2017 - 1 episode(s)       - 1 hr. 45 min.         - Comedy, Seinen                                                                      - https://myanimelist.net/anime/34244
Cutey Honey F                                                                   - 6.64  - 1997 - 39 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Magic, Romance, Sci-Fi, Shoujo                           - https://myanimelist.net/anime/1853
Dark                                                                            - 5.59  - 2000 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                              - https://myanimelist.net/anime/3393
Defend Love                                                                     - 5.99  - 2009 - 1 episode(s)       - 5 min.                - Adventure, Fantasy, Magic, Mecha, Romance, Super Power, Supernatural, Music, Sci-Fi - https://myanimelist.net/anime/7953
Denpa Onna to Seishun Otoko                                                     - 7.27  - 2011 - 12 episode(s)      - 24 min. per ep.       - Sci-Fi, Slice of Life, Comedy                                                       - https://myanimelist.net/anime/9379
Detective Conan Movie 10: Requiem of the Detectives                             - 8.21  - 2006 - 1 episode(s)       - 1 hr. 51 min.         - Adventure, Police, Comedy, Mystery, Shounen                                         - https://myanimelist.net/anime/1506
Detective Conan Movie 21: The Crimson Love Letter                               - 7.90  - 2017 - 1 episode(s)       - 1 hr. 51 min.         - Action, Mystery, Historical, Police, Drama, Romance                                 - https://myanimelist.net/anime/34430
Detective Conan OVA 06: Follow the Vanished Diamond! Conan & Heiji vs. Kid!     - 7.53  - 2006 - 1 episode(s)       - 23 min.               - Police, Comedy, Mystery, Shounen                                                    - https://myanimelist.net/anime/1368
Diamond no Ace: Second Season OVA                                               - 7.57  - 2016 - 2 episode(s)       - 24 min. per ep.       - Comedy, Sports, School, Shounen                                                     - https://myanimelist.net/anime/34349
Dirty Pair                                                                      - 7.21  - 1985 - 24 episode(s)      - 25 min. per ep.       - Adventure, Comedy, Police, Sci-Fi                                                   - https://myanimelist.net/anime/424
Doraemon (2005) Specials                                                        - 6.32  - 2005 - 59 episode(s)      - Unknown               - Comedy, Seinen                                                                      - https://myanimelist.net/anime/35686
Doraemon Movie 01: Nobita no Kyouryuu                                           - 7.32  - 1980 - 1 episode(s)       - 1 hr. 32 min.         - Adventure, Comedy                                                                   - https://myanimelist.net/anime/3727
Doraemon Movie 07: Nobita to Tetsujin Heidan                                    - 7.46  - 1986 - 1 episode(s)       - 1 hr. 40 min.         - Adventure, Comedy, Fantasy, Kids, Shounen                                           - https://myanimelist.net/anime/2665
Dorimogu Daa!!                                                                  - 6.60  - 1986 - 49 episode(s)      - 30 min. per ep.       - Adventure, Fantasy, Kids                                                            - https://myanimelist.net/anime/6771
Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!                           - 6.06  - 1999 - 1 episode(s)       - 24 min.               - Comedy, Sci-Fi, Shounen                                                             - https://myanimelist.net/anime/30450
Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!                                 - 6.88  - 1989 - 1 episode(s)       - 41 min.               - Action, Sci-Fi, Adventure, Comedy, Fantasy, Shounen                                 - https://myanimelist.net/anime/894
Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru       - 7.50  - 1995 - 1 episode(s)       - 51 min.               - Action, Sci-Fi, Adventure, Comedy, Fantasy, Shounen                                 - https://myanimelist.net/anime/906
Dream Hunter Rem                                                                - 6.15  - 1985 - 4 episode(s)       - 40 min. per ep.       - Mystery, Magic, Ecchi                                                               - https://myanimelist.net/anime/4003
