Title                                                                                         - Score - Year - Num Eps            - Duration             - Genre(s)                                                                              - Link
Daitai 3-bu de Wakaru .hack History                                                           - 6.18  - 2017 - 1 episode(s)       - 5 min.               - Game, Comedy                                                                          - https://myanimelist.net/anime/36646
Dekakute Ecchi na Ore no Ane                                                                  - 7.10  - 2013 - 1 episode(s)       - 28 min.              - Hentai                                                                                - https://myanimelist.net/anime/21001
Detective Conan Movie 17: Private Eye in the Distant Sea                                      - 7.87  - 2013 - 1 episode(s)       - 1 hr. 50 min.        - Adventure, Comedy, Mystery, Police, Shounen                                           - https://myanimelist.net/anime/14735
Digimon Frontier: Ornismon Fukkatsu!!                                                         - 6.99  - 2002 - 1 episode(s)       - 40 min.              - Adventure, Comedy, Drama, Fantasy, Shounen                                            - https://myanimelist.net/anime/3031
Dirty Pair no Ooshoubu: Nolandia no Nazo                                                      - 6.57  - 1985 - 1 episode(s)       - 55 min.              - Action, Sci-Fi, Adventure, Comedy, Police                                             - https://myanimelist.net/anime/1794
Dokidoki Gakuen Kessen!! Youki Daimashiro                                                     - 4.50  - 1988 - 1 episode(s)       - 10 min.              - Action, Fantasy, Magic                                                                - https://myanimelist.net/anime/19437
Dokkaebi Bangmang-I                                                                           - 4.67  - 1986 - 1 episode(s)       - 1 hr.                - Action, Demons, Shounen                                                               - https://myanimelist.net/anime/18325
Donyatsu Specials                                                                             - 5.80  - 2013 - 2 episode(s)       - 2 min. per ep.       - Comedy, Sci-Fi, Seinen                                                                - https://myanimelist.net/anime/26079
Doubutsu Kankyou Kaigi                                                                        - 5.54  - 2010 - 20 episode(s)      - 5 min. per ep.       - Kids                                                                                  - https://myanimelist.net/anime/8478
Doubutsu Takarajima                                                                           - 6.60  - 1971 - 1 episode(s)       - 1 hr. 15 min.        - Adventure                                                                             - https://myanimelist.net/anime/3842
Doukyuusei (Movie)                                                                            - 8.44  - 2016 - 1 episode(s)       - 1 hr.                - Slice of Life, Romance, School, Shounen Ai                                            - https://myanimelist.net/anime/30346
Douluo Dalu                                                                                   - 8.08  - 2018 - 26 episode(s)      - 20 min. per ep.      - Action, Adventure, Historical, Romance, Martial Arts, Fantasy                         - https://myanimelist.net/anime/37150
Dragon Ball Movie 1: Shen Long no Densetsu                                                    - 7.01  - 1986 - 1 episode(s)       - 50 min.              - Action, Adventure, Comedy, Fantasy, Shounen, Super Power                              - https://myanimelist.net/anime/502
