Title                                                                           - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Bakukyuu Renpatsu!! Super B-Daman                                               - 6.43  - 1999 - 18 episode(s)      - 40 min. per ep.       - Game, Adventure, Kids                                                                                    - https://myanimelist.net/anime/2702
Bamboo Bears                                                                    - 6.34  - 1997 - 52 episode(s)      - 25 min. per ep.       - Comedy                                                                                                   - https://myanimelist.net/anime/2822
Bananya                                                                         - 6.79  - 2016 - 13 episode(s)      - 3 min. per ep.        - Slice of Life, Comedy, Kids                                                                              - https://myanimelist.net/anime/32664
Battle Programmer Shirase                                                       - 7.02  - 2003 - 15 episode(s)      - 12 min. per ep.       - Comedy, Ecchi, Sci-Fi                                                                                    - https://myanimelist.net/anime/579
Berserk: Ougon Jidai-hen I - Haou no Tamago                                     - 7.88  - 2012 - 1 episode(s)       - 1 hr. 16 min.         - Action, Military, Adventure, Demons, Supernatural, Fantasy, Seinen                                       - https://myanimelist.net/anime/10218
Beyblade Burst                                                                  - 6.65  - 2016 - 51 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Adventure, Sports, Shounen                                                               - https://myanimelist.net/anime/31049
Bishoujo Senshi Sailor Moon Crystal Season III                                  - 7.83  - 2016 - 13 episode(s)      - 24 min. per ep.       - Demons, Magic, Romance, Shoujo                                                                           - https://myanimelist.net/anime/31733
Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito                           - 7.76  - 1994 - 1 episode(s)       - 1 hr. 1 min.          - Adventure, Fantasy, Magic, Comedy, Romance, Drama, Shoujo                                                - https://myanimelist.net/anime/997
Bishoujo Senshi Sailor Moon SuperS                                              - 7.65  - 1995 - 39 episode(s)      - 24 min. per ep.       - Drama, Magic, Romance, Shoujo                                                                            - https://myanimelist.net/anime/1239
Black Jack: Karte NG Extras                                                     - 6.38  - 2007 - 1 episode(s)       - 8 min.                - Comedy                                                                                                   - https://myanimelist.net/anime/18669
Blade & Soul                                                                    - 6.20  - 2014 - 13 episode(s)      - 24 min. per ep.       - Action, Adventure, Fantasy, Martial Arts                                                                 - https://myanimelist.net/anime/22547
Bleach Movie 4: Jigoku-hen                                                      - 7.72  - 2010 - 1 episode(s)       - 1 hr. 34 min.         - Action, Comedy, Super Power, Supernatural, Shounen                                                       - https://myanimelist.net/anime/8247
Blood Lad: Wagahai wa Neko de wa Nai                                            - 7.28  - 2013 - 1 episode(s)       - 27 min.               - Action, Comedy, Demons, Seinen, Supernatural, Vampire                                                    - https://myanimelist.net/anime/18441
Boku dake no Hentai Kanojo The Animation                                        - 6.25  - 2017 - 1 episode(s)       - 17 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/35781
Boku no Hero Academia: Sukue! Kyuujo Kunren!                                    - 7.58  - 2017 - 1 episode(s)       - 25 min.               - Action, Comedy, Super Power, School, Shounen                                                             - https://myanimelist.net/anime/33929
Bokura ga Ita                                                                   - 7.46  - 2006 - 26 episode(s)      - 25 min. per ep.       - Slice of Life, Drama, Romance, Shoujo                                                                    - https://myanimelist.net/anime/1222
Bokura wa Minna Kawai-sou                                                       - 7.83  - 2014 - 12 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, Romance, School                                                                   - https://myanimelist.net/anime/21405
Boo Boo Boy                                                                     - 4.83  - 2015 - 26 episode(s)      - 2 min. per ep.        - Cars, Kids                                                                                               - https://myanimelist.net/anime/30892
Bouken Gabotenjima                                                              - 5.79  - 1967 - 39 episode(s)      - 24 min. per ep.       - Adventure                                                                                                - https://myanimelist.net/anime/8184
Bouken-tachi Gamba to Nanbiki no Nakama                                         - 6.54  - 1984 - 1 episode(s)       - 1 hr. 35 min.         - Adventure, Kids                                                                                          - https://myanimelist.net/anime/28983
Bronze: Zetsuai Since 1989                                                      - 6.61  - 1996 - 1 episode(s)       - 54 min.               - Drama, Music, Romance, Sports, Yaoi                                                                      - https://myanimelist.net/anime/1042
Btooom!                                                                         - 7.59  - 2012 - 12 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Psychological, Seinen                                                                    - https://myanimelist.net/anime/14345
Buddy Go! 2                                                                     - 6.37  - 2016 - 4 episode(s)       - 1 min. per ep.        - Comedy, Romance, Shoujo                                                                                  - https://myanimelist.net/anime/34173
Bungou Stray Dogs: Hitori Ayumu                                                 - 7.80  - 2017 - 1 episode(s)       - 23 min.               - Action, Mystery, Supernatural, Seinen                                                                    - https://myanimelist.net/anime/33071
Buzzer Beater 2nd Season                                                        - 6.95  - 2007 - 13 episode(s)      - 25 min. per ep.       - Action, Sci-Fi, Sports, Shounen                                                                          - https://myanimelist.net/anime/2684
Canaan                                                                          - 7.36  - 2009 - 13 episode(s)      - 23 min. per ep.       - Action                                                                                                   - https://myanimelist.net/anime/5356
Capeta                                                                          - 7.90  - 2005 - 52 episode(s)      - 23 min. per ep.       - Cars, Shounen, Sports                                                                                    - https://myanimelist.net/anime/388
Captain the Movie                                                               - 6.68  - 1981 - 1 episode(s)       - 1 hr. 38 min.         - Sports, Shounen                                                                                          - https://myanimelist.net/anime/18759
Car Radio                                                                       - 4.86  - 2013 - 1 episode(s)       - 1 min.                - Music                                                                                                    - https://myanimelist.net/anime/36093
Card Wang: Mix Master                                                           - 6.57  - 2005 - 39 episode(s)      - 25 min. per ep.       - Game, Adventure, Fantasy, Shounen                                                                        - https://myanimelist.net/anime/7395
Cell no Koi                                                                     - 4.80  - 2005 - 1 episode(s)       - 4 min.                - Music, Kids                                                                                              - https://myanimelist.net/anime/35785
Chiisana Kyojin Microman                                                        - 6.43  - 1999 - 52 episode(s)      - 25 min. per ep.       - Action, Adventure, Comedy, Kids, Mecha, Sci-Fi, Shounen, Super Power                                     - https://myanimelist.net/anime/3114
Chikyuu Monogatari Telepath 2500                                                - 5.71  - 1984 - 1 episode(s)       - 1 hr. 45 min.         - Adventure, Drama, Sci-Fi                                                                                 - https://myanimelist.net/anime/8563
Chou Denji Machine Voltes V                                                     - 7.51  - 1977 - 40 episode(s)      - 23 min. per ep.       - Action, Adventure, Mecha, Drama, Sci-Fi, Shounen                                                         - https://myanimelist.net/anime/1069
Chu-Bra!!                                                                       - 6.30  - 2010 - 12 episode(s)      - 24 min. per ep.       - Ecchi, Comedy, School, Seinen                                                                            - https://myanimelist.net/anime/6645
Chuunibyou demo Koi ga Shitai!                                                  - 7.89  - 2012 - 12 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, Drama, Romance, School                                                            - https://myanimelist.net/anime/14741
Cinderella Girls Gekijou: Kayou Cinderella Theater                              - 6.49  - 2017 - 13 episode(s)      - 1 min. per ep.        - Comedy, Slice of Life                                                                                    - https://myanimelist.net/anime/35346
Cinderella Girls Gekijou                                                        - 6.59  - 2017 - 13 episode(s)      - 3 min. per ep.        - Slice of Life, Comedy                                                                                    - https://myanimelist.net/anime/34257
Cinderella Monogatari                                                           - 7.46  - 1996 - 26 episode(s)      - 24 min. per ep.       - Kids, Adventure, Fantasy, Romance                                                                        - https://myanimelist.net/anime/2817
