Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                               - Link
CLAMP in Wonderland 2                                                                                - 7.58  - 2007 - 1 episode(s)       - 5 min.                - Action, Fantasy, Magic, Comedy, Romance, Music, Drama                  - https://myanimelist.net/anime/2768
Canaan: Minorikawa Report 201X Shanghai                                                              - 6.71  - 2010 - 1 episode(s)       - 13 min.               - Action, Seinen                                                         - https://myanimelist.net/anime/9706
Carnival Phantasm EX Season                                                                          - 7.54  - 2011 - 1 episode(s)       - 20 min.               - Comedy, Supernatural                                                   - https://myanimelist.net/anime/12187
Chinetsu Karte: The Devilish Cherry                                                                  - 6.73  - 2009 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                 - https://myanimelist.net/anime/6686
Chiruran: Nibun no Ichi Special                                                                      - 5.82  - 2017 - 1 episode(s)       - 2 min.                - Action, Comedy, Historical                                             - https://myanimelist.net/anime/35301
Choegang Habche: Mix Master                                                                          - 6.41  - 2010 - 39 episode(s)      - 24 min. per ep.       - Adventure, Fantasy                                                     - https://myanimelist.net/anime/31246
Choujigen Game Neptune The Animation OVA                                                             - 7.39  - 2014 - 1 episode(s)       - 24 min.               - Action, Fantasy, Comedy, Sci-Fi                                        - https://myanimelist.net/anime/20479
Chuunibyou demo Koi ga Shitai! Ren Lite                                                              - 7.22  - 2013 - 6 episode(s)       - 3 min. per ep.        - Comedy, School                                                         - https://myanimelist.net/anime/21797
Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu Picture Drama                           - 7.17  - 2015 - 1 episode(s)       - 6 min.                - Comedy, Military                                                       - https://myanimelist.net/anime/31145
Code Geass: Hangyaku no Lelouch R2 Picture Drama - Last Moratorium                                   - 6.59  - 2014 - 1 episode(s)       - 11 min.               - Comedy, School, Slice of Life                                          - https://myanimelist.net/anime/33156
Cowboy Bebop: Yose Atsume Blues                                                                      - 7.52  - 1998 - 1 episode(s)       - 27 min.               - Action, Adventure, Comedy, Drama, Sci-Fi, Space                        - https://myanimelist.net/anime/4037
Diabolik Lovers OVA                                                                                  - 6.03  - 2015 - 1 episode(s)       - 11 min.               - Harem, School, Vampire, Shoujo                                         - https://myanimelist.net/anime/27417
Do S na Seitokaichou-sama ga M Note ni Shihai Saremashita.                                           - 6.26  - 2018 - Unknown episode(s) - Unknown               - Hentai, School                                                         - https://myanimelist.net/anime/36721
Dog Days&#039; Specials                                                                              - 6.87  - 2012 - 13 episode(s)      - 1 min. per ep.        - Action, Adventure, Fantasy, Magic                                      - https://myanimelist.net/anime/17419
Dog Days&#039;&#039;: Limone Resort Tenbou Onsen!                                                    - 6.73  - 2015 - 1 episode(s)       - 11 min.               - Ecchi, Fantasy, Magic                                                  - https://myanimelist.net/anime/31851
Dokidoki! Precure Movie: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress                              - 6.91  - 2013 - 1 episode(s)       - 1 hr. 11 min.         - Fantasy, Kids, Magic, Shoujo                                           - https://myanimelist.net/anime/17357
Donbe Monogatari                                                                                     - 5.65  - 1981 - 1 episode(s)       - 1 hr. 12 min.         - Kids                                                                   - https://myanimelist.net/anime/11625
Dongguo Xiaojie                                                                                      - 6.42  - 2016 - 15 episode(s)      - 14 min. per ep.       - Adventure, Historical, Demons, Supernatural                            - https://myanimelist.net/anime/34940
