Title                                                                                                - Score - Year - Num Eps            - Duration             - Genre(s)                                                                          - Link
Aware! Meisaku-kun: DVD 1-2-kan Hatsubai Kettei!                                                     - 3.67  - 2017 - 1 episode(s)       - 1 min.               - Comedy, Parody                                                                    - https://myanimelist.net/anime/35590
B-Legend! Battle B-Daman                                                                             - 6.36  - 2004 - 52 episode(s)      - 22 min. per ep.      - Game, Adventure, Kids, Fantasy                                                    - https://myanimelist.net/anime/2789
Babel Nisei (2001)                                                                                   - 5.86  - 2001 - 13 episode(s)      - 24 min. per ep.      - Action, Sci-Fi, Adventure, Mystery, Supernatural, Shounen                         - https://myanimelist.net/anime/1664
Baby Steps 2nd Season                                                                                - 8.17  - 2015 - 25 episode(s)      - 24 min. per ep.      - Sports, Romance, School, Shounen                                                  - https://myanimelist.net/anime/27663
Baku Tech! Bakugan Gachi Special                                                                     - 5.81  - 2014 - 1 episode(s)       - 6 min.               - Action, Game, Shounen                                                             - https://myanimelist.net/anime/33708
Bakugan Battle Brawlers                                                                              - 6.37  - 2007 - 52 episode(s)      - 24 min. per ep.      - Action, Game, Fantasy                                                             - https://myanimelist.net/anime/2156
Bakusou Kyoudai Let's & Go MAX                                                                       - 6.69  - 1998 - 51 episode(s)      - 25 min. per ep.      - Cars, Shounen, Sports                                                             - https://myanimelist.net/anime/2709
Bakusou Kyoudai Let's & Go!! WGP Bousou Mini Yonku Daitsuiseki                                       - 6.71  - 1997 - 1 episode(s)       - 1 hr. 20 min.        - Adventure, Cars, Shounen, Sports                                                  - https://myanimelist.net/anime/9858
Bakutou Sengen Daigunder                                                                             - 6.77  - 2002 - 39 episode(s)      - 21 min. per ep.      - Sci-Fi, Adventure, Mecha, Shounen                                                 - https://myanimelist.net/anime/3271
Bannou Yasai Ninninman                                                                               - 6.07  - 2011 - 1 episode(s)       - 24 min.              - Comedy, Supernatural                                                              - https://myanimelist.net/anime/10501
Barbapapa Sekai wo Mawaru                                                                            - 6.03  - 1999 - 50 episode(s)      - 5 min. per ep.       - Adventure, Comedy                                                                 - https://myanimelist.net/anime/2824
Beachside Lover                                                                                      - N/A   - 2016 - 1 episode(s)       - 3 min.               - Music                                                                             - https://myanimelist.net/anime/36489
Binbougami ga!                                                                                       - 7.83  - 2012 - 13 episode(s)      - 23 min. per ep.      - Comedy, Parody, Shounen, Supernatural                                             - https://myanimelist.net/anime/13535
Binetsu: Yakusoku no Toki                                                                            - 5.04  - 2000 - 1 episode(s)       - 30 min.              - Hentai                                                                            - https://myanimelist.net/anime/9507
Bishoujo Senshi Sailor Moon Crystal                                                                  - 7.01  - 2014 - 26 episode(s)      - 24 min. per ep.      - Demons, Magic, Romance, Shoujo                                                    - https://myanimelist.net/anime/14751
Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi                                                - 7.20  - 1993 - 1 episode(s)       - 17 min.              - Shoujo                                                                            - https://myanimelist.net/anime/2937
Bishoujo Senshi Sailor Moon R: The Movie                                                             - 7.78  - 1993 - 1 episode(s)       - 1 hr. 1 min.         - Drama, Magic, Romance, Shoujo                                                     - https://myanimelist.net/anime/531
Bishoujo Yuugi Unit Crane Game Girls Galaxy                                                          - 4.86  - 2016 - 12 episode(s)      - 13 min. per ep.      - Game, Space, Comedy                                                               - https://myanimelist.net/anime/33541
Black Shout                                                                                          - 6.53  - 2017 - 1 episode(s)       - 1 min.               - Music                                                                             - https://myanimelist.net/anime/36920
Bleach                                                                                               - 7.90  - 2004 - 366 episode(s)     - 24 min. per ep.      - Action, Adventure, Comedy, Super Power, Supernatural, Shounen                     - https://myanimelist.net/anime/269
Blue Dragon: Tenkai no Shichi Ryuu                                                                   - 6.69  - 2008 - 51 episode(s)      - 20 min. per ep.      - Adventure, Comedy, Fantasy, Supernatural                                          - https://myanimelist.net/anime/4197
Blue Seed                                                                                            - 7.11  - 1994 - 26 episode(s)      - 23 min. per ep.      - Action, Adventure, Comedy, Demons, Drama, Ecchi, Horror, Mystery, Romance, Sci-Fi - https://myanimelist.net/anime/998
Boogiepop wa Warawanai: Boogiepop Phantom                                                            - 7.22  - 2000 - 12 episode(s)      - 24 min. per ep.      - Psychological, Supernatural, Dementia, Mystery, Horror, Drama                     - https://myanimelist.net/anime/369
Boruto: Naruto Next Generations                                                                      - 7.09  - 2017 - Unknown episode(s) - 23 min.              - Action, Adventure, Martial Arts, Shounen, Super Power                             - https://myanimelist.net/anime/34566
Bulg-eunmae                                                                                          - 5.61  - 1995 - 1 episode(s)       - 1 hr. 26 min.        - Super Power, Martial Arts                                                         - https://myanimelist.net/anime/1776
Busou Renkin                                                                                         - 7.46  - 2006 - 26 episode(s)      - 24 min. per ep.      - Action, Fantasy, Supernatural, Comedy, School, Shounen                            - https://myanimelist.net/anime/1536
Busou Shinki                                                                                         - 6.38  - 2012 - 12 episode(s)      - 24 min. per ep.      - Action, Sci-Fi, Slice of Life, Mecha                                              - https://myanimelist.net/anime/14237
Busou Shoujo Machiavellianism                                                                        - 7.14  - 2017 - 12 episode(s)      - 23 min. per ep.      - Action, Comedy, School, Shounen                                                   - https://myanimelist.net/anime/33475
Buzzer Beater                                                                                        - 6.66  - 2005 - 13 episode(s)      - 25 min. per ep.      - Shounen, Sports                                                                   - https://myanimelist.net/anime/406
Calligraffiti                                                                                        - 4.38  - 1982 - 1 episode(s)       - 5 min.               - Music                                                                             - https://myanimelist.net/anime/23517
Capricorn                                                                                            - 5.58  - 1991 - 1 episode(s)       - 47 min.              - Sci-Fi, Adventure, Comedy, Fantasy, Shounen                                       - https://myanimelist.net/anime/2053
Cardfight!! Vanguard (2018)                                                                          - N/A   - 2018 - Unknown episode(s) - Unknown              - Action, Game, Shounen                                                             - https://myanimelist.net/anime/37476
Chalk-iro no People                                                                                  - 5.75  - 1988 - 1 episode(s)       - 54 min.              - Romance, Seinen                                                                   - https://myanimelist.net/anime/18071
Charlotte                                                                                            - 7.92  - 2015 - 13 episode(s)      - 24 min. per ep.      - Drama, School, Super Power                                                        - https://myanimelist.net/anime/28999
Cheating Craft                                                                                       - 5.55  - 2016 - 12 episode(s)      - 12 min. per ep.      - Action, Comedy, School                                                            - https://myanimelist.net/anime/33771
Cheer Danshi!!                                                                                       - 6.85  - 2016 - 12 episode(s)      - 24 min. per ep.      - Sports, Drama, School                                                             - https://myanimelist.net/anime/32483
Chihayafuru                                                                                          - 8.29  - 2011 - 25 episode(s)      - 22 min. per ep.      - Drama, Game, Josei, School, Slice of Life, Sports                                 - https://myanimelist.net/anime/10800
