Title                                                                                              - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Amaenaide yo!!: Yasumanaide yo!!                                                                   - 6.77  - 2005 - 1 episode(s)       - 23 min.               - Ecchi, Comedy, Romance, Supernatural                                                                                                                           - https://myanimelist.net/anime/1749
Anata ga Furikaeru Toki                                                                            - 5.36  - 1993 - 1 episode(s)       - 31 min.               - Romance, School, Shoujo                                                                                                                                        - https://myanimelist.net/anime/19923
Anata mo Robot ni Nareru feat. Kamome Jidou Gasshoudan                                             - 4.77  - 2014 - 1 episode(s)       - 4 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/30431
Andersen Douwa: Ningyohime                                                                         - 7.19  - 1975 - 1 episode(s)       - 1 hr. 8 min.          - Fantasy, Romance, Shoujo                                                                                                                                       - https://myanimelist.net/anime/3043
Ankoku Cat VS                                                                                      - 4.89  - 2011 - 3 episode(s)       - 5 min. per ep.        - Action, Comedy                                                                                                                                                 - https://myanimelist.net/anime/36636
Answer (2016)                                                                                      - 7.42  - 2016 - 1 episode(s)       - 5 min.                - Music, Drama, Seinen                                                                                                                                           - https://myanimelist.net/anime/34611
Aoi Yousei                                                                                         - 4.96  - 2001 - 1 episode(s)       - 23 min.               - Hentai                                                                                                                                                         - https://myanimelist.net/anime/5586
Aoki Ryuusei SPT Layzner OVA                                                                       - 6.86  - 1986 - 3 episode(s)       - 55 min. per ep.       - Action, Space, Mecha, Military, Sci-Fi, Shounen                                                                                                                - https://myanimelist.net/anime/5755
Aozora Shoujo-tai                                                                                  - 6.57  - 1994 - 7 episode(s)       - 28 min. per ep.       - Action, Comedy, Military, Romance, Shounen                                                                                                                     - https://myanimelist.net/anime/1233
Appleseed                                                                                          - 6.74  - 1988 - 1 episode(s)       - 1 hr. 6 min.          - Action, Sci-Fi, Adventure, Police, Mecha                                                                                                                       - https://myanimelist.net/anime/937
Aquarian Age: Saga II - Don't Forget Me...                                                         - 5.95  - 2003 - 1 episode(s)       - 1 hr.                 - Action, Super Power, Drama                                                                                                                                     - https://myanimelist.net/anime/1268
Arata Kangatari Picture Drama                                                                      - 5.98  - 2013 - 6 episode(s)       - Unknown               - Fantasy                                                                                                                                                        - https://myanimelist.net/anime/19447
Arete Hime                                                                                         - 7.03  - 2001 - 1 episode(s)       - 1 hr. 45 min.         - Fantasy, Magic                                                                                                                                                 - https://myanimelist.net/anime/1028
Aria The OVA: Arietta                                                                              - 8.09  - 2007 - 1 episode(s)       - 30 min.               - Fantasy, Sci-Fi, Shounen, Slice of Life                                                                                                                        - https://myanimelist.net/anime/2563
Ariel Deluxe                                                                                       - 5.69  - 1991 - 2 episode(s)       - 42 min. per ep.       - Action, Comedy, Mecha, Sci-Fi                                                                                                                                  - https://myanimelist.net/anime/2837
Ariel Visual                                                                                       - 5.52  - 1989 - 2 episode(s)       - 28 min. per ep.       - Action, Comedy, Mecha, Sci-Fi                                                                                                                                  - https://myanimelist.net/anime/2839
Assemble Insert                                                                                    - 6.19  - 1989 - 2 episode(s)       - 30 min. per ep.       - Sci-Fi, Comedy, Police                                                                                                                                         - https://myanimelist.net/anime/2414
Atashi Tenshi Anata Akuma                                                                          - 1.33  - 1995 - 2 episode(s)       - 30 min. per ep.       -                                                                                                                                                                - https://myanimelist.net/anime/35721
Attack No.1 (1970)                                                                                 - 6.34  - 1970 - 1 episode(s)       - 1 hr. 5 min.          - Sports, Drama, Shoujo                                                                                                                                          - https://myanimelist.net/anime/9163
Audition                                                                                           - 5.75  - 2009 - 1 episode(s)       - 1 hr. 36 min.         - Music                                                                                                                                                          - https://myanimelist.net/anime/31730
Ayane-chan High Kick!                                                                              - 6.01  - 1997 - 2 episode(s)       - 27 min. per ep.       - Comedy, Shounen, Sports                                                                                                                                        - https://myanimelist.net/anime/2183
B'T X Neo                                                                                          - 7.28  - 1997 - 14 episode(s)      - 24 min. per ep.       - Action, Adventure, Shounen                                                                                                                                     - https://myanimelist.net/anime/1736
BaBuKa: Gokudou no Tsuma                                                                           - 5.75  - 2011 - 2 episode(s)       - 17 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/11469
Babel Nisei (OVA)                                                                                  - 5.96  - 1992 - 4 episode(s)       - 29 min. per ep.       - Action, Sci-Fi, Mecha                                                                                                                                          - https://myanimelist.net/anime/1665
Bad Badtz-Maru no Ari to Kirigirisu                                                                - 5.40  - 2001 - 1 episode(s)       - 10 min.               - Kids, Fantasy                                                                                                                                                  - https://myanimelist.net/anime/22565
Bad Badtz-Maru no Ore wa Yuutousei                                                                 - 4.56  - 1995 - 1 episode(s)       - 9 min.                - Kids, Comedy                                                                                                                                                   - https://myanimelist.net/anime/30124
Bad Badtz-Maru no Otoko Dokyou no Omoiyari                                                         - 4.79  - 1995 - 1 episode(s)       - 14 min.               - Comedy                                                                                                                                                         - https://myanimelist.net/anime/30125
Baka Misérables                                                                                    - 5.57  - 2013 - 3 episode(s)       - 3 min. per ep.        - Music, Parody                                                                                                                                                  - https://myanimelist.net/anime/20705
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou                                    - 7.36  - 2011 - 6 episode(s)       - 5 min. per ep.        - Comedy, Romance, School, Super Power                                                                                                                           - https://myanimelist.net/anime/10834
