Title                                                                                       - Score - Year - Num Eps      - Duration           - Genre(s)                                                                              - Link

** Kouhai                                                                                   - 7.26  - 2020 - 8 episodes   - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                     - https://myanimelist.net/anime/40658
D.C.III: Da Capo III Special                                                                - 6.34  - 2012 - 1 episode    - 23 min             - Drama, Music, Romance, School                                                         - https://myanimelist.net/anime/17020
Da, da Ge da Xigua                                                                          - None  - 2008 - 1 episode    - 16 min             - Action, Military                                                                      - https://myanimelist.net/anime/44517
Dai Yamato Zero-gou                                                                         - 5.79  - 2004 - 5 episodes   - 41 min per ep      - Adult Cast, Sci-Fi, Space                                                             - https://myanimelist.net/anime/7122
Danbou to Reibou                                                                            - 4.68  - 2019 - 1 episode    - 2 min              - Avant Garde, Music                                                                    - https://myanimelist.net/anime/39096
Dawang Riji                                                                                 - None  - 2020 - 2 episodes   - 24 min per ep      - Kids, Slice of Life                                                                   - https://myanimelist.net/anime/48109
Death Note: Rewrite                                                                         - 7.70  - 2007 - 2 episodes   - 1 hr 52 min per ep - Psychological, Shounen, Supernatural, Suspense                                        - https://myanimelist.net/anime/2994
Deep Blue Town e Oide yo (July 31st, 2017)                                                  - None  - 2017 - 1 episode    - 3 min              - Music                                                                                 - https://myanimelist.net/anime/56094
Deimos no Hanayome: Ran no Kumikyoku                                                        - 5.66  - 1988 - 1 episode    - 32 min             - Drama, Fantasy, Horror, Mystery, Mythology, Psychological, Shoujo, Supernatural       - https://myanimelist.net/anime/5918
Die, Please!                                                                                - None  - 2023 - 11 episodes  - 5 min per ep       - Fantasy, Romance, School                                                              - https://myanimelist.net/anime/55726
Dizzy Dizzy                                                                                 - None  - 2020 - 1 episode    - 3 min              - Music                                                                                 - https://myanimelist.net/anime/52559
Dorei Ichiba                                                                                - 6.10  - 2002 - 3 episodes   - 28 min per ep      - Hentai                                                                                - https://myanimelist.net/anime/3385
Doupo Cangqiong: Nian Fan                                                                   - 8.03  - 2022 - 104 episodes - 24 min per ep      - Action, Adventure, Fantasy, Martial Arts                                              - https://myanimelist.net/anime/51039
Doupo Cangqiong: San Nian Zhi Yue                                                           - 8.04  - 2021 - 13 episodes  - 24 min per ep      - Action, Fantasy, Martial Arts                                                         - https://myanimelist.net/anime/49701
