Title                                                                                                    - Score - Year - Num Eps      - Duration           - Genre(s)                                                                                 - Link

#Compass                                                                                                 - None  - 2018 - 10 episodes  - 4 min per ep       - Strategy Game                                                                            - https://myanimelist.net/anime/38603
Bavi Stock                                                                                               - 4.91  - 1985 - 2 episodes   - 46 min per ep      - Action, Adventure, Fantasy, Sci-Fi                                                       - https://myanimelist.net/anime/10105
Beastars                                                                                                 - 7.84  - 2019 - 12 episodes  - 22 min per ep      - Anthropomorphic, Drama, Psychological, School, Shounen                                   - https://myanimelist.net/anime/39195
Beng Huai: Xing Qiong Tiedao: Fei Guang                                                                  - None  - 2023 - 1 episode    - 4 min              - Action, Martial Arts, Sci-Fi                                                             - https://myanimelist.net/anime/55303
Berg                                                                                                     - None  - 2015 - 1 episode    - 3 min              - Music                                                                                    - https://myanimelist.net/anime/49997
Biriken Nandemo Shoukai                                                                                  - None  - 1989 - 22 episodes  - 25 min per ep      - Comedy, Kids                                                                             - https://myanimelist.net/anime/8521
Bishoujo Comic Lolicon Angel: Mitsu no Aji                                                               - 5.35  - 1985 - 1 episode    - 22 min             - Hentai                                                                                   - https://myanimelist.net/anime/3649
Black Jack 21                                                                                            - 7.54  - 2006 - 17 episodes  - 24 min per ep      - Action, Drama, Medical, Shounen                                                          - https://myanimelist.net/anime/2214
Bleach: Shuku! Rukia Dakkan! Kagayaku! Shinigami Juuban Shoubu! Mitai Shinigami Doon to Misemasu Special - 6.22  - 2006 - 1 episode    - 24 min             - Action, Shounen, Supernatural                                                            - https://myanimelist.net/anime/54171
Blue Reflection Ray                                                                                      - 5.81  - 2021 - 24 episodes  - 24 min per ep      - Fantasy, Mahou Shoujo, School                                                            - https://myanimelist.net/anime/47639
Boku no Oldies wa All Color                                                                              - None  - 1987 - 1 episode    - 27 min             - Music, Romance, Seinen                                                                   - https://myanimelist.net/anime/35367
Bonjour♪Koiaji Pâtisserie                                                                                - 6.09  - 2014 - 24 episodes  - 5 min per ep       - Gourmet, Reverse Harem, Romance, School, Shoujo                                          - https://myanimelist.net/anime/25839
Bonobono: Kumomo no Ki no Koto                                                                           - None  - 2002 - 1 episode    - 1 hr 1 min         - Anthropomorphic, Drama                                                                   - https://myanimelist.net/anime/8403
Botsuraku                                                                                                - 5.61  - 2018 - 1 episode    - 1 min              - Music                                                                                    - https://myanimelist.net/anime/38812
Build Divide: Code Black                                                                                 - 6.39  - 2021 - 12 episodes  - 23 min per ep      - Fantasy, Strategy Game                                                                   - https://myanimelist.net/anime/48776
Burn Up! W                                                                                               - 6.40  - 1996 - 4 episodes   - 26 min per ep      - Action, Comedy, Ecchi, Mecha, Sci-Fi                                                     - https://myanimelist.net/anime/769
Calihara no Uta                                                                                          - 5.49  - 2014 - 1 episode    - 4 min              - Music                                                                                    - https://myanimelist.net/anime/34908
Campus                                                                                                   - 5.84  - 2000 - 2 episodes   - 28 min per ep      - Hentai                                                                                   - https://myanimelist.net/anime/3039
Captain (TV)                                                                                             - 6.56  - 1983 - 26 episodes  - 24 min per ep      - Shounen, Sports, Team Sports                                                             - https://myanimelist.net/anime/9905
Challenge Ichinensei de Kakkoii Ichinensei ni Henshin!                                                   - None  - 2008 - 1 episode    - 35 min             - Kids                                                                                     - https://myanimelist.net/anime/7803
Chan Chiho Challenge Channel                                                                             - None  - 2023 - Ongoing      - 5 min              - Comedy, Kids                                                                             - https://myanimelist.net/anime/54434
Changbaekhan Eolkuldeul                                                                                  - None  - 2015 - 1 episode    - 1 hr 13 min        - Award Winning, Drama, Psychological                                                      - https://myanimelist.net/anime/49956
Chibi☆Devi!                                                                                              - 6.87  - 2011 - 75 episodes  - 5 min per ep       - Childcare, Fantasy, Shoujo, Supernatural                                                 - https://myanimelist.net/anime/11457
Chiisana Jumbo                                                                                           - 5.77  - 1977 - 1 episode    - 28 min             - Fantasy, Kids, Music                                                                     - https://myanimelist.net/anime/7771
Chiisana Teien                                                                                           - 6.01  - 2014 - 1 episode    - 12 min             - Adventure, Fantasy                                                                       - https://myanimelist.net/anime/29135
Chimera: Target I Datenshi Kourin                                                                        - 5.20  - 1997 - 1 episode    - 46 min             - Drama, Hentai                                                                            - https://myanimelist.net/anime/4697
Chinpui: Eri-sama Katsudou Daishashin                                                                    - 6.09  - 1990 - 1 episode    - 40 min             - Comedy                                                                                   - https://myanimelist.net/anime/10040
Chinzei Hachirou Tametomo                                                                                - 5.97  - 2020 - 1 episode    - 4 min              - Action, Adventure, Comedy, Historical                                                    - https://myanimelist.net/anime/44752
Chiruran: Nibun no Ichi                                                                                  - 5.62  - 2017 - 12 episodes  - 2 min per ep       - Action, Comedy, Historical                                                               - https://myanimelist.net/anime/34088
Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe - Shojo Kuriya                        - 5.60  - 2014 - 1 episode    - 3 min              - Comedy, Slice of Life                                                                    - https://myanimelist.net/anime/25439
