Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Dakaretai Onna                                                                                       - 3.68  - 1990 - 2 episode(s)       - 45 min. per ep.       - Romance, Hentai                                                                                                                                                - https://myanimelist.net/anime/19747
Danball Senki Wars: All Star Battle                                                                  - 6.58  - 2014 - 1 episode(s)       - 9 min.                - Action, Kids, Mecha, School                                                                                                                                    - https://myanimelist.net/anime/33957
Dark Blue                                                                                            - 6.11  - 2012 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/12995
Darker than Black: Kuro no Keiyakusha Gaiden                                                         - 8.06  - 2010 - 4 episode(s)       - 24 min. per ep.       - Action, Sci-Fi, Mystery, Super Power                                                                                                                           - https://myanimelist.net/anime/7338
DinoZone                                                                                             - 5.80  - 1998 - 5 episode(s)       - 20 min. per ep.       - Adventure, Sci-Fi, Shounen                                                                                                                                     - https://myanimelist.net/anime/3499
Dochinpira                                                                                           - 5.03  - 1993 - 1 episode(s)       - 45 min.               - Action, Comedy, Hentai                                                                                                                                         - https://myanimelist.net/anime/4693
Dominion                                                                                             - 7.04  - 1988 - 4 episode(s)       - 36 min. per ep.       - Sci-Fi, Comedy, Police, Mecha                                                                                                                                  - https://myanimelist.net/anime/1151
Dousou Kai                                                                                           - 5.84  - 1998 - 4 episode(s)       - 30 min. per ep.       - Harem, Hentai, Romance                                                                                                                                         - https://myanimelist.net/anime/692
Downloader                                                                                           - 6.05  - 2011 - 1 episode(s)       - 3 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/10691
Dragon Knight 4                                                                                      - 5.87  - 1998 - 4 episode(s)       - 30 min. per ep.       - Adventure, Fantasy, Hentai, Magic                                                                                                                              - https://myanimelist.net/anime/1834
Dragon Rider                                                                                         - 5.73  - 1995 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/3551
Durarara!!x2 Ketsu: Dufufufu!!                                                                       - 7.71  - 2016 - 1 episode(s)       - 23 min.               - Action, Mystery, Supernatural                                                                                                                                  - https://myanimelist.net/anime/32915
Durarara!!x2 Ten: Onoroke Chakapoko                                                                  - 7.65  - 2016 - 1 episode(s)       - 24 min.               - Action, Mystery, Supernatural                                                                                                                                  - https://myanimelist.net/anime/31552
Ero Manga Mitai na Koi Shiyo                                                                         - 7.06  - 2008 - 2 episode(s)       - 27 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/5315
Esper Bishoujo Manami                                                                                - 4.49  - 2001 - 1 episode(s)       - 22 min.               - Hentai                                                                                                                                                         - https://myanimelist.net/anime/4833
Esper Mami Special: My Angel Mami-chan                                                               - 6.48  - 1988 - 1 episode(s)       - 23 min.               - Comedy, Super Power, Supernatural                                                                                                                              - https://myanimelist.net/anime/10000
Evangelion: 2.0 You Can (Not) Advance                                                                - 8.45  - 2009 - 1 episode(s)       - 1 hr. 52 min.         - Action, Sci-Fi, Mecha                                                                                                                                          - https://myanimelist.net/anime/3784
Fake Doll                                                                                            - 5.87  - 2012 - 1 episode(s)       - 3 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/19187
Fate/Grand Order CMs                                                                                 - 7.22  - 2014 - Unknown episode(s) - 15 sec.               - Action, Fantasy                                                                                                                                                - https://myanimelist.net/anime/36064
Figure 17: Tsubasa & Hikaru                                                                          - 7.31  - 2001 - 13 episode(s)      - 47 min. per ep.       - Sci-Fi, Slice of Life                                                                                                                                          - https://myanimelist.net/anime/1126
Fin-tan                                                                                              - 4.55  - 2017 - 3 episode(s)       - 2 min. per ep.        - Comedy                                                                                                                                                         - https://myanimelist.net/anime/34980
Freedom Previsited                                                                                   - 6.65  - 2006 - 1 episode(s)       - 6 min.                - Action, Adventure, Sci-Fi                                                                                                                                      - https://myanimelist.net/anime/2319
Fukubiki! Triangle: Futaba wa Atafuta ♥                                                              - 6.80  - 2015 - 1 episode(s)       - 29 min.               - Hentai                                                                                                                                                         - https://myanimelist.net/anime/29573
