Title                                                              - Score - Year - Num Eps            - Duration             - Genre(s)                                                                 - Link
Bokurano                                                           - 7.76  - 2007 - 24 episode(s)      - 23 min. per ep.      - Sci-Fi, Psychological, Drama, Mecha                                      - https://myanimelist.net/anime/1690
Bussouna Yoru                                                      - N/A   - 2016 - 1 episode(s)       - 4 min.               -                                                                          - https://myanimelist.net/anime/35735
Cakes                                                              - 4.11  - 2016 - 1 episode(s)       - 49 sec.              - Comedy                                                                   - https://myanimelist.net/anime/33863
Centaur no Nayami                                                  - 6.58  - 2017 - 12 episode(s)      - 23 min. per ep.      - Slice of Life, Comedy, Supernatural, Fantasy, Seinen                     - https://myanimelist.net/anime/34525
Changjiang Qi Hao Ai Diqiu                                         - 6.48  - 2010 - 1 episode(s)       - 1 hr. 23 min.        - Kids                                                                     - https://myanimelist.net/anime/9558
Cheer Danshi!! Recap                                               - 5.96  - 2016 - 1 episode(s)       - 24 min.              - Sports, School                                                           - https://myanimelist.net/anime/33798
Cherry &amp; Gal&#039;s↑↑                                          - 6.46  - 2018 - 2 episode(s)       - 16 min. per ep.      - Hentai                                                                   - https://myanimelist.net/anime/37089
Chiisana Obake Acchi, Kocchi, Socchi                               - 6.15  - 1991 - 50 episode(s)      - 25 min. per ep.      - Comedy, Supernatural                                                     - https://myanimelist.net/anime/310
Chikkun Takkun                                                     - 5.64  - 1984 - 23 episode(s)      - 24 min. per ep.      - Comedy, Sci-Fi                                                           - https://myanimelist.net/anime/16303
Chikyuu Bouei Kazoku                                               - 6.69  - 2001 - 13 episode(s)      - 23 min. per ep.      - Action, Sci-Fi, Comedy, Drama                                            - https://myanimelist.net/anime/1962
Chikyuu Shoujo Arjuna                                              - 6.95  - 2001 - 13 episode(s)      - 26 min. per ep.      - Adventure, Drama, Magic, Sci-Fi                                          - https://myanimelist.net/anime/812
Choro Q Dagram                                                     - 5.55  - 1983 - 1 episode(s)       - 8 min.               - Comedy, Mecha, Sci-Fi, Shounen                                           - https://myanimelist.net/anime/2258
Chuunibyou demo Koi ga Shitai! Ren                                 - 7.60  - 2014 - 12 episode(s)      - 24 min. per ep.      - Comedy, Drama, Romance, School, Slice of Life                            - https://myanimelist.net/anime/18671
ChäoS;HEAd                                                         - 6.53  - 2008 - 12 episode(s)      - 27 min. per ep.      - Harem, Mystery, Psychological, Sci-Fi, Supernatural                      - https://myanimelist.net/anime/4975
Committed RED                                                      - 5.72  - 2016 - 1 episode(s)       - 4 min.               - Music                                                                    - https://myanimelist.net/anime/33236
Corrector Yui                                                      - 6.89  - 1999 - 52 episode(s)      - 25 min. per ep.      - Sci-Fi, Adventure, Comedy, Magic                                         - https://myanimelist.net/anime/111
Cosmic Break                                                       - 6.18  - 2010 - 4 episode(s)       - 7 min. per ep.       - Game, Drama, Mecha                                                       - https://myanimelist.net/anime/17295
Crayon Shin-chan Gaiden: Omocha Wars                               - 6.67  - 2016 - 13 episode(s)      - 7 min. per ep.       - Action, Comedy, Ecchi, Seinen                                            - https://myanimelist.net/anime/34314
Crystal Blaze                                                      - 6.21  - 2008 - 12 episode(s)      - 24 min. per ep.      - Action, Sci-Fi                                                           - https://myanimelist.net/anime/3840
Cute Kenkyuukai                                                    - N/A   - 2015 - 1 episode(s)       - 3 min.               - Music                                                                    - https://myanimelist.net/anime/37138
Cyborg 009: Call of Justice 3                                      - 6.70  - 2016 - 1 episode(s)       - 2 hr.                - Action, Adventure, Mecha, Sci-Fi, Shounen                                - https://myanimelist.net/anime/33687
Daitoshokan no Hitsujikai                                          - 7.02  - 2014 - 12 episode(s)      - 23 min. per ep.      - Harem, Romance, School                                                   - https://myanimelist.net/anime/17827
Dantalian no Shoka: Ibarahime                                      - 7.23  - 2012 - 1 episode(s)       - 24 min.              - Action, Historical, Mystery                                              - https://myanimelist.net/anime/12879
Darker than Black: Ryuusei no Gemini                               - 7.57  - 2009 - 12 episode(s)      - 24 min. per ep.      - Action, Sci-Fi, Mystery, Super Power                                     - https://myanimelist.net/anime/6573
Detective Conan Movie 09: Strategy Above the Depths                - 7.94  - 2005 - 1 episode(s)       - 1 hr. 50 min.        - Adventure, Mystery, Comedy, Police, Shounen                              - https://myanimelist.net/anime/1505
Detective Conan: Chase the Mysterious Comet Monster!               - 6.62  - 2001 - 1 episode(s)       - 14 min.              - Mystery                                                                  - https://myanimelist.net/anime/33145
Detective Conan: Episode One - The Great Detective Turned Small    - 8.48  - 2016 - 1 episode(s)       - 1 hr. 33 min.        - Adventure, Mystery, Comedy, Police, Shounen                              - https://myanimelist.net/anime/34036
