Title                                                                                               - Score - Year - Num Eps       - Duration           - Genre(s)                                                                        - Link

"Bungaku Shoujo" Movie                                                                              - 7.34  - 2010 - 1 episode     - 1 hr 40 min        - Drama, Mystery, Romance, School                                                 - https://myanimelist.net/anime/6408
Animagear                                                                                           - 5.29  - 2019 - 1 episode     - 42 sec             - Kids, Mecha                                                                     - https://myanimelist.net/anime/40033
Animal 1                                                                                            - None  - 1968 - 27 episodes   - 22 min per ep      - Combat Sports, Sports                                                           - https://myanimelist.net/anime/17671
Animals                                                                                             - None  - 2018 - 1 episode     - 3 min              - Music                                                                           - https://myanimelist.net/anime/55167
Animax Taisou                                                                                       - None  - 2014 - 30 episodes   - Unknown            - Kids, Sports                                                                    - https://myanimelist.net/anime/30914
Anime Koukyoushi: Jungle Taitei                                                                     - 6.47  - 1991 - 1 episode     - 51 min             - Adventure, Kids, Shounen                                                        - https://myanimelist.net/anime/13047
Anpanman ga Umareta Hi                                                                              - None  - 2012 - 1 episode     - 11 min             - Fantasy, Kids                                                                   - https://myanimelist.net/anime/55516
Ao no Exorcist Movie Special                                                                        - 6.75  - 2012 - 1 episode     - 3 min              - Comedy, Parody                                                                  - https://myanimelist.net/anime/13677
Aotenjou no Clown                                                                                   - 4.85  - 1998 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/35537
Apple dot com                                                                                       - None  - 2017 - 1 episode     - 3 min              - Music                                                                           - https://myanimelist.net/anime/55386
Apron Hero                                                                                          - None  - 1995 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/36292
Aqua Kids                                                                                           - None  - 2004 - 26 episodes   - 26 min per ep      - Adventure, Kids                                                                 - https://myanimelist.net/anime/34249
Arabian Nights: Sindbad no Bouken (TV)                                                              - 7.21  - 1975 - 52 episodes   - 24 min per ep      - Adventure, Fantasy, Romance                                                     - https://myanimelist.net/anime/2825
Arcana Famiglia                                                                                     - 6.26  - 2012 - 12 episodes   - 24 min per ep      - Action, Fantasy, Reverse Harem, Romance, Shoujo                                 - https://myanimelist.net/anime/12967
Aresuke                                                                                             - None  - 2008 - 13 episodes   - 1 min per ep       - Music                                                                           - https://myanimelist.net/anime/39048
Argento Soma: Hitori to Hitori                                                                      - 6.35  - 2002 - 1 episode     - 25 min             - Action, Mecha, Sci-Fi                                                           - https://myanimelist.net/anime/1789
Aries: Shinwa no Seizakyuu                                                                          - None  - 1990 - 1 episode     - 45 min             - Fantasy, Romance, Shoujo, Supernatural                                          - https://myanimelist.net/anime/22271
Arigatou (2010)                                                                                     - None  - 2010 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/37195
Arigatou Thank You                                                                                  - 4.78  - 2004 - 1 episode     - 2 min              - Comedy, Kids, Music, Sci-Fi, Space                                              - https://myanimelist.net/anime/8716
Aru Zombie Shoujo no Sainan PV                                                                      - 4.86  - 2012 - 1 episode     - 45 sec             - Action, Horror                                                                  - https://myanimelist.net/anime/31014
Aruite Mikka!                                                                                       - 4.23  - 1999 - 1 episode     - 2 min              - Comedy, Kids, Music                                                             - https://myanimelist.net/anime/29105
Asana Yuuna                                                                                         - None  - 2009 - 1 episode     - 2 min              - Fantasy, Kids, Music                                                            - https://myanimelist.net/anime/55905
Ashiato                                                                                             - None  - 2020 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/56238
Ashita Aou ne                                                                                       - None  - 2008 - 1 episode     - 2 min              - Kids, Music                                                                     - https://myanimelist.net/anime/36055
Ashita no Joe                                                                                       - 8.29  - 1970 - 79 episodes   - 25 min per ep      - Combat Sports, Drama, Shounen, Sports                                           - https://myanimelist.net/anime/2402
Asobot Senki Gokuu                                                                                  - 6.59  - 2002 - 52 episodes   - 23 min per ep      - Action, Adventure, Comedy, Sci-Fi, Shounen                                      - https://myanimelist.net/anime/3193
Astro Boy: Tetsuwan Atom - 10-man Kounen no Raihousha - IGZA                                        - 6.48  - 2005 - 1 episode     - 41 min             - Kids, Mecha, Sci-Fi, Space                                                      - https://myanimelist.net/anime/39363
Asura Cryin' 2                                                                                      - 7.25  - 2009 - 13 episodes   - 24 min per ep      - Action, Mecha, Supernatural                                                     - https://myanimelist.net/anime/6676
Atama Yama                                                                                          - 6.38  - 2002 - 1 episode     - 10 min             - Avant Garde, Award Winning, Comedy, Fantasy, Psychological, Suspense            - https://myanimelist.net/anime/1370
Atama wa Tsukaiyou. Card mo Tsukaiyou.                                                              - 5.35  - 2014 - 1 episode     - 16 sec             - Comedy                                                                          - https://myanimelist.net/anime/29141
Attack No.1: Namida no Kaiten Receive                                                               - 6.16  - 1970 - 1 episode     - 1 hr               - Drama, Shoujo, Sports, Team Sports                                              - https://myanimelist.net/anime/9165
Aware! Meisaku-kun: Human Academy Robot Kyoushitsu                                                  - None  - 2018 - 2 episodes    - 45 sec per ep      - Comedy, Kids, Parody                                                            - https://myanimelist.net/anime/37241
Aware! Meisaku-kun: Meiji Saite Oishii Mozzarella                                                   - None  - 2017 - 1 episode     - 2 min              - Comedy, Parody                                                                  - https://myanimelist.net/anime/35002
Azusa, Otetsudai Shimasu!                                                                           - 6.17  - 2004 - 1 episode     - 44 min             - Comedy, Sci-Fi, Sports, Team Sports                                             - https://myanimelist.net/anime/2309
BOY's LOVE Nitro+CHiRAL                                                                             - 4.87  - 2017 - 5 episodes    - 4 min per ep       - Comedy, Parody                                                                  - https://myanimelist.net/anime/35328
Babel Nisei                                                                                         - 6.36  - 1973 - 39 episodes   - 25 min per ep      - Adventure, Sci-Fi, Shounen, Supernatural                                        - https://myanimelist.net/anime/1666
Baby☆Love                                                                                           - 6.15  - 1997 - 1 episode     - 30 min             - Comedy, Romance                                                                 - https://myanimelist.net/anime/722
Bad Boy (Slom Remix)                                                                                - None  - 2021 - 1 episode     - 3 min              - Music                                                                           - https://myanimelist.net/anime/55174
Bad Boy (nomad Remix)                                                                               - None  - 2021 - 1 episode     - 3 min              - Music                                                                           - https://myanimelist.net/anime/55173
Bai Bian Ji Shou: Luo Luo Lixian Ji                                                                 - None  - 2008 - 52 episodes   - 25 min per ep      - Kids, Mecha, Sci-Fi                                                             - https://myanimelist.net/anime/44287
Bakugan: Battle Planet                                                                              - 5.50  - 2019 - 50 episodes   - 24 min per ep      - Action, Fantasy, Strategy Game                                                  - https://myanimelist.net/anime/39622
Bakugan: Legends                                                                                    - None  - 2023 - 13 episodes   - 22 min per ep      - Action, Fantasy, Strategy Game                                                  - https://myanimelist.net/anime/54637
Bakuman. 2nd Season                                                                                 - 8.35  - 2011 - 25 episodes   - 24 min per ep      - Comedy, Drama, Otaku Culture, Romance, Shounen                                  - https://myanimelist.net/anime/10030
BanG Dream! Movie: Poppin' Dream!                                                                   - 7.91  - 2022 - 1 episode     - 1 hr 10 min        - Music                                                                           - https://myanimelist.net/anime/41782
Bananya: Fushigi na Nakama-tachi                                                                    - 6.63  - 2019 - 13 episodes   - 2 min per ep       - Comedy, Kids, Slice of Life                                                     - https://myanimelist.net/anime/40228
Bannou Bunka Neko-Musume Specials                                                                   - 6.35  - 1999 - 2 episodes    - 23 min per ep      - Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen                                - https://myanimelist.net/anime/3232
Bao Qiang                                                                                           - None  - 2009 - 5 episodes    - 2 min per ep       - Action, Anthropomorphic, Comedy, Fantasy, Martial Arts                          - https://myanimelist.net/anime/44699
Bari Bari Densetsu (1987)                                                                           - 6.62  - 1987 - 1 episode     - 1 hr 25 min        - Action, Drama, Racing, Shounen                                                  - https://myanimelist.net/anime/12745
Bary-san x Gospe Rats: Tonde Bary Bary Monogatari                                                   - 5.49  - 2015 - 1 episode     - 2 min              - Music                                                                           - https://myanimelist.net/anime/31662
Battle Spirits: Burning Soul                                                                        - 6.69  - 2015 - 51 episodes   - 22 min per ep      - Strategy Game                                                                   - https://myanimelist.net/anime/27737
Beast Wars Second Chou Seimeitai Transformers                                                       - 6.38  - 1998 - 43 episodes   - 24 min per ep      - Action, Mecha, Sci-Fi                                                           - https://myanimelist.net/anime/5070
Because                                                                                             - 5.68  - 2020 - 1 episode     - 4 min              - Avant Garde, Music                                                              - https://myanimelist.net/anime/43318
