Title                                                                                       - Score - Year - Num Eps            - Duration             - Genre(s)                                                                        - Link
Daishikkin Helena                                                                           - 5.96  - 2005 - 2 episode(s)       - 26 min. per ep.      - Hentai                                                                          - https://myanimelist.net/anime/3250
Daisougen no Chiisana Tenshi: Bush Baby                                                     - 7.28  - 1992 - 40 episode(s)      - 24 min. per ep.      - Adventure, Drama                                                                - https://myanimelist.net/anime/2913
Dennou Coil                                                                                 - 8.15  - 2007 - 26 episode(s)      - 25 min. per ep.      - Adventure, Comedy, Drama, Mystery, Sci-Fi                                       - https://myanimelist.net/anime/2164
Digimon Adventure tri. 2: Ketsui                                                            - 7.70  - 2016 - 1 episode(s)       - 1 hr. 28 min.        - Action, Adventure, Comedy, Drama                                                - https://myanimelist.net/anime/32108
Doctor Mambo & Kaitou Jibako: Uchuu yori Ai wo Komete!!                                     - 5.17  - 1983 - 1 episode(s)       - 1 hr. 24 min.        - Adventure, Fantasy, Kids, Mystery, Sci-Fi                                       - https://myanimelist.net/anime/23801
Doraemon Movie 04: Nobita no Kaitei Kiganjou                                                - 7.25  - 1983 - 1 episode(s)       - 1 hr. 35 min.        - Fantasy                                                                         - https://myanimelist.net/anime/2667
Doraemon Movie 09: Nobita no Parallel Saiyuuki                                              - 7.34  - 1988 - 1 episode(s)       - 1 hr. 30 min.        - Adventure, Fantasy, Kids, Sci-Fi, Shounen                                       - https://myanimelist.net/anime/2658
Doraemon Movie 15: Nobita to Mugen Sankenshi                                                - 7.43  - 1994 - 1 episode(s)       - 1 hr. 40 min.        - Adventure, Fantasy, Kids, Sci-Fi, Shounen                                       - https://myanimelist.net/anime/2676
Doraemon: Treasure of the Shinugumi Mountain                                                - 6.66  - 1988 - 1 episode(s)       - 23 min.              - Adventure, Comedy, Fantasy, Kids, Shounen                                       - https://myanimelist.net/anime/2644
Dorami-chan: A Blue Straw Hat                                                               - 5.27  - 1994 - 1 episode(s)       - 15 min.              - Kids, Fantasy                                                                   - https://myanimelist.net/anime/2642
Dr. Slump Movie 08: Arale-chan Hoyoyo!! Tasuketa Same ni Tsurerarete...                     - 6.20  - 1994 - 1 episode(s)       - 25 min.              - Comedy, Sci-Fi, Shounen                                                         - https://myanimelist.net/anime/8548
Dreaming Pupa: Yumemiru Bokura                                                              - 4.88  - 2010 - 1 episode(s)       - 4 min.               - Music                                                                           - https://myanimelist.net/anime/32803
Duel Masters Movie 1: Yami no Shiro no Maryuuou                                             - 5.98  - 2005 - 1 episode(s)       - 45 min.              - Adventure, Kids                                                                 - https://myanimelist.net/anime/3669
Elsword: Ain-ui Gieog Animation                                                             - 6.46  - 2016 - 1 episode(s)       - 4 min.               - Action, Fantasy                                                                 - https://myanimelist.net/anime/34766
Fairy Tail                                                                                  - 8.09  - 2009 - 175 episode(s)     - 24 min. per ep.      - Action, Adventure, Comedy, Magic, Fantasy, Shounen                              - https://myanimelist.net/anime/6702
Feng Ji Yun Nu                                                                              - 5.36  - 2004 - 1 episode(s)       - 5 min.               - Action, Martial Arts                                                            - https://myanimelist.net/anime/29961
Freely Tomorrow                                                                             - 6.78  - 2012 - 1 episode(s)       - 4 min.               - Music                                                                           - https://myanimelist.net/anime/22513
FunaQ: Funassyi to Soutai-kun                                                               - 4.00  - 2013 - 14 episode(s)      - 12 min. per ep.      - Slice of Life                                                                   - https://myanimelist.net/anime/35611
Futari no Oujisama                                                                          - 5.00  - 1996 - 1 episode(s)       - 30 min.              - Fantasy, Slice of Life                                                          - https://myanimelist.net/anime/23343
Fuwafuwa Hour: Pui Pui & Muu Muu                                                            - 3.50  - 2017 - Unknown episode(s) - 4 min.               - Fantasy, Kids                                                                   - https://myanimelist.net/anime/36506
Gaiking: Legend of Daiku-Maryu                                                              - 7.27  - 2005 - 39 episode(s)      - 25 min. per ep.      - Action, Mecha, Sci-Fi                                                           - https://myanimelist.net/anime/1845
Ganbare! Oden-kun                                                                           - 5.73  - 2013 - 102 episode(s)     - 3 min. per ep.       - Comedy                                                                          - https://myanimelist.net/anime/16908
Gegege no Kitarou (1985)                                                                    - 6.79  - 1985 - 108 episode(s)     - 25 min. per ep.      - Comedy, Supernatural                                                            - https://myanimelist.net/anime/7307
Gegege no Kitarou: Chisougan                                                                - 6.06  - 1980 - 1 episode(s)       - 12 min.              - Adventure, Comedy, Fantasy, Horror, Supernatural                                - https://myanimelist.net/anime/8150
Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!                                  - 6.28  - 1986 - 1 episode(s)       - 49 min.              - Adventure, Comedy, Fantasy, Horror, Supernatural                                - https://myanimelist.net/anime/8154
Gegege no Kitarou: Youkai Japan Rally 3D                                                    - 4.53  - 2008 - 1 episode(s)       - 8 min.               - Adventure, Fantasy, Cars, Supernatural                                          - https://myanimelist.net/anime/28103
Gegege no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha                                       - 6.27  - 1997 - 1 episode(s)       - 23 min.              - Adventure, Comedy, Fantasy, Horror, Supernatural                                - https://myanimelist.net/anime/8157
Genma Taisen                                                                                - 5.10  - 1983 - 1 episode(s)       - 2 hr. 31 min.        - Action, Adventure, Comedy, Drama, Mecha, Sci-Fi, Shounen                        - https://myanimelist.net/anime/1626
Geunyeoneun Yeppeotda                                                                       - 6.84  - 2008 - 1 episode(s)       - 1 hr. 38 min.        - Comedy, Drama, Romance                                                          - https://myanimelist.net/anime/9351
Gin no Saji                                                                                 - 8.16  - 2013 - 11 episode(s)      - 23 min. per ep.      - Comedy, School, Shounen, Slice of Life                                          - https://myanimelist.net/anime/16918
