Title                                                                                               - Score - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Adauchi Karasu                                                                                      - 3.00  - 1 episode(s)       - 12 min.               -                                                                                                                                                                - https://myanimelist.net/anime/35212
Advancer Tina                                                                                       - 5.07  - 1 episode(s)       - 45 min.               - Space, Hentai, Sci-Fi                                                                                                                                          - https://myanimelist.net/anime/3635
Aesop Douwa                                                                                         - 4.20  - 3 episode(s)       - 25 min. per ep.       -                                                                                                                                                                - https://myanimelist.net/anime/35722
Aesop's World                                                                                       - 5.73  - 26 episode(s)      - 11 min. per ep.       - Kids                                                                                                                                                           - https://myanimelist.net/anime/4709
Afro-Ken                                                                                            - 5.21  - 1 episode(s)       - 29 min.               - Comedy, Kids                                                                                                                                                   - https://myanimelist.net/anime/2796
Afureko! AR                                                                                         - 4.46  - 3 episode(s)       - 2 min. per ep.        -                                                                                                                                                                - https://myanimelist.net/anime/35708
Age Man to Fuku Chin                                                                                - 5.22  - 1 episode(s)       - 29 min.               - Hentai                                                                                                                                                         - https://myanimelist.net/anime/5564
Agigongryong Doolie                                                                                 - 6.09  - 6 episode(s)       - 15 min. per ep.       - Adventure, Kids                                                                                                                                                - https://myanimelist.net/anime/17088
Agukaru: Play with Ibaraki-hen Episode 0                                                            - 4.64  - 1 episode(s)       - 14 min.               - Magic, Slice of Life, Supernatural                                                                                                                             - https://myanimelist.net/anime/30732
Agukaru                                                                                             - 5.18  - 5 episode(s)       - 12 min. per ep.       - Magic, Supernatural, Slice of Life                                                                                                                             - https://myanimelist.net/anime/9689
Ahiru no Pekkle no Aladdin to Mahou no Lamp                                                         - 5.63  - 1 episode(s)       - 30 min.               - Fantasy, Kids                                                                                                                                                  - https://myanimelist.net/anime/22611
Ahiru no Pekkle no Suieitaikai wa Oosawagi                                                          - 5.89  - 1 episode(s)       - 20 min.               - Fantasy, Kids                                                                                                                                                  - https://myanimelist.net/anime/22607
Ai Monogatari: 9 Love Stories                                                                       - 6.76  - 1 episode(s)       - 1 hr. 32 min.         - Drama, Romance                                                                                                                                                 - https://myanimelist.net/anime/2387
Ai Tenchi Muyou! Recaps                                                                             - 5.37  - 10 episode(s)      - 4 min. per ep.        - Comedy, Sci-Fi, Shounen                                                                                                                                        - https://myanimelist.net/anime/28531
Ai Tenshi Densetsu Wedding Peach DX                                                                 - 6.76  - 4 episode(s)       - 30 min. per ep.       - Adventure, Magic, Comedy, Romance, Shoujo                                                                                                                      - https://myanimelist.net/anime/1957
Ai Tenshi Densetsu Wedding Peach Specials                                                           - 6.40  - 2 episode(s)       - 10 min. per ep.       - Adventure, Comedy, Magic, Romance, Shoujo                                                                                                                      - https://myanimelist.net/anime/26189
Ai no Wakakusa Monogatari Specials                                                                  - 6.45  - 2 episode(s)       - 45 min. per ep.       - Drama, Historical, Slice of Life                                                                                                                               - https://myanimelist.net/anime/15607
Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken                                                - 5.89  - 1 episode(s)       - 45 min.               - Adventure, Fantasy, Comedy                                                                                                                                     - https://myanimelist.net/anime/5931
Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!                                                    - 6.74  - 1 episode(s)       - 47 min.               - Music, School, Shoujo                                                                                                                                          - https://myanimelist.net/anime/28723
Ail Maniax: Inma Seifukugari & Majogari no Yoru ni                                                  - 5.46  - 3 episode(s)       - 30 min. per ep.       - Hentai, Demons                                                                                                                                                 - https://myanimelist.net/anime/2350
Air Gear Special                                                                                    - 7.40  - 1 episode(s)       - 24 min.               - Sports, Shounen                                                                                                                                                - https://myanimelist.net/anime/3791
Aisubeki Mirai e                                                                                    - 6.41  - 1 episode(s)       - 8 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/7659
Ajin 2nd Season OVA                                                                                 - N/A   - 1 episode(s)       - 21 min.               - Action, Horror, Mystery, Seinen, Supernatural                                                                                                                  - https://myanimelist.net/anime/36625
Ajin Senshi                                                                                         - 6.38  - 1 episode(s)       - 1 hr. 40 min.         - Fantasy, Sci-Fi                                                                                                                                                - https://myanimelist.net/anime/17325
Akadou Suzunosuke                                                                                   - 5.94  - 52 episode(s)      - 24 min. per ep.       - Adventure, Historical                                                                                                                                          - https://myanimelist.net/anime/11275
Akai Jitensha                                                                                       - 4.00  - 1 episode(s)       - 2 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/24999
Akai Koudan Zillion: Utahime Yakyoku                                                                - 6.08  - 1 episode(s)       - 45 min.               - Adventure, Sci-Fi, Shounen                                                                                                                                     - https://myanimelist.net/anime/2689
