Title                                                                                               - Score - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
DNA Hunter                                                                                          - 5.63  - 3 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/3953
Da Zuiba Dudu                                                                                       - 5.41  - 52 episode(s)      - 11 min. per ep.       - Slice of Life, Kids                                                                                                                                            - https://myanimelist.net/anime/9955
Dai Mahou Touge Omake                                                                               - 6.93  - 4 episode(s)       - 1 min. per ep.        - Comedy                                                                                                                                                         - https://myanimelist.net/anime/1841
Daimajuu Gekitou: Hagane no Oni                                                                     - 5.35  - 1 episode(s)       - 56 min.               - Mecha, Horror, Sci-Fi                                                                                                                                          - https://myanimelist.net/anime/1819
Daisetsusan no Yuusha Kibaou                                                                        - 7.20  - 1 episode(s)       - 1 hr. 10 min.         - Adventure, Drama                                                                                                                                               - https://myanimelist.net/anime/6202
Daishizen no Majuu: Bagi                                                                            - 6.49  - 1 episode(s)       - 1 hr. 30 min.         - Action, Romance, Sci-Fi                                                                                                                                        - https://myanimelist.net/anime/2312
Daisougen no Chiisana Tenshi Bush Baby Specials                                                     - 5.46  - 2 episode(s)       - 45 min. per ep.       - Adventure, Drama                                                                                                                                               - https://myanimelist.net/anime/25081
Daisougen no Chiisana Tenshi: Bush Baby                                                             - 7.29  - 40 episode(s)      - 24 min. per ep.       - Adventure, Drama                                                                                                                                               - https://myanimelist.net/anime/2913
Daitoshokan no Hitsujikai Picture Drama                                                             - 6.36  - 6 episode(s)       - 9 min. per ep.        - Ecchi, Comedy                                                                                                                                                  - https://myanimelist.net/anime/29165
Dance, Dance, Dance                                                                                 - 6.02  - 1 episode(s)       - 4 min.                - Fantasy, Music                                                                                                                                                 - https://myanimelist.net/anime/19235
Dangobei Torimonochou: Hirake - Goma no Maki                                                        - 5.35  - 1 episode(s)       - 9 min.                - Action, Adventure, Comedy                                                                                                                                      - https://myanimelist.net/anime/28057
Daraku: Onna Kyoushi Hakai                                                                          - 6.17  - 3 episode(s)       - 30 min. per ep.       - Hentai                                                                                                                                                         - https://myanimelist.net/anime/3578
Darkside Blues                                                                                      - 6.26  - 1 episode(s)       - 1 hr. 23 min.         - Horror, Mystery, Psychological, Sci-Fi                                                                                                                         - https://myanimelist.net/anime/1494
Daruma-chan                                                                                         - 7.33  - 5 episode(s)       - 14 min. per ep.       - Kids, Supernatural                                                                                                                                             - https://myanimelist.net/anime/30958
Datenshi-tachi no Kyouen                                                                            - 4.96  - 1 episode(s)       - 21 min.               - Hentai                                                                                                                                                         - https://myanimelist.net/anime/5540
David and Goliath                                                                                   - 4.90  - 1 episode(s)       - 1 hr. 15 min.         - Adventure, Historical, Kids                                                                                                                                    - https://myanimelist.net/anime/16816
De:vadasy                                                                                           - 4.88  - 3 episode(s)       - 23 min. per ep.       - Action, Ecchi, Psychological, Mecha                                                                                                                            - https://myanimelist.net/anime/1529
Dead Heat                                                                                           - 5.64  - 1 episode(s)       - 30 min.               - Action, Sports, Mecha, Sci-Fi                                                                                                                                  - https://myanimelist.net/anime/10780
Defend Love                                                                                         - 6.00  - 1 episode(s)       - 5 min.                - Adventure, Fantasy, Magic, Mecha, Romance, Super Power, Supernatural, Music, Sci-Fi                                                                            - https://myanimelist.net/anime/7953
Dengeki Bunko 2007 Movie Festival Special                                                           - 6.30  - 1 episode(s)       - 3 min.                - Comedy                                                                                                                                                         - https://myanimelist.net/anime/6628
Dengeki Oshioki Musume Gootaman R: Ai to Kanashimi no Final Battle                                  - 5.49  - 1 episode(s)       - 46 min.               - Action, Comedy, Ecchi, Parody                                                                                                                                  - https://myanimelist.net/anime/5549
Dengeki Oshioki Musume Gootaman: Gootaman Tanjou-hen                                                - 5.30  - 1 episode(s)       - 45 min.               - Action, Comedy, Ecchi, Parody                                                                                                                                  - https://myanimelist.net/anime/5025
Deniroo's Circus                                                                                    - 3.40  - 1 episode(s)       - 1 min.                - Comedy                                                                                                                                                         - https://myanimelist.net/anime/31644
Dennou Coil Recaps                                                                                  - 6.44  - 2 episode(s)       - 25 min. per ep.       - Adventure, Comedy, Drama, Mystery, Sci-Fi                                                                                                                      - https://myanimelist.net/anime/13955
Densetsu Kyojin Ideon: Hatsudou-hen                                                                 - 7.86  - 1 episode(s)       - 1 hr. 38 min.         - Drama, Mecha, Sci-Fi, Space                                                                                                                                    - https://myanimelist.net/anime/2761
Densetsu Kyojin Ideon: Sesshoku-hen                                                                 - 6.28  - 1 episode(s)       - 1 hr. 25 min.         - Sci-Fi, Space, Drama, Mecha                                                                                                                                    - https://myanimelist.net/anime/2760
Densetsu no Yuusha Da Garn                                                                          - 7.28  - 46 episode(s)      - 24 min. per ep.       - Mecha, Sci-Fi, Shounen                                                                                                                                         - https://myanimelist.net/anime/2803
Densetsu no Yuusha no Densetsu: Iris Report                                                         - 6.59  - 1 episode(s)       - 23 min.               - Action, Adventure, Fantasy, Magic, Shounen                                                                                                                     - https://myanimelist.net/anime/9690
Denshinbashira no Okaasan                                                                           - 5.71  - 1 episode(s)       - 10 min.               - Drama                                                                                                                                                          - https://myanimelist.net/anime/10375
Detatoko Princess                                                                                   - 6.12  - 3 episode(s)       - 30 min. per ep.       - Comedy, Fantasy                                                                                                                                                - https://myanimelist.net/anime/2693
Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab    - 7.66  - 1 episode(s)       - 28 min.               - Adventure, Police, Comedy, Mystery, Shounen                                                                                                                    - https://myanimelist.net/anime/5348
Detective Conan Magic File 3: Shinichi and Ran - Memories of Mahjong Tiles and Tanabata             - 7.56  - 1 episode(s)       - 20 min.               - Mystery, Shounen                                                                                                                                               - https://myanimelist.net/anime/6231
Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey                                             - 7.65  - 1 episode(s)       - 25 min.               - Police, Comedy, Mystery, Shounen                                                                                                                               - https://myanimelist.net/anime/8331
Detective Conan vs. Wooo                                                                            - 6.11  - 2 episode(s)       - 7 min. per ep.        - Adventure, Comedy, Mystery, Police, Shounen                                                                                                                    - https://myanimelist.net/anime/10766
Detective Conan: A Written Challenge from the Pyramids!                                             - 6.71  - 1 episode(s)       - 17 min.               - Mystery                                                                                                                                                        - https://myanimelist.net/anime/33150
Detective Conan: Black History 2                                                                    - 7.64  - 1 episode(s)       - 50 min.               - Adventure, Mystery, Comedy, Police, Shounen                                                                                                                    - https://myanimelist.net/anime/9839
Detective Conan: Black History                                                                      - 7.73  - 1 episode(s)       - 25 min.               - Adventure, Mystery, Comedy, Police, Shounen                                                                                                                    - https://myanimelist.net/anime/7303
Detective Conan: City Exploration! Get the Animal Mark!                                             - 6.67  - 1 episode(s)       - 15 min.               - Mystery                                                                                                                                                        - https://myanimelist.net/anime/33152
Detective Conan: Conan vs. Kid - Jet Black Sniper                                                   - 7.58  - 1 episode(s)       - 16 min.               - Adventure, Comedy, Mystery, Police, Shounen                                                                                                                    - https://myanimelist.net/anime/9786
Detective Conan: Conan vs. Kid - Shark & Jewel                                                      - 7.77  - 1 episode(s)       - 16 min.               - Adventure, Comedy, Kids, Mystery, Police, Shounen                                                                                                              - https://myanimelist.net/anime/9785
Detective Conan: Happy New Year Special                                                             - 7.22  - 1 episode(s)       - 24 min.               - Action, Police, Comedy, Mystery, Shounen                                                                                                                       - https://myanimelist.net/anime/29437
Detective Conan: Let's Experience the Jomon Period!                                                 - 6.69  - 1 episode(s)       - 15 min.               - Mystery                                                                                                                                                        - https://myanimelist.net/anime/33148
Detective File 1: Kindan no Ai                                                                      - 5.09  - 1 episode(s)       - 28 min.               - Hentai                                                                                                                                                         - https://myanimelist.net/anime/4675
Deva Zan                                                                                            - 5.04  - 1 episode(s)       - 1 min.                - Action, Fantasy                                                                                                                                                - https://myanimelist.net/anime/10639
Devour Dinner                                                                                       - 5.28  - 1 episode(s)       - 10 min.               - Dementia, Fantasy                                                                                                                                              - https://myanimelist.net/anime/19209
Di Gi Charat Christmas Special                                                                      - 6.75  - 1 episode(s)       - 23 min.               - Comedy                                                                                                                                                         - https://myanimelist.net/anime/1757
Di Gi Charat Natsuyasumi Special                                                                    - 6.77  - 4 episode(s)       - 11 min. per ep.       - Comedy                                                                                                                                                         - https://myanimelist.net/anime/1756
Di Gi Charat Nyo                                                                                    - 7.23  - 104 episode(s)     - 12 min. per ep.       - Comedy, Fantasy, Sci-Fi                                                                                                                                        - https://myanimelist.net/anime/1683
Di Gi Charat Ohanami Special                                                                        - 6.81  - 4 episode(s)       - 10 min. per ep.       - Comedy                                                                                                                                                         - https://myanimelist.net/anime/1755
Di Gi Charat Summer Special 2000                                                                    - 6.62  - 4 episode(s)       - 11 min. per ep.       - Comedy                                                                                                                                                         - https://myanimelist.net/anime/1754
Di Gi Charat Tsuyu Specials                                                                         - 6.70  - 2 episode(s)       - 12 min. per ep.       - Comedy                                                                                                                                                         - https://myanimelist.net/anime/1758
Di Gi Charat: Hoshi no Tabi                                                                         - 6.72  - 1 episode(s)       - 21 min.               - Comedy                                                                                                                                                         - https://myanimelist.net/anime/1752
Di Gi Charat: Kuchi Kara Bazooka                                                                    - 6.42  - 1 episode(s)       - 13 min.               - Comedy                                                                                                                                                         - https://myanimelist.net/anime/1753
DigiGirl Pop!: Strawberry & Pop Mix Flavor                                                          - 6.14  - 26 episode(s)      - 3 min. per ep.        - Comedy, Sci-Fi                                                                                                                                                 - https://myanimelist.net/anime/7750
Digital Juice                                                                                       - 5.59  - 6 episode(s)       - 3 min. per ep.        - Comedy, Psychological                                                                                                                                          - https://myanimelist.net/anime/1105
Din Dong                                                                                            - 6.77  - 1 episode(s)       - 1 hr.                 - Comedy, Parody                                                                                                                                                 - https://myanimelist.net/anime/9869
DinoZone                                                                                            - 5.82  - 5 episode(s)       - 20 min. per ep.       - Adventure, Sci-Fi, Shounen                                                                                                                                     - https://myanimelist.net/anime/3499
Direct Animation                                                                                    - 4.45  - 1 episode(s)       - 1 min.                - Dementia                                                                                                                                                       - https://myanimelist.net/anime/30340
Dochinpira                                                                                          - 5.07  - 1 episode(s)       - 45 min.               - Action, Comedy, Hentai                                                                                                                                         - https://myanimelist.net/anime/4693
Document Taiyou no Kiba Dagram                                                                      - 6.18  - 1 episode(s)       - 1 hr. 20 min.         - Drama, Mecha, Military, Sci-Fi, Shounen                                                                                                                        - https://myanimelist.net/anime/9972
Dog Days'': Konshuu no Arasuji                                                                      - N/A   - 12 episode(s)      - 1 min. per ep.        - Action, Adventure, Fantasy, Magic                                                                                                                              - https://myanimelist.net/anime/35063
Dokaben                                                                                             - 6.29  - 163 episode(s)     - 25 min. per ep.       - Action, Sports, School, Shounen                                                                                                                                - https://myanimelist.net/anime/3825
Dokgotak: Taeyang-eul Hyanghae Deonjyeola                                                           - 4.83  - 1 episode(s)       - 1 hr. 17 min.         - Sports                                                                                                                                                         - https://myanimelist.net/anime/16572
Doku Tenshi no Shippo                                                                               - 6.60  - 4 episode(s)       - 9 min. per ep.        - Fantasy, Magic, Comedy, Romance                                                                                                                                - https://myanimelist.net/anime/2485
Dokushin Apartment Dokudamisou                                                                      - 5.71  - 3 episode(s)       - 55 min. per ep.       - Ecchi, Comedy                                                                                                                                                  - https://myanimelist.net/anime/9499
Dolittle-sensei Monogatari                                                                          - 6.44  - 13 episode(s)      - 22 min. per ep.       - Kids, Adventure                                                                                                                                                - https://myanimelist.net/anime/30034
Doll Saaya                                                                                          - 4.74  - 1 episode(s)       - 19 min.               - Hentai                                                                                                                                                         - https://myanimelist.net/anime/9317
Dolphin Ouji                                                                                        - 5.57  - 3 episode(s)       - 23 min. per ep.       - Action, Adventure, Kids, Sci-Fi                                                                                                                                - https://myanimelist.net/anime/8879
Don Chuck Monogatari                                                                                - 6.04  - 26 episode(s)      - 25 min. per ep.       - Adventure, Kids, Slice of Life                                                                                                                                 - https://myanimelist.net/anime/2575
Don: Gokudou Suikoden                                                                               - 5.95  - 2 episode(s)       - 50 min. per ep.       - Drama                                                                                                                                                          - https://myanimelist.net/anime/18451
Donbe Monogatari                                                                                    - 5.68  - 1 episode(s)       - 1 hr. 12 min.         - Kids                                                                                                                                                           - https://myanimelist.net/anime/11625
Donguri Mori e                                                                                      - 5.40  - 1 episode(s)       - 15 min.               - Fantasy, Kids                                                                                                                                                  - https://myanimelist.net/anime/25193
Donguri to Yamaneko                                                                                 - 6.37  - 1 episode(s)       - 25 min.               - Drama                                                                                                                                                          - https://myanimelist.net/anime/8451
Donkikko                                                                                            - 5.71  - 21 episode(s)      - 25 min. per ep.       - Comedy, Shounen                                                                                                                                                - https://myanimelist.net/anime/19901
Doolie Baenang-Yeohaeng                                                                             - 5.00  - 7 episode(s)       - 23 min. per ep.       - Adventure, Kids                                                                                                                                                - https://myanimelist.net/anime/26199
Doraemon (2005) Specials                                                                            - 6.42  - 59 episode(s)      - Unknown               - Comedy, Seinen                                                                                                                                                 - https://myanimelist.net/anime/35686
Doraemon Meets Hattori the Ninja                                                                    - 7.09  - 1 episode(s)       - 23 min.               - Comedy, Kids, Sci-Fi, Shounen                                                                                                                                  - https://myanimelist.net/anime/2630
Doraemon Movie 02: Nobita no Uchuu Kaitakushi                                                       - 7.19  - 1 episode(s)       - 1 hr. 36 min.         - Adventure, Comedy, Fantasy, Kids, Shounen                                                                                                                      - https://myanimelist.net/anime/2662
Doraemon Movie 03: Nobita no Daimakyou                                                              - 7.26  - 1 episode(s)       - 1 hr. 32 min.         - Adventure                                                                                                                                                      - https://myanimelist.net/anime/2671
Doraemon Movie 04: Nobita no Kaitei Kiganjou                                                        - 7.27  - 1 episode(s)       - 1 hr. 35 min.         - Fantasy                                                                                                                                                        - https://myanimelist.net/anime/2667
Doraemon Movie 05: Nobita no Makai Daibouken                                                        - 7.46  - 1 episode(s)       - 1 hr. 38 min.         - Fantasy                                                                                                                                                        - https://myanimelist.net/anime/2672
Doraemon Movie 06: Nobita no Little Star Wars                                                       - 7.13  - 1 episode(s)       - 1 hr. 38 min.         - Fantasy, Space                                                                                                                                                 - https://myanimelist.net/anime/2669
Doraemon Movie 07: Nobita to Tetsujin Heidan                                                        - 7.45  - 1 episode(s)       - 1 hr. 40 min.         - Adventure, Comedy, Fantasy, Kids, Shounen                                                                                                                      - https://myanimelist.net/anime/2665
Doraemon Movie 08: Nobita to Ryuu no Kishi                                                          - 7.19  - 1 episode(s)       - 1 hr. 31 min.         - Adventure, Comedy, Fantasy, Kids, Shounen                                                                                                                      - https://myanimelist.net/anime/2657
Doraemon Movie 09: Nobita no Parallel Saiyuuki                                                      - 7.34  - 1 episode(s)       - 1 hr. 30 min.         - Adventure, Fantasy, Kids, Sci-Fi, Shounen                                                                                                                      - https://myanimelist.net/anime/2658
Doraemon Movie 10: Nobita no Nippon Tanjou                                                          - 7.31  - 1 episode(s)       - 1 hr. 40 min.         - Adventure, Comedy, Fantasy, Kids, Shounen                                                                                                                      - https://myanimelist.net/anime/2666
Doraemon Movie 11: Nobita to Animal Planet                                                          - 7.35  - 1 episode(s)       - 1 hr. 40 min.         - Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen                                                                                                              - https://myanimelist.net/anime/2677
Doraemon Movie 12: Nobita no Dorabian Nights                                                        - 7.29  - 1 episode(s)       - 1 hr. 40 min.         - Adventure, Comedy, Fantasy, Kids, Shounen                                                                                                                      - https://myanimelist.net/anime/2670
Doraemon Movie 13: Nobita to Kumo no Oukoku                                                         - 7.38  - 1 episode(s)       - 1 hr. 40 min.         - Adventure, Comedy                                                                                                                                              - https://myanimelist.net/anime/2661
Doraemon Movie 14: Nobita to Buriki no Labyrinth                                                    - 7.23  - 1 episode(s)       - 1 hr. 40 min.         - Fantasy                                                                                                                                                        - https://myanimelist.net/anime/2659
Doraemon Movie 15: Nobita to Mugen Sankenshi                                                        - 7.41  - 1 episode(s)       - 1 hr. 40 min.         - Adventure, Fantasy, Kids, Sci-Fi, Shounen                                                                                                                      - https://myanimelist.net/anime/2676
Doraemon Movie 16: Nobita no Sousei Nikki                                                           - 7.19  - 1 episode(s)       - 1 hr. 38 min.         - Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen                                                                                                              - https://myanimelist.net/anime/2674
Doraemon Movie 17: Nobita to Ginga Express                                                          - 7.39  - 1 episode(s)       - 1 hr. 37 min.         - Fantasy                                                                                                                                                        - https://myanimelist.net/anime/2675
Doraemon Movie 18: Nobita no Nejimaki City Boukenki                                                 - 7.15  - 1 episode(s)       - 1 hr. 38 min.         - Adventure, Fantasy, Kids, Shounen                                                                                                                              - https://myanimelist.net/anime/2678
Doraemon Movie 19: Nobita no Nankai Daibouken                                                       - 7.22  - 1 episode(s)       - 1 hr. 31 min.         - Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen                                                                                                              - https://myanimelist.net/anime/2664
Doraemon Movie 20: Nobita no Uchuu Hyouryuuki                                                       - 7.24  - 1 episode(s)       - 1 hr. 33 min.         - Adventure, Comedy, Fantasy, Kids, Shounen, Space                                                                                                               - https://myanimelist.net/anime/2668
Doraemon Movie 21: Nobita no Taiyou Ou Densetsu                                                     - 7.53  - 1 episode(s)       - 1 hr. 31 min.         - Adventure, Comedy, Fantasy, Historical, Kids, Shounen                                                                                                          - https://myanimelist.net/anime/7045
Doraemon Movie 22: Nobita to Tsubasa no Yuusha-tachi                                                - 7.41  - 1 episode(s)       - 1 hr. 31 min.         - Adventure, Fantasy, Kids, Shounen                                                                                                                              - https://myanimelist.net/anime/2654
Doraemon Movie 23: Nobita to Robot Kingdom                                                          - 7.31  - 1 episode(s)       - 1 hr. 21 min.         - Adventure, Comedy, Fantasy, Kids, Shounen                                                                                                                      - https://myanimelist.net/anime/2655
Doraemon Movie 24: Nobita to Fushigi Kaze Tsukai                                                    - 7.41  - 1 episode(s)       - 1 hr. 20 min.         - Adventure, Comedy, Fantasy, Kids                                                                                                                               - https://myanimelist.net/anime/2393
Doraemon Movie 25: Nobita no Wan Nyan Jikuuden                                                      - 7.49  - 1 episode(s)       - 1 hr. 20 min.         - Adventure, Comedy, Kids, Sci-Fi                                                                                                                                - https://myanimelist.net/anime/2656
Doraemon Movie 26: Nobita no Kyouryuu 2006                                                          - 7.56  - 1 episode(s)       - 1 hr. 47 min.         - Adventure, Comedy, Kids                                                                                                                                        - https://myanimelist.net/anime/2392
Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai                            - 7.64  - 1 episode(s)       - 1 hr. 55 min.         - Adventure, Comedy, Fantasy                                                                                                                                     - https://myanimelist.net/anime/2673
Doraemon Movie 28: Nobita to Midori no Kyojin Den                                                   - 7.53  - 1 episode(s)       - 1 hr. 52 min.         - Adventure, Comedy, Fantasy, Kids, Shounen                                                                                                                      - https://myanimelist.net/anime/5096
Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi                                                  - 7.41  - 1 episode(s)       - 1 hr. 38 min.         - Adventure, Comedy, Fantasy, Kids                                                                                                                               - https://myanimelist.net/anime/6930
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi                           - 7.74  - 1 episode(s)       - 1 hr. 48 min.         - Adventure, Comedy, Fantasy, Kids, Shounen                                                                                                                      - https://myanimelist.net/anime/10534
Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure                                     - 7.27  - 1 episode(s)       - 1 hr. 40 min.         - Adventure, Comedy, Fantasy, Kids, Shounen                                                                                                                      - https://myanimelist.net/anime/11053
Doraemon Movie: Boku, Momotarou no Nanna no Sa                                                      - 6.75  - 1 episode(s)       - 47 min.               - Adventure, Fantasy, Kids, Sci-Fi, Shounen                                                                                                                      - https://myanimelist.net/anime/2650
Doraemon: 2112-nen Doraemon Tanjou                                                                  - 7.37  - 1 episode(s)       - 30 min.               - Kids, Fantasy, Comedy                                                                                                                                          - https://myanimelist.net/anime/2648
Doraemon: Doraemon Comes Back (Movie)                                                               - 7.15  - 1 episode(s)       - 27 min.               - Comedy, Kids, Fantasy                                                                                                                                          - https://myanimelist.net/anime/2651
Doraemon: Doraemon Comes Back                                                                       - 7.28  - 1 episode(s)       - 21 min.               - Comedy, Fantasy, Kids, Sci-Fi, Shounen                                                                                                                         - https://myanimelist.net/anime/2634
Doraemon: Featherplace                                                                              - 6.72  - 1 episode(s)       - 21 min.               - Comedy, Fantasy, Kids, Sci-Fi, Shounen                                                                                                                         - https://myanimelist.net/anime/2635
Doraemon: Ganbare! Gian!!                                                                           - 6.74  - 1 episode(s)       - 26 min.               - Adventure, Comedy, Fantasy, Kids, Shounen                                                                                                                      - https://myanimelist.net/anime/2653
Doraemon: It's New Year!                                                                            - 6.71  - 1 episode(s)       - 20 min.               - Kids, Comedy, Sci-Fi, Shounen                                                                                                                                  - https://myanimelist.net/anime/2627
Doraemon: It's Spring!                                                                              - 6.63  - 1 episode(s)       - 23 min.               - Kids, Adventure, Fantasy, Comedy, Shounen                                                                                                                      - https://myanimelist.net/anime/2638
Doraemon: It's Summer!                                                                              - 6.59  - 1 episode(s)       - 23 min.               - Kids, Adventure, Fantasy, Comedy, Shounen                                                                                                                      - https://myanimelist.net/anime/2640
Doraemon: It's Winter!                                                                              - 6.68  - 1 episode(s)       - 23 min.               - Kids, Adventure, Fantasy, Comedy, Shounen                                                                                                                      - https://myanimelist.net/anime/2641
Doraemon: Nobita to Mirai Note                                                                      - 6.38  - 1 episode(s)       - 16 min.               - Kids, Adventure, Fantasy, Sci-Fi, Shounen                                                                                                                      - https://myanimelist.net/anime/16702
Doraemon: Nobita's the Night Before a Wedding                                                       - 7.41  - 1 episode(s)       - 26 min.               - Fantasy                                                                                                                                                        - https://myanimelist.net/anime/2660
Doraemon: Obaachan no Omoide                                                                        - 7.48  - 1 episode(s)       - 27 min.               - Comedy, Fantasy, Kids, Sci-Fi, Shounen                                                                                                                         - https://myanimelist.net/anime/2649
Doraemon: The Day When I Was Born                                                                   - 7.12  - 1 episode(s)       - 28 min.               - Kids, Fantasy, Comedy, Sci-Fi, Shounen                                                                                                                         - https://myanimelist.net/anime/2652
Doraemon: Time Machine de Oshougatsu                                                                - 6.86  - 1 episode(s)       - 22 min.               - Sci-Fi, Adventure, Comedy, Kids, Shounen                                                                                                                       - https://myanimelist.net/anime/2632
Doraemon: Treasure of the Shinugumi Mountain                                                        - 6.70  - 1 episode(s)       - 23 min.               - Adventure, Comedy, Fantasy, Kids, Shounen                                                                                                                      - https://myanimelist.net/anime/2644
Dorami & Doraemons: Robot School's Seven Mysteries                                                  - 6.91  - 1 episode(s)       - 31 min.               - Fantasy                                                                                                                                                        - https://myanimelist.net/anime/2646
Dorami & Doraemons: Space Land's Critical Event                                                     - 6.78  - 1 episode(s)       - 16 min.               - Kids, Adventure, Fantasy, Comedy, Sci-Fi, Shounen                                                                                                              - https://myanimelist.net/anime/2645
Dorami-chan: A Blue Straw Hat                                                                       - 5.26  - 1 episode(s)       - 15 min.               - Kids, Fantasy                                                                                                                                                  - https://myanimelist.net/anime/2642
Dorami-chan: Hello Kyouryuu Kids!!                                                                  - 5.86  - 1 episode(s)       - 40 min.               - Fantasy                                                                                                                                                        - https://myanimelist.net/anime/2639
Dorami-chan: Mini-Dora SOS!!!                                                                       - 6.38  - 1 episode(s)       - 40 min.               - Kids, Fantasy                                                                                                                                                  - https://myanimelist.net/anime/2647
Dorami-chan: Wow, The Kid Gang of Bandits                                                           - 5.58  - 1 episode(s)       - 40 min.               - Fantasy                                                                                                                                                        - https://myanimelist.net/anime/2636
