Title                                                                                                - Score - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Detective Conan: The Fugitive Kogorou Mouri                                                          - 7.07  - 1 episode(s)       - 22 min.               - Mystery, Comedy                                                                                          - https://myanimelist.net/anime/24169
Detective Conan: The Internet - The Mysterious E-mail Case                                           - 6.72  - 1 episode(s)       - 14 min.               - Mystery                                                                                                  - https://myanimelist.net/anime/33149
Detective Conan: The Magician of Starlight                                                           - 6.95  - 1 episode(s)       - 25 min.               - Space                                                                                                    - https://myanimelist.net/anime/36760
Detective Conan                                                                                      - 8.25  - Unknown episode(s) - 25 min.               - Adventure, Mystery, Comedy, Police, Shounen                                                              - https://myanimelist.net/anime/235
Detroit Metal City                                                                                   - 8.23  - 12 episode(s)      - 13 min. per ep.       - Music, Comedy                                                                                            - https://myanimelist.net/anime/3702
Devilman Lady                                                                                        - 6.85  - 26 episode(s)      - 25 min. per ep.       - Action, Psychological, Drama, Horror                                                                     - https://myanimelist.net/anime/1629
Devilman Memorial                                                                                    - 5.98  - 1 episode(s)       - 59 min.               - Action, Horror, Demons, Supernatural                                                                     - https://myanimelist.net/anime/35952
Devilman: Crybaby                                                                                    - 8.14  - 10 episode(s)      - 25 min. per ep.       - Action, Demons, Horror, Supernatural                                                                     - https://myanimelist.net/anime/35120
Devilman: Tanjou-hen                                                                                 - 7.18  - 1 episode(s)       - 51 min.               - Demons, Horror, Sci-Fi, Supernatural                                                                     - https://myanimelist.net/anime/2354
Devilman: Yochou Sirene-hen                                                                          - 7.09  - 1 episode(s)       - 56 min.               - Demons, Horror, Sci-Fi, Supernatural                                                                     - https://myanimelist.net/anime/2355
Devilman                                                                                             - 6.47  - 39 episode(s)      - 25 min. per ep.       - Action, Demons, Horror, Supernatural                                                                     - https://myanimelist.net/anime/2252
Devils Line                                                                                          - N/A   - Unknown episode(s) - Unknown               - Action, Drama, Romance, Vampire, Seinen                                                                  - https://myanimelist.net/anime/35928
Diamond no Ace OVA                                                                                   - 7.67  - 3 episode(s)       - 23 min. per ep.       - Comedy, Sports, School, Shounen                                                                          - https://myanimelist.net/anime/25341
Diamond no Ace: Second Season                                                                        - 8.44  - 51 episode(s)      - 24 min. per ep.       - Comedy, Sports, School, Shounen                                                                          - https://myanimelist.net/anime/30230
Dimension W Special                                                                                  - 6.61  - 1 episode(s)       - 11 min.               - Sci-Fi, Seinen                                                                                           - https://myanimelist.net/anime/33069
Dimension W: W no Tobira Online                                                                      - 5.75  - 5 episode(s)       - 3 min. per ep.        - Sci-Fi, Seinen                                                                                           - https://myanimelist.net/anime/32410
Dimension W                                                                                          - 7.31  - 12 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Seinen                                                                                   - https://myanimelist.net/anime/31163
Dog Soldier                                                                                          - 4.01  - 1 episode(s)       - 46 min.               - Action, Military, Seinen                                                                                 - https://myanimelist.net/anime/2318
Dogs: Bullets & Carnage                                                                              - 7.43  - 4 episode(s)       - 15 min. per ep.       - Action, Seinen                                                                                           - https://myanimelist.net/anime/5593
Dokkiri Doctor                                                                                       - 6.55  - 26 episode(s)      - 25 min. per ep.       - Comedy, Slice of Life                                                                                    - https://myanimelist.net/anime/4554
Dokonjougaeru                                                                                        - 6.66  - 103 episode(s)     - 25 min. per ep.       - Slice of Life, Comedy, Shounen                                                                           - https://myanimelist.net/anime/5618
Dominion                                                                                             - 7.04  - 4 episode(s)       - 36 min. per ep.       - Comedy, Mecha, Police, Sci-Fi                                                                            - https://myanimelist.net/anime/1151
Don't Cry                                                                                            - 5.64  - 1 episode(s)       - 5 min.                - Music, Slice of Life, School, Seinen                                                                     - https://myanimelist.net/anime/36248
Dongguo Xiaojie                                                                                      - 6.39  - 15 episode(s)      - 14 min. per ep.       - Adventure, Historical, Demons, Supernatural                                                              - https://myanimelist.net/anime/34940
Donguri no Ie                                                                                        - 7.18  - 1 episode(s)       - 1 hr. 40 min.         - Drama                                                                                                    - https://myanimelist.net/anime/5916
Donten ni Warau Gaiden 3                                                                             - N/A   - 1 episode(s)       - Unknown               - Action, Historical, Supernatural, Shoujo                                                                 - https://myanimelist.net/anime/35425
Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai                                                - 7.72  - 1 episode(s)       - 50 min.               - Action, Historical, Supernatural, Shoujo                                                                 - https://myanimelist.net/anime/35086
Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma                                                    - N/A   - 1 episode(s)       - Unknown               - Action, Historical, Shoujo, Supernatural                                                                 - https://myanimelist.net/anime/35424
Donten ni Warau                                                                                      - 7.61  - 12 episode(s)      - 23 min. per ep.       - Action, Historical, Shoujo, Supernatural                                                                 - https://myanimelist.net/anime/21743
Doraemon (1979)                                                                                      - 7.74  - 1787 episode(s)    - 11 min. per ep.       - Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen                                                        - https://myanimelist.net/anime/2471
Doraemon (2005)                                                                                      - 7.59  - Unknown episode(s) - 25 min.               - Sci-Fi, Comedy, Kids, Shounen                                                                            - https://myanimelist.net/anime/8687
Doraemon Anniversary 25                                                                              - N/A   - 1 episode(s)       - 4 min.                - Comedy, Kids, Sci-Fi, Shounen                                                                            - https://myanimelist.net/anime/37112
Doraemon Movie 30: Nobita no Ningyo Daikaisen                                                        - 7.33  - 1 episode(s)       - 1 hr. 39 min.         - Adventure, Comedy, Fantasy, Kids, Shounen                                                                - https://myanimelist.net/anime/6988
Doraemon Movie 36: Shin Nobita no Nippon Tanjou                                                      - 7.44  - 1 episode(s)       - 1 hr. 44 min.         - Adventure, Comedy, Kids, Fantasy, Shounen                                                                - https://myanimelist.net/anime/31201
Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken                                           - 7.46  - 1 episode(s)       - 1 hr. 41 min.         - Adventure, Comedy, Kids, Fantasy, Shounen                                                                - https://myanimelist.net/anime/33672
Doraemon Movie 38: Nobita no Takarajima                                                              - N/A   - 1 episode(s)       - Unknown               - Adventure, Fantasy, Kids                                                                                 - https://myanimelist.net/anime/35740
Doraemon: Benkyou Heya no Tsuribori                                                                  - 6.79  - 1 episode(s)       - 12 min.               - Comedy, Kids, Sci-Fi, Shounen                                                                            - https://myanimelist.net/anime/36730
Doraemon                                                                                             - 7.46  - 26 episode(s)      - 25 min. per ep.       - Adventure, Comedy, Fantasy, Kids, Shounen                                                                - https://myanimelist.net/anime/501
Dorei-ku The Animation                                                                               - N/A   - Unknown episode(s) - Unknown               - Psychological, Drama                                                                                     - https://myanimelist.net/anime/36525
Dororo to Hyakkimaru                                                                                 - 7.26  - 26 episode(s)      - 26 min. per ep.       - Action, Adventure, Supernatural                                                                          - https://myanimelist.net/anime/5760
Dororon Enma-kun Meeramera                                                                           - 6.61  - 12 episode(s)      - 24 min. per ep.       - Action, Comedy, Super Power, Demons, Supernatural, Magic, Ecchi, Fantasy                                 - https://myanimelist.net/anime/9493
Dororon Enma-kun                                                                                     - 6.33  - 25 episode(s)      - 24 min. per ep.       - Comedy, Demons, Fantasy, Horror, Shounen, Supernatural                                                   - https://myanimelist.net/anime/1337
Double-J                                                                                             - 5.57  - 11 episode(s)      - 4 min. per ep.        - Comedy, School, Shounen                                                                                  - https://myanimelist.net/anime/10838
Doukyuusei (Movie)                                                                                   - 8.44  - 1 episode(s)       - 1 hr.                 - Slice of Life, Romance, School, Shounen Ai                                                               - https://myanimelist.net/anime/30346
Dr. Rin ni Kiitemite!                                                                                - 6.94  - 51 episode(s)      - 24 min. per ep.       - Comedy, Fantasy, Magic, Romance, School, Shoujo                                                          - https://myanimelist.net/anime/2259
Dr. Slump Movie 02: "Hoyoyo!" Uchuu Daibouken                                                        - 6.59  - 1 episode(s)       - 1 hr. 30 min.         - Comedy, Sci-Fi, Shounen                                                                                  - https://myanimelist.net/anime/8546
Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou                                         - 6.55  - 1 episode(s)       - 48 min.               - Sci-Fi, Comedy, Shounen                                                                                  - https://myanimelist.net/anime/6028
Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis                                     - 6.30  - 1 episode(s)       - 38 min.               - Comedy, Sci-Fi, Shounen                                                                                  - https://myanimelist.net/anime/8547
Dr. Slump Movie 06: Arale-chan N-cha! Penguin Mura wa Hare Nochi Hare                                - 6.31  - 1 episode(s)       - 42 min.               - Comedy, Sci-Fi, Shounen                                                                                  - https://myanimelist.net/anime/7816
Dr. Slump Movie 07: Arale-chan N-cha! Penguin Mura yori Ai wo Komete                                 - 6.36  - 1 episode(s)       - 31 min.               - Comedy, Sci-Fi, Shounen                                                                                  - https://myanimelist.net/anime/7157
Dr. Slump Movie 08: Arale-chan Hoyoyo!! Tasuketa Same ni Tsurerarete...                              - 6.24  - 1 episode(s)       - 25 min.               - Comedy, Sci-Fi, Shounen                                                                                  - https://myanimelist.net/anime/8548
Dr. Slump Movie 09: Arale-chan N-cha!! Wakuwaku Hot no Natsuyasumi                                   - 6.37  - 1 episode(s)       - 20 min.               - Comedy, Sci-Fi, Shounen                                                                                  - https://myanimelist.net/anime/7158
Dr. Slump Movie 10: Arale no Bikkuriman                                                              - 6.24  - 1 episode(s)       - 50 min.               - Comedy, Sci-Fi, Shounen                                                                                  - https://myanimelist.net/anime/8550
Dr. Slump Movie 11: Dr. Mashirito & Abale-chan                                                       - 6.00  - 1 episode(s)       - 5 min.                - Comedy, Sci-Fi, Shounen                                                                                  - https://myanimelist.net/anime/8551
Dr. Slump: Arale-chan - Penguin Mura Eiyuu Densetsu                                                  - 6.40  - 1 episode(s)       - 46 min.               - Sci-Fi, Comedy, Shounen                                                                                  - https://myanimelist.net/anime/28371
Dr. Slump: Arale-chan - Penguin Mura no Shouboutai                                                   - 5.70  - 1 episode(s)       - 11 min.               - Sci-Fi, Comedy, Shounen                                                                                  - https://myanimelist.net/anime/34878
Dr. Slump: Arale-chan Ayaya!? Penguin Mura de TV Jack                                                - 5.97  - 1 episode(s)       - 46 min.               - Comedy, Sci-Fi, Shounen                                                                                  - https://myanimelist.net/anime/30453
Dr. Slump: Arale-chan                                                                                - 7.26  - 243 episode(s)     - 25 min. per ep.       - Comedy, Sci-Fi, Shounen, Slice of Life                                                                   - https://myanimelist.net/anime/2222
Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!                                                - 6.01  - 1 episode(s)       - 24 min.               - Comedy, Sci-Fi, Shounen                                                                                  - https://myanimelist.net/anime/30450
Dr. Slump: Robot Taiketsu! Shukuteki Dr. Mashirito Toujou / Keen de Yuushou!? Penguin Grand Prix     - 6.15  - 1 episode(s)       - 45 min.               - Comedy, Mecha, Sci-Fi, Shounen                                                                           - https://myanimelist.net/anime/30449
Dr. Slump                                                                                            - 7.08  - 74 episode(s)      - 25 min. per ep.       - Slice of Life, Comedy, Sci-Fi, Shounen                                                                   - https://myanimelist.net/anime/3312
Dragon Ball GT: Goku Gaiden! Yuuki no Akashi wa Suushinchuu                                          - 6.70  - 1 episode(s)       - 44 min.               - Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen                                   - https://myanimelist.net/anime/987
Dragon Ball GT                                                                                       - 6.68  - 64 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power                                  - https://myanimelist.net/anime/225
Dragon Ball Kai                                                                                      - 7.91  - 97 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power                                   - https://myanimelist.net/anime/6033
Dragon Ball Movie 1: Shen Long no Densetsu                                                           - 7.02  - 1 episode(s)       - 50 min.               - Action, Adventure, Comedy, Fantasy, Shounen, Super Power                                                 - https://myanimelist.net/anime/502
Dragon Ball Movie 2: Majinjou no Nemuri Hime                                                         - 7.00  - 1 episode(s)       - 45 min.               - Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power                                         - https://myanimelist.net/anime/891
Dragon Ball Movie 3: Makafushigi Daibouken                                                           - 7.06  - 1 episode(s)       - 45 min.               - Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power                                         - https://myanimelist.net/anime/892
Dragon Ball Movie 4: Saikyou e no Michi                                                              - 7.30  - 1 episode(s)       - 1 hr. 14 min.         - Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power                                         - https://myanimelist.net/anime/893
Dragon Ball Specials                                                                                 - 6.91  - 2 episode(s)       - 12 min. per ep.       - Fantasy, Comedy, Super Power, Shounen                                                                    - https://myanimelist.net/anime/2520
Dragon Ball Super                                                                                    - 7.51  - 131 episode(s)     - 23 min. per ep.       - Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen                                   - https://myanimelist.net/anime/30694
Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!                                                      - 6.89  - 1 episode(s)       - 41 min.               - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                                              - https://myanimelist.net/anime/894
Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu                                              - 6.84  - 1 episode(s)       - 1 hr.                 - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                                              - https://myanimelist.net/anime/895
Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen                                                  - 6.94  - 1 episode(s)       - 1 hr. 1 min.          - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                                              - https://myanimelist.net/anime/896
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu                                                  - 6.80  - 1 episode(s)       - 51 min.               - Sci-Fi, Adventure, Fantasy, Shounen                                                                      - https://myanimelist.net/anime/897
Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou                                             - 7.21  - 1 episode(s)       - 48 min.               - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                                              - https://myanimelist.net/anime/898
Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi                                    - 7.04  - 1 episode(s)       - 45 min.               - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                                              - https://myanimelist.net/anime/899
Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin                                      - 7.10  - 1 episode(s)       - 45 min.               - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                                              - https://myanimelist.net/anime/900
Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen                                     - 7.56  - 1 episode(s)       - 1 hr. 10 min.         - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                                              - https://myanimelist.net/anime/901
Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu                                   - 7.32  - 1 episode(s)       - 50 min.               - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                                              - https://myanimelist.net/anime/902
Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai                                   - 7.05  - 1 episode(s)       - 50 min.               - Action, Adventure, Comedy, Demons, Fantasy, Martial Arts, Shounen, Super Power                           - https://myanimelist.net/anime/903
Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da                                     - 6.21  - 1 episode(s)       - 50 min.               - Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power                                   - https://myanimelist.net/anime/904
Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta                                         - 7.70  - 1 episode(s)       - 55 min.               - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                                              - https://myanimelist.net/anime/905
Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru                            - 7.51  - 1 episode(s)       - 51 min.               - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                                              - https://myanimelist.net/anime/906
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen                                              - 7.72  - 1 episode(s)       - 47 min.               - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                                              - https://myanimelist.net/anime/986
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks              - 7.82  - 1 episode(s)       - 48 min.               - Adventure, Drama, Fantasy, Shounen                                                                       - https://myanimelist.net/anime/985
Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku                                                          - 7.03  - 2 episode(s)       - 30 min. per ep.       - Adventure, Comedy, Fantasy, Sci-Fi, Shounen                                                              - https://myanimelist.net/anime/984
Dragon Ball Z: Summer Vacation Special                                                               - 6.94  - 1 episode(s)       - 43 min.               - Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen                                   - https://myanimelist.net/anime/22695
Dragon Ball Z: The Real 4-D                                                                          - 6.36  - 1 episode(s)       - 11 min.               - Action, Fantasy, Shounen, Super Power                                                                    - https://myanimelist.net/anime/33947
Dragon Ball Z                                                                                        - 8.31  - 291 episode(s)     - 24 min. per ep.       - Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power                                   - https://myanimelist.net/anime/813
Dragon Ball: Episode of Bardock                                                                      - 7.35  - 1 episode(s)       - 19 min.               - Action, Sci-Fi, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen                           - https://myanimelist.net/anime/12231
Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!                                            - 7.09  - 1 episode(s)       - 34 min.               - Action, Adventure, Comedy, Fantasy                                                                       - https://myanimelist.net/anime/5152
Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku                                                      - 6.98  - 1 episode(s)       - 30 min.               - Sci-Fi, Adventure, Super Power, Martial Arts, Fantasy, Shounen                                           - https://myanimelist.net/anime/10017
Dragon Ball                                                                                          - 8.15  - 153 episode(s)     - 24 min. per ep.       - Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power                                           - https://myanimelist.net/anime/223
Dragon Drive                                                                                         - 6.85  - 38 episode(s)      - 25 min. per ep.       - Action, Sci-Fi, Adventure, Comedy, Fantasy, School, Shounen                                              - https://myanimelist.net/anime/296
Dragon Half                                                                                          - 7.01  - 2 episode(s)       - 27 min. per ep.       - Comedy, Fantasy, Parody                                                                                  - https://myanimelist.net/anime/870
Dragon Quest: Dai no Daibouken                                                                       - 7.75  - 46 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Demons, Magic, Martial Arts, Fantasy, Shounen                                         - https://myanimelist.net/anime/2229
Dream Hazard: Akuma no Program                                                                       - 4.60  - 1 episode(s)       - 27 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/4178
Drifters                                                                                             - 8.06  - 12 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Historical, Samurai, Fantasy, Seinen                                          - https://myanimelist.net/anime/31339
Dropout                                                                                              - 7.22  - 2 episode(s)       - 17 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/31886
Dungeon Meshi: Senshi no Kantan Cooking!                                                             - 5.76  - 1 episode(s)       - 1 min.                - Fantasy                                                                                                  - https://myanimelist.net/anime/36577
E's Otherwise                                                                                        - 6.72  - 26 episode(s)      - 23 min. per ep.       - Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural                                        - https://myanimelist.net/anime/236
Earthian                                                                                             - 6.23  - 4 episode(s)       - 45 min. per ep.       - Drama, Shoujo, Shounen Ai                                                                                - https://myanimelist.net/anime/1324
Eat-Man '98                                                                                          - 6.88  - 12 episode(s)      - 23 min. per ep.       - Action, Adventure, Sci-Fi, Shounen, Super Power                                                          - https://myanimelist.net/anime/1599
Eat-Man                                                                                              - 6.63  - 12 episode(s)      - 24 min. per ep.       - Action, Adventure, Sci-Fi, Shounen, Super Power                                                          - https://myanimelist.net/anime/1704
Eden's Bowy                                                                                          - 6.62  - 26 episode(s)      - 24 min. per ep.       - Action, Adventure, Fantasy, Romance, Sci-Fi                                                              - https://myanimelist.net/anime/1189
Edokko Boy: Gatten Tasuke                                                                            - 6.19  - 22 episode(s)      - 25 min. per ep.       - Comedy, Martial Arts, Police, Sports                                                                     - https://myanimelist.net/anime/9028
Egao no Orquesta!                                                                                    - 5.85  - 1 episode(s)       - 1 min.                - Music                                                                                                    - https://myanimelist.net/anime/36922
Eguchi Hisashi no Nantoka Narudesho!                                                                 - 5.50  - 1 episode(s)       - 46 min.               - Parody, Shoujo                                                                                           - https://myanimelist.net/anime/5554
Eightman After                                                                                       - 6.35  - 4 episode(s)       - 28 min. per ep.       - Action, Drama, Sci-Fi                                                                                    - https://myanimelist.net/anime/1344
Eiken: Eikenbu yori Ai wo Komete                                                                     - 4.57  - 2 episode(s)       - 30 min. per ep.       - Ecchi, Comedy, Harem, School                                                                             - https://myanimelist.net/anime/788
Eikoku Koi Monogatari Emma: Molders-hen                                                              - 8.00  - 12 episode(s)      - 25 min. per ep.       - Slice of Life, Romance, Historical, Drama, Seinen                                                        - https://myanimelist.net/anime/2035
Eikoku Koi Monogatari Emma                                                                           - 7.78  - 12 episode(s)      - 25 min. per ep.       - Slice of Life, Historical, Drama, Romance, Seinen                                                        - https://myanimelist.net/anime/345
Elf 17                                                                                               - 5.70  - 1 episode(s)       - 30 min.               - Adventure, Martial Arts, Comedy, Mecha                                                                   - https://myanimelist.net/anime/9324
Elf wo Karu Mono-tachi II                                                                            - 7.13  - 12 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Fantasy                                                                               - https://myanimelist.net/anime/1046
Elf wo Karu Mono-tachi                                                                               - 7.12  - 12 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Ecchi, Fantasy, Magic, Shounen                                                        - https://myanimelist.net/anime/1045
Elfen Lied Special                                                                                   - 7.31  - 1 episode(s)       - 25 min.               - Horror, Psychological, Supernatural, Drama, Ecchi                                                        - https://myanimelist.net/anime/376
Elfen Lied                                                                                           - 7.77  - 13 episode(s)      - 25 min. per ep.       - Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen                                      - https://myanimelist.net/anime/226
Emblem Take 2                                                                                        - 6.78  - 2 episode(s)       - 51 min. per ep.       - Action, Drama, Seinen                                                                                    - https://myanimelist.net/anime/9837
Emiya-san Chi no Kyou no Gohan                                                                       - 7.44  - Unknown episode(s) - 13 min.               - Slice of Life, Comedy                                                                                    - https://myanimelist.net/anime/37033
Enbo                                                                                                 - 7.25  - 6 episode(s)       - 30 min. per ep.       - Hentai, Drama                                                                                            - https://myanimelist.net/anime/2372
Energy Kyouka!!                                                                                      - 7.01  - 2 episode(s)       - 18 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/32872
Enyoku                                                                                               - 6.16  - 1 episode(s)       - 30 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/4494
Erementar Gerad                                                                                      - 7.40  - 26 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Fantasy, Magic, Romance, Super Power                                                  - https://myanimelist.net/anime/1250
Ero Manga Mitai na Koi Shiyo                                                                         - 7.05  - 2 episode(s)       - 27 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/5315
Esper Mami                                                                                           - 6.65  - 119 episode(s)     - 24 min. per ep.       - Comedy, Ecchi, Magic, School, Super Power, Supernatural                                                  - https://myanimelist.net/anime/3023
Eureka Seven AO Final Episode: One More Time - Lord Don't Slow Me Down                               - 6.63  - 5 episode(s)       - 4 min. per ep.        - Action, Adventure, Drama, Mecha, Sci-Fi                                                                  - https://myanimelist.net/anime/34776
Eyeshield 21: Maboroshi no Golden Bowl                                                               - 6.76  - 1 episode(s)       - 20 min.               - Sports, Shounen                                                                                          - https://myanimelist.net/anime/1317
Eyeshield 21                                                                                         - 8.05  - 145 episode(s)     - 23 min. per ep.       - Action, Sports, Comedy, Shounen                                                                          - https://myanimelist.net/anime/15
Fairy Tail (2018)                                                                                    - N/A   - Unknown episode(s) - Unknown               - Action, Adventure, Comedy, Fantasy, Magic, Shounen                                                       - https://myanimelist.net/anime/35972
Fairy Tail Movie 1: Houou no Miko                                                                    - 7.64  - 1 episode(s)       - 1 hr. 26 min.         - Action, Adventure, Fantasy, Magic, Comedy, Shounen                                                       - https://myanimelist.net/anime/12049
Fairy Tail Movie 2: Dragon Cry                                                                       - 7.72  - 1 episode(s)       - 1 hr. 24 min.         - Action, Adventure, Comedy, Magic, Fantasy, Shounen                                                       - https://myanimelist.net/anime/30778
Fairy Tail OVA (2016)                                                                                - 7.48  - 3 episode(s)       - 27 min. per ep.       - Comedy, Magic, Ecchi, Fantasy, Shounen                                                                   - https://myanimelist.net/anime/32930
Fairy Tail OVA                                                                                       - 7.76  - 5 episode(s)       - 27 min. per ep.       - Comedy, Magic, Ecchi, Fantasy, Shounen                                                                   - https://myanimelist.net/anime/9982
Fake                                                                                                 - 6.65  - 1 episode(s)       - 55 min.               - Police, Comedy, Romance, Mystery, Shounen Ai                                                             - https://myanimelist.net/anime/365
Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials                                                   - 7.10  - 5 episode(s)       - 6 min. per ep.        - Comedy, Magic, Ecchi                                                                                     - https://myanimelist.net/anime/31056
Fate/kaleid liner Prisma☆Illya 3rei!! Specials                                                       - 6.86  - 6 episode(s)       - 5 min. per ep.        - Comedy, Magic, Ecchi                                                                                     - https://myanimelist.net/anime/33456
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai Special                                        - N/A   - 1 episode(s)       - Unknown               - Fantasy, Magic                                                                                           - https://myanimelist.net/anime/36833
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai                                                - 8.06  - 1 episode(s)       - 1 hr. 29 min.         - Action, Comedy, Fantasy, Magic                                                                           - https://myanimelist.net/anime/34100
Fella Hame Lips                                                                                      - 7.19  - 2 episode(s)       - 16 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/33231
Fetikano!                                                                                            - 6.60  - 1 episode(s)       - 24 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/24453
Finder Series                                                                                        - 6.70  - 2 episode(s)       - 43 min. per ep.       - Action, Drama, Yaoi                                                                                      - https://myanimelist.net/anime/9761
Fire Tripper                                                                                         - 6.89  - 1 episode(s)       - 50 min.               - Fantasy, Sci-Fi                                                                                          - https://myanimelist.net/anime/2973
Five Star Stories                                                                                    - 6.71  - 1 episode(s)       - 1 hr. 5 min.          - Action, Drama, Fantasy, Mecha, Sci-Fi                                                                    - https://myanimelist.net/anime/2042
Flying Witch Petit Special                                                                           - 5.98  - 1 episode(s)       - 2 min.                - Comedy, Slice of Life, Supernatural                                                                      - https://myanimelist.net/anime/33681
Flying Witch Petit                                                                                   - 5.97  - 9 episode(s)       - 2 min. per ep.        - Slice of Life, Comedy, Supernatural                                                                      - https://myanimelist.net/anime/32954
Flying Witch                                                                                         - 7.61  - 12 episode(s)      - 23 min. per ep.       - Slice of Life, Comedy, Supernatural, Magic, Shounen                                                      - https://myanimelist.net/anime/31376
Freezing                                                                                             - 7.13  - 12 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen                                       - https://myanimelist.net/anime/9367
Fruits Basket                                                                                        - 7.78  - 26 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo                                                   - https://myanimelist.net/anime/120
Fudanshi Koukou Seikatsu: Sports no Aki, Bonnou no Aki                                               - 6.27  - 1 episode(s)       - 4 min.                - Slice of Life, Comedy, School, Shoujo                                                                    - https://myanimelist.net/anime/36629
Fudanshi Koukou Seikatsu                                                                             - 6.66  - 12 episode(s)      - 3 min. per ep.        - Slice of Life, Comedy, School, Shoujo                                                                    - https://myanimelist.net/anime/33222
Fujoshi no Hinkaku                                                                                   - 6.25  - 1 episode(s)       - 30 min.               - Slice of Life                                                                                            - https://myanimelist.net/anime/8178
