Title                                                             - Score - Num Eps            - Duration             - Genre(s)                                                              - Link
Saikyou Bushouden: Sangoku Engi                                   - 7.06  - 52 episode(s)      - 25 min. per ep.      - Historical                                                            - https://myanimelist.net/anime/6902
Saiyuuki: Son Gokuu Monogatari                                    - 6.16  - 1 episode(s)       - 8 min.               - Adventure                                                             - https://myanimelist.net/anime/7496
Saiyuuki                                                          - 6.52  - 1 episode(s)       - 1 hr. 28 min.        - Adventure                                                             - https://myanimelist.net/anime/4481
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru                - 7.47  - 12 episode(s)      - 23 min. per ep.      - Mystery                                                               - https://myanimelist.net/anime/30187
Sasurai no Shoujo Nell                                            - 6.26  - 26 episode(s)      - 24 min. per ep.      - Adventure, Historical, Shoujo                                         - https://myanimelist.net/anime/3877
Seirei no Moribito                                                - 8.22  - 26 episode(s)      - 25 min. per ep.      - Action, Adventure, Historical, Fantasy                                - https://myanimelist.net/anime/1827
Seishun Anime Zenshuu Specials                                    - 6.13  - 2 episode(s)       - 23 min. per ep.      - Drama, Historical                                                     - https://myanimelist.net/anime/32897
Sengoku Kitan Youtouden                                           - 6.11  - 3 episode(s)       - 42 min. per ep.      - Action, Demons, Martial Arts                                          - https://myanimelist.net/anime/3600
Sentou Yousei Yukikaze                                            - 7.27  - 5 episode(s)       - 37 min. per ep.      - Action, Drama, Military, Psychological, Sci-Fi, Space                 - https://myanimelist.net/anime/1080
Shangri-La                                                        - 7.13  - 24 episode(s)      - 23 min. per ep.      - Action, Drama, Sci-Fi                                                 - https://myanimelist.net/anime/5220
Sheng Shi Zhuang Niang                                            - N/A   - Unknown episode(s) - Unknown              - Drama, Game, Historical, Romance, Shoujo                              - https://myanimelist.net/anime/37209
Shiawasette Naani                                                 - 5.22  - 1 episode(s)       - 15 min.              - Fantasy                                                               - https://myanimelist.net/anime/13441
Shiki Specials                                                    - 7.90  - 2 episode(s)       - 23 min. per ep.      - Horror, Mystery, Supernatural, Vampire                                - https://myanimelist.net/anime/10083
Shin Chou Kyou Ryo: Condor Hero                                   - 7.49  - 26 episode(s)      - 24 min. per ep.      - Adventure, Drama, Historical, Romance                                 - https://myanimelist.net/anime/959
Shingeki no Kyojin: Lost Girls                                    - 8.23  - 3 episode(s)       - 25 min. per ep.      - Action, Drama, Fantasy, Horror, Supernatural                          - https://myanimelist.net/anime/36106
Shinrei Tantei Yakumo                                             - 7.45  - 13 episode(s)      - 24 min. per ep.      - Horror, Mystery, Shoujo, Supernatural                                 - https://myanimelist.net/anime/7662
Shishou Series                                                    - N/A   - Unknown episode(s) - Unknown              - Horror, Supernatural, School, Seinen                                  - https://myanimelist.net/anime/30223
Shou-chan Sora wo Tobu                                            - 5.08  - 1 episode(s)       - 1 hr. 3 min.         - Horror, Sci-Fi                                                        - https://myanimelist.net/anime/30960
Shoukoushi Cedie                                                  - 7.62  - 43 episode(s)      - 24 min. per ep.      - Slice of Life, Drama, Shoujo                                          - https://myanimelist.net/anime/2555
Shounen Santa no Daibouken!                                       - 6.21  - 24 episode(s)      - 23 min. per ep.      - Adventure, Fantasy, Shounen                                           - https://myanimelist.net/anime/7639
Shuranosuke Zanmaken: Shikamamon no Otoko                         - 4.88  - 1 episode(s)       - 49 min.              - Action, Supernatural, Historical, Thriller                            - https://myanimelist.net/anime/1451
Sore Ike! Zukkoke Sannin-gumi                                     - 6.71  - 26 episode(s)      - 25 min. per ep.      - Comedy, Kids, School                                                  - https://myanimelist.net/anime/11497
Soreyuke! Uchuu Senkan Yamamoto Yohko (1999)                      - 6.72  - 26 episode(s)      - 25 min. per ep.      - Action, Sci-Fi, Adventure                                             - https://myanimelist.net/anime/1618
Soreyuke! Uchuu Senkan Yamamoto Yohko II                          - 6.39  - 3 episode(s)       - 30 min. per ep.      - Action, Sci-Fi, Adventure                                             - https://myanimelist.net/anime/1671
Soreyuke! Uchuu Senkan Yamamoto Yohko                             - 6.25  - 3 episode(s)       - 30 min. per ep.      - Sci-Fi, Adventure, Comedy                                             - https://myanimelist.net/anime/1100
Souryuuden                                                        - 6.71  - 12 episode(s)      - 45 min. per ep.      - Mystery, Super Power, Supernatural, Drama                             - https://myanimelist.net/anime/1742
Spider Riders: Yomigaeru Taiyou                                   - 6.79  - 26 episode(s)      - 23 min. per ep.      - Action, Adventure, Mecha                                              - https://myanimelist.net/anime/2620
Spoon Oba-san                                                     - 6.79  - 130 episode(s)     - 10 min. per ep.      - Kids, Magic                                                           - https://myanimelist.net/anime/2612
Taiyou no Ko Esteban                                              - 7.72  - 39 episode(s)      - 27 min. per ep.      - Adventure, Historical, Sci-Fi                                         - https://myanimelist.net/anime/1279
Takarajima (Movie)                                                - 6.50  - 1 episode(s)       - 1 hr. 28 min.        - Adventure, Drama, Historical, Mystery, Supernatural                   - https://myanimelist.net/anime/21255
Takarajima                                                        - 8.09  - 26 episode(s)      - 24 min. per ep.      - Adventure, Mystery, Historical, Drama                                 - https://myanimelist.net/anime/2618
Tamagawa Kyoudai                                                  - 3.33  - 1 episode(s)       - 18 min.              - Historical                                                            - https://myanimelist.net/anime/36326
Tantei Team KZ Jiken Note                                         - 6.26  - 16 episode(s)      - 9 min. per ep.       - Mystery, School                                                       - https://myanimelist.net/anime/31221
Teki wa Kaizoku: Neko-tachi no Kyouen                             - 6.31  - 6 episode(s)       - 30 min. per ep.      - Comedy, Sci-Fi                                                        - https://myanimelist.net/anime/2679
Tenkuu no Shiro Laputa                                            - 8.38  - 1 episode(s)       - 2 hr. 5 min.         - Adventure, Fantasy, Romance, Sci-Fi                                   - https://myanimelist.net/anime/513
The Hakkenden                                                     - 6.73  - 6 episode(s)       - 30 min. per ep.      - Action, Adventure, Historical, Demons, Martial Arts, Samurai, Shounen - https://myanimelist.net/anime/1822
The Sky Crawlers                                                  - 7.37  - 1 episode(s)       - 2 hr. 2 min.         - Drama, Military                                                       - https://myanimelist.net/anime/3089
Toki wo Kakeru Shoujo                                             - 8.37  - 1 episode(s)       - 1 hr. 38 min.        - Sci-Fi, Adventure, Drama, Romance                                     - https://myanimelist.net/anime/2236
Tokio Kidou Police                                                - 6.11  - 2 episode(s)       - 27 min. per ep.      - Comedy, Hentai, Parody, Romance                                       - https://myanimelist.net/anime/1405
Toshokan Sensou: Koi no Shougai                                   - 7.45  - 1 episode(s)       - 24 min.              - Action, Military, Comedy, Drama, Romance                              - https://myanimelist.net/anime/5332
Toshokan Sensou                                                   - 7.57  - 12 episode(s)      - 23 min. per ep.      - Action, Military, Comedy, Romance                                     - https://myanimelist.net/anime/3613
Tottoi                                                            - 6.47  - 1 episode(s)       - 1 hr. 30 min.        - Adventure, Slice of Life, Kids, Drama                                 - https://myanimelist.net/anime/5535
Tsukumogami Kashimasu                                             - N/A   - Unknown episode(s) - Unknown              - Comedy, Demons, Historical, Slice of Life, Supernatural               - https://myanimelist.net/anime/36654
UN-GO                                                             - 7.50  - 11 episode(s)      - 24 min. per ep.      - Mystery, Supernatural                                                 - https://myanimelist.net/anime/10798
Umi ga Kikoeru                                                    - 6.90  - 1 episode(s)       - 1 hr. 12 min.        - Drama, Romance, School, Slice of Life                                 - https://myanimelist.net/anime/743
Ushiro no Shoumen Daare                                           - 7.93  - 1 episode(s)       - 1 hr. 30 min.        - Historical, Drama                                                     - https://myanimelist.net/anime/2753
Vampire Hunter D (2000)                                           - 7.93  - 1 episode(s)       - 1 hr. 37 min.        - Action, Drama, Fantasy, Horror, Romance, Sci-Fi, Vampire              - https://myanimelist.net/anime/543
Vatican Kiseki Chousakan OVA                                      - N/A   - 1 episode(s)       - Unknown              - Mystery, Supernatural, Drama, Shounen                                 - https://myanimelist.net/anime/35231
Vatican Kiseki Chousakan                                          - 6.45  - 12 episode(s)      - 24 min. per ep.      - Mystery, Supernatural, Drama                                          - https://myanimelist.net/anime/34368
Wakakusa no Yon Shimai                                            - 6.62  - 26 episode(s)      - 23 min. per ep.      - Slice of Life, Historical, Drama                                      - https://myanimelist.net/anime/4132
Wangu Xian Qiong                                                  - N/A   - 12 episode(s)      - 15 min. per ep.      - Adventure, Comedy, Fantasy, Shounen                                   - https://myanimelist.net/anime/36148
Wares: Beyond                                                     - 4.33  - 1 episode(s)       - 1 min.               - Mecha                                                                 - https://myanimelist.net/anime/36883
Wu Kong Da Zhan Er Lang Shen                                      - N/A   - 1 episode(s)       - 2 hr.                - Action, Adventure                                                     - https://myanimelist.net/anime/34248
Xi You Ji                                                         - 7.09  - 52 episode(s)      - 22 min. per ep.      - Adventure, Fantasy                                                    - https://myanimelist.net/anime/32230
Yojouhan Shinwa Taikei Specials                                   - 6.36  - 3 episode(s)       - 7 min. per ep.       - Comedy                                                                - https://myanimelist.net/anime/8985
Yojouhan Shinwa Taikei                                            - 8.66  - 11 episode(s)      - 23 min. per ep.      - Mystery, Psychological, Romance                                       - https://myanimelist.net/anime/7785
Yoru wa Mijikashi Arukeyo Otome                                   - 8.38  - 1 episode(s)       - 1 hr. 33 min.        - Comedy, Romance                                                       - https://myanimelist.net/anime/34537
Youjuu Toshi                                                      - 6.49  - 1 episode(s)       - 1 hr. 22 min.        - Action, Adventure, Demons, Drama, Horror, Super Power                 - https://myanimelist.net/anime/1107
Youkai Apartment no Yuuga na Nichijou                             - 7.16  - 26 episode(s)      - 23 min. per ep.      - Slice of Life, Mystery, Supernatural                                  - https://myanimelist.net/anime/35220
