Title                                                             - Score - Num Eps            - Duration             - Genre(s)                                                              - Link
Boku wa Robot-goshi no Kimi ni Koi wo Suru                        - 6.54  - 1 episode(s)       - 1 min.               - Sci-Fi, Romance                                                       - https://myanimelist.net/anime/36542
Bouken-tachi Gamba to Nanbiki no Nakama                           - 6.71  - 1 episode(s)       - 1 hr. 35 min.        - Adventure, Kids                                                       - https://myanimelist.net/anime/28983
Brave Story                                                       - 7.54  - 1 episode(s)       - 1 hr. 52 min.        - Action, Adventure, Fantasy, Kids, Magic, Supernatural                 - https://myanimelist.net/anime/1681
Brothers Conflict OVA                                             - 6.96  - 2 episode(s)       - 22 min. per ep.      - Harem, Romance, Shoujo                                                - https://myanimelist.net/anime/25437
Captain Future                                                    - 7.14  - 52 episode(s)      - 23 min. per ep.      - Action, Adventure, Sci-Fi, Shounen                                    - https://myanimelist.net/anime/2561
Carol                                                             - 5.29  - 1 episode(s)       - 1 hr.                - Fantasy, Magic, Shoujo                                                - https://myanimelist.net/anime/2054
Cello Hiki no Gauche                                              - 4.94  - 1 episode(s)       - 18 min.              - Music, Kids, Fantasy                                                  - https://myanimelist.net/anime/33344
Cheer Danshi!! Recap                                              - 5.97  - 1 episode(s)       - 24 min.              - Sports, School                                                        - https://myanimelist.net/anime/33798
Cheer Danshi!!                                                    - 6.86  - 12 episode(s)      - 24 min. per ep.      - Sports, School                                                        - https://myanimelist.net/anime/32483
Chikatetsu ni Noru                                                - 2.00  - 1 episode(s)       - 12 min.              - Slice of Life                                                         - https://myanimelist.net/anime/36888
Chocolate Underground                                             - 6.25  - 13 episode(s)      - 5 min. per ep.       - Comedy, Kids                                                          - https://myanimelist.net/anime/3962
Chou Shounen Tanteidan Neo                                        - 5.24  - 13 episode(s)      - 4 min. per ep.       - Mystery                                                               - https://myanimelist.net/anime/32830
Clione no Akari                                                   - 5.44  - 12 episode(s)      - 9 min. per ep.       - Drama, School                                                         - https://myanimelist.net/anime/35114
Coo: Tooi Umi kara Kita Coo                                       - 6.93  - 1 episode(s)       - 1 hr. 56 min.        - Adventure, Slice of Life, Mystery, Drama                              - https://myanimelist.net/anime/2055
Dive!!                                                            - 6.18  - 12 episode(s)      - 22 min. per ep.      - Comedy, Sports                                                        - https://myanimelist.net/anime/34543
Doubutsu Takarajima                                               - 6.59  - 1 episode(s)       - 1 hr. 15 min.        - Adventure                                                             - https://myanimelist.net/anime/3842
Doupo Cangqiong 2nd Season                                        - N/A   - Unknown episode(s) - Unknown              - Action, Adventure, Demons, Fantasy, Historical, Martial Arts, Romance - https://myanimelist.net/anime/37176
Doupo Cangqiong Specials                                          - 6.20  - 2 episode(s)       - 25 min. per ep.      - Action, Adventure, Demons, Fantasy                                    - https://myanimelist.net/anime/36561
Doupo Cangqiong                                                   - 7.68  - 12 episode(s)      - 20 min. per ep.      - Action, Adventure, Comedy, Supernatural, Romance                      - https://myanimelist.net/anime/36491
Fate/Zero                                                         - 8.46  - 13 episode(s)      - 28 min. per ep.      - Action, Supernatural, Magic, Fantasy                                  - https://myanimelist.net/anime/10087
Fengshen Bang                                                     - 4.33  - 1 episode(s)       - 1 hr. 18 min.        - Action, Fantasy, Martial Arts                                         - https://myanimelist.net/anime/35379
Flanders no Inu (Movie)                                           - 8.02  - 1 episode(s)       - 1 hr. 42 min.        - Drama, Historical                                                     - https://myanimelist.net/anime/2623
Flanders no Inu, Boku no Patrasche                                - 7.28  - 26 episode(s)      - 25 min. per ep.      - Drama, Historical                                                     - https://myanimelist.net/anime/2624
Flanders no Inu                                                   - 7.48  - 52 episode(s)      - 26 min. per ep.      - Drama, Historical, Slice of Life                                      - https://myanimelist.net/anime/2553
Fune wo Amu                                                       - 7.68  - 11 episode(s)      - 22 min. per ep.      - Slice of Life, Drama, Romance                                         - https://myanimelist.net/anime/32948
Gamba no Bouken                                                   - 7.13  - 26 episode(s)      - 24 min. per ep.      - Adventure, Kids                                                       - https://myanimelist.net/anime/5267
Gamba: Gamba to Nakama-tachi                                      - 5.52  - 1 episode(s)       - 1 hr. 34 min.        - Adventure, Kids                                                       - https://myanimelist.net/anime/30738
Gankutsuou                                                        - 8.22  - 24 episode(s)      - 24 min. per ep.      - Drama, Mystery, Sci-Fi, Supernatural, Thriller                        - https://myanimelist.net/anime/239
Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season             - 7.91  - 12 episode(s)      - 23 min. per ep.      - Action, Military, Adventure, Fantasy                                  - https://myanimelist.net/anime/31637
Gate: Jieitai Kanochi nite, Kaku Tatakaeri                        - 7.90  - 12 episode(s)      - 23 min. per ep.      - Action, Military, Adventure, Fantasy                                  - https://myanimelist.net/anime/28907
Gedo Senki                                                        - 7.14  - 1 episode(s)       - 1 hr. 55 min.        - Adventure, Fantasy, Magic                                             - https://myanimelist.net/anime/1829
