Title                                                                                               - Score - Year    - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
A-jang.com                                                                                          - 5.79  - 2001    - 13 episode(s)      - 25 min. per ep.       - Fantasy                                                                                                                                                        - https://myanimelist.net/anime/9433
A.D. Police (TV)                                                                                    - 6.11  - 1999    - 12 episode(s)      - 24 min. per ep.       - Action, Mecha, Sci-Fi, Shounen                                                                                                                                 - https://myanimelist.net/anime/1349
A.LI.CE                                                                                             - 5.22  - 2000    - 1 episode(s)       - 1 hr. 25 min.         - Sci-Fi                                                                                                                                                         - https://myanimelist.net/anime/3463
AAA de Ikou!!: Yuuna &amp; Akiko                                                                    - 5.96  - 2007    - 1 episode(s)       - 11 min.               - Comedy                                                                                                                                                         - https://myanimelist.net/anime/29750
AIKa R-16: Virgin Mission                                                                           - 6.06  - 2007    - 3 episode(s)       - 25 min. per ep.       - Action, Ecchi, Comedy                                                                                                                                          - https://myanimelist.net/anime/2163
AIKa Zero Picture Drama                                                                             - 5.70  - 2009    - 3 episode(s)       - 5 min. per ep.        - Ecchi                                                                                                                                                          - https://myanimelist.net/anime/7453
AIKa Zero                                                                                           - 6.01  - 2009    - 3 episode(s)       - 26 min. per ep.       - Action, Ecchi, Adventure, Comedy                                                                                                                               - https://myanimelist.net/anime/6443
AIKa: Special Trial                                                                                 - 5.74  - 1998    - 1 episode(s)       - 10 min.               - Ecchi                                                                                                                                                          - https://myanimelist.net/anime/4718
AKB48 Stage Fighter                                                                                 - 5.31  - 2011    - 1 episode(s)       - 14 sec.               - Action                                                                                                                                                         - https://myanimelist.net/anime/29850
AWOL                                                                                                - 5.73  - 1998    - 12 episode(s)      - 30 min. per ep.       - Action, Space, Military, Sci-Fi                                                                                                                                - https://myanimelist.net/anime/12951
Aachi wa Ssipak                                                                                     - 6.83  - 2006    - 1 episode(s)       - 1 hr. 28 min.         - Action, Comedy                                                                                                                                                 - https://myanimelist.net/anime/2884
Abe George Kattobi Seishun Ki: Shibuya Honky Tonk                                                   - 4.72  - 1988    - 4 episode(s)       - 35 min. per ep.       - Ecchi, Drama                                                                                                                                                   - https://myanimelist.net/anime/17501
Ace wo Nerae! (1979)                                                                                - 6.89  - 1979    - 1 episode(s)       - 1 hr. 30 min.         - Sports, Drama, Romance, School, Shoujo                                                                                                                         - https://myanimelist.net/anime/313
Ace wo Nerae!: Final Stage                                                                          - 6.55  - 1989    - 12 episode(s)      - 24 min. per ep.       - Action, Drama, Sports                                                                                                                                          - https://myanimelist.net/anime/312
Adauchi Karasu                                                                                      - 4.00  - 1934    - 1 episode(s)       - 12 min.               -                                                                                                                                                                - https://myanimelist.net/anime/35212
Advancer Tina                                                                                       - 5.07  - 1996    - 1 episode(s)       - 45 min.               - Space, Hentai, Sci-Fi                                                                                                                                          - https://myanimelist.net/anime/3635
Aesop Douwa                                                                                         - 4.33  - 1993    - 3 episode(s)       - 25 min. per ep.       -                                                                                                                                                                - https://myanimelist.net/anime/35722
Aesop&#039;s World                                                                                  - 5.73  - 1999    - 26 episode(s)      - 11 min. per ep.       - Kids                                                                                                                                                           - https://myanimelist.net/anime/4709
Afghanistan Paghman-mura no Monogatari: Boku no Mura ni Circus ga Kita                              - 6.76  - 2002    - 1 episode(s)       - 14 min.               - Historical, Kids                                                                                                                                               - https://myanimelist.net/anime/26137
Afghanistan Paghman-mura no Monogatari: Sekaiichi Utsukushii Boku no Mura                           - 6.72  - 2002    - 1 episode(s)       - 16 min.               - Historical, Kids                                                                                                                                               - https://myanimelist.net/anime/26135
Afro-Ken                                                                                            - 5.21  - 2001    - 1 episode(s)       - 29 min.               - Comedy, Kids                                                                                                                                                   - https://myanimelist.net/anime/2796
Afureko! AR                                                                                         - 4.45  - 2012    - 3 episode(s)       - 2 min. per ep.        -                                                                                                                                                                - https://myanimelist.net/anime/35708
Age Man to Fuku Chin                                                                                - 5.20  - 1991    - 1 episode(s)       - 29 min.               - Hentai                                                                                                                                                         - https://myanimelist.net/anime/5564
Agigongryong Doolie (Movie)                                                                         - 5.81  - 1996    - 1 episode(s)       - 1 hr. 20 min.         - Kids                                                                                                                                                           - https://myanimelist.net/anime/16570
Agitated Screams of Maggots                                                                         - 4.33  - 2006    - 1 episode(s)       - 3 min.                - Dementia, Music, Horror                                                                                                                                        - https://myanimelist.net/anime/9056
Agukaru: Play with Ibaraki-hen Episode 0                                                            - 4.66  - 2015    - 1 episode(s)       - 14 min.               - Magic, Slice of Life, Supernatural                                                                                                                             - https://myanimelist.net/anime/30732
Agukaru: Play with Ibaraki-hen                                                                      - 4.92  - 2014    - 20 episode(s)      - 7 min. per ep.        - Slice of Life, Magic, Supernatural                                                                                                                             - https://myanimelist.net/anime/24989
Agukaru                                                                                             - 5.17  - 2010    - 5 episode(s)       - 12 min. per ep.       - Magic, Supernatural, Slice of Life                                                                                                                             - https://myanimelist.net/anime/9689
Ahiru no Pekkle no Ahiru no Drakestail                                                              - 5.43  - 2001    - 1 episode(s)       - 10 min.               - Kids, Fantasy                                                                                                                                                  - https://myanimelist.net/anime/22571
Ahiru no Pekkle no Aladdin to Mahou no Lamp                                                         - 5.96  - 1993    - 1 episode(s)       - 30 min.               - Fantasy, Kids                                                                                                                                                  - https://myanimelist.net/anime/22611
Ahiru no Pekkle no Hihou wo Sagase                                                                  - 4.97  - 1993    - 1 episode(s)       - 20 min.               - Adventure, Fantasy, Kids                                                                                                                                       - https://myanimelist.net/anime/22621
Ahiru no Pekkle no Minikui Ahiru no Ko                                                              - 5.40  - 2001    - 1 episode(s)       - 10 min.               - Kids, Fantasy                                                                                                                                                  - https://myanimelist.net/anime/22575
Ahiru no Pekkle no Sindbad no Bouken                                                                - 5.84  - 1993    - 1 episode(s)       - 26 min.               - Adventure, Fantasy, Kids                                                                                                                                       - https://myanimelist.net/anime/22603
Ai Monogatari: 9 Love Stories                                                                       - 6.76  - 1993    - 1 episode(s)       - 1 hr. 32 min.         - Drama, Romance                                                                                                                                                 - https://myanimelist.net/anime/2387
Ai Shoujo Pollyanna Story Specials                                                                  - 6.13  - 2001    - 2 episode(s)       - 45 min. per ep.       - Drama, Historical, Slice of Life                                                                                                                               - https://myanimelist.net/anime/24645
Ai Tenchi Muyou! Recaps                                                                             - 5.37  - 2014    - 10 episode(s)      - 4 min. per ep.        - Comedy, Sci-Fi, Shounen                                                                                                                                        - https://myanimelist.net/anime/28531
Ai Tenshi Densetsu Wedding Peach DX                                                                 - 6.76  - 1996    - 4 episode(s)       - 30 min. per ep.       - Adventure, Magic, Comedy, Romance, Shoujo                                                                                                                      - https://myanimelist.net/anime/1957
Ai Tenshi Densetsu Wedding Peach Specials                                                           - 6.42  - 1995    - 2 episode(s)       - 10 min. per ep.       - Adventure, Comedy, Magic, Romance, Shoujo                                                                                                                      - https://myanimelist.net/anime/26189
Ai no Kiseki: Doctor Norman Monogatari                                                              - 6.44  - 1982    - 1 episode(s)       - 1 hr. 25 min.         - Drama, Slice of Life                                                                                                                                           - https://myanimelist.net/anime/23861
Ai no Wakakusa Monogatari Specials                                                                  - 6.45  - 2001    - 2 episode(s)       - 45 min. per ep.       - Drama, Historical, Slice of Life                                                                                                                               - https://myanimelist.net/anime/15607
Ai to Ken no Camelot: Mangaka Marina Time Slip Jiken                                                - 5.87  - 1990    - 1 episode(s)       - 45 min.               - Adventure, Fantasy, Comedy                                                                                                                                     - https://myanimelist.net/anime/5931
Ai wa KAT-TUN                                                                                       - 5.26  - 2012    - 5 episode(s)       - 53 sec. per ep.       - Comedy                                                                                                                                                         - https://myanimelist.net/anime/12865
Aikatsu! Movie                                                                                      - 7.43  - 2014    - 1 episode(s)       - 1 hr. 28 min.         - Slice of Life, Music, School, Shoujo                                                                                                                           - https://myanimelist.net/anime/22819
Ail Maniax: Inma Seifukugari &amp; Majogari no Yoru ni                                              - 5.45  - 2001    - 3 episode(s)       - 30 min. per ep.       - Hentai, Demons                                                                                                                                                 - https://myanimelist.net/anime/2350
