Title                                                                                                - Score - Year    - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Dragon Ball: Episode of Bardock                                                                      - 7.35  - 2011    - 1 episode(s)       - 19 min.               - Action, Sci-Fi, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen                           - https://myanimelist.net/anime/12231
Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!                                            - 7.07  - 2008    - 1 episode(s)       - 34 min.               - Action, Adventure, Comedy, Fantasy                                                                       - https://myanimelist.net/anime/5152
Dragon Ball: Super Saiya-jin Zetsumetsu Keikaku                                                      - 6.96  - 2010    - 1 episode(s)       - 30 min.               - Sci-Fi, Adventure, Super Power, Martial Arts, Fantasy, Shounen                                           - https://myanimelist.net/anime/10017
Dragon Ball                                                                                          - 8.15  - 1986    - 153 episode(s)     - 24 min. per ep.       - Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power                                           - https://myanimelist.net/anime/223
Dragon Drive                                                                                         - 6.83  - 2002    - 38 episode(s)      - 25 min. per ep.       - Action, Sci-Fi, Adventure, Comedy, Fantasy, School, Shounen                                              - https://myanimelist.net/anime/296
Dragon Fist                                                                                          - 4.84  - 1991    - 1 episode(s)       - 39 min.               - Drama, Martial Arts, Fantasy, Shoujo                                                                     - https://myanimelist.net/anime/21179
Dragon Half                                                                                          - 6.99  - 1993    - 2 episode(s)       - 27 min. per ep.       - Comedy, Fantasy, Parody                                                                                  - https://myanimelist.net/anime/870
Dragon Quest: Dai no Daibouken                                                                       - 7.75  - 1991    - 46 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Demons, Magic, Martial Arts, Fantasy, Shounen                                         - https://myanimelist.net/anime/2229
Dream Hazard: Akuma no Program                                                                       - 4.57  - 1998    - 1 episode(s)       - 27 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/4178
Drifters (OVA)                                                                                       - 7.62  - 2017    - 2 episode(s)       - 26 min. per ep.       - Action, Adventure, Comedy, Historical, Samurai, Fantasy, Seinen                                          - https://myanimelist.net/anime/36480
Drifters: Special Edition                                                                            - 7.84  - 2016    - 1 episode(s)       - 41 min.               - Action, Adventure, Comedy, Fantasy, Historical, Samurai, Seinen                                          - https://myanimelist.net/anime/33032
Drifters                                                                                             - 8.05  - 2016    - 12 episode(s)      - 23 min. per ep.       - Action, Adventure, Comedy, Historical, Samurai, Fantasy, Seinen                                          - https://myanimelist.net/anime/31339
Dropout                                                                                              - 7.23  - 2016    - 2 episode(s)       - 17 min. per ep.       - Hentai, School                                                                                           - https://myanimelist.net/anime/31886
Duan Nao                                                                                             - 6.62  - 2014    - 16 episode(s)      - 14 min. per ep.       - Mystery, Sci-Fi, Shounen, Thriller                                                                       - https://myanimelist.net/anime/28673
Dungeon Meshi: Senshi no Kantan Cooking!                                                             - 5.81  - 2017    - 1 episode(s)       - 1 min.                - Fantasy                                                                                                  - https://myanimelist.net/anime/36577
E's Otherwise                                                                                        - 6.71  - 2003    - 26 episode(s)      - 23 min. per ep.       - Adventure, Comedy, Drama, Military, Sci-Fi, Shounen, Supernatural                                        - https://myanimelist.net/anime/236
Earthian                                                                                             - 6.23  - 1989    - 4 episode(s)       - 45 min. per ep.       - Drama, Shoujo, Shounen Ai                                                                                - https://myanimelist.net/anime/1324
Eat-Man '98                                                                                          - 6.87  - 1998    - 12 episode(s)      - 23 min. per ep.       - Action, Adventure, Sci-Fi, Shounen, Super Power                                                          - https://myanimelist.net/anime/1599
Eat-Man                                                                                              - 6.63  - 1997    - 12 episode(s)      - 24 min. per ep.       - Action, Adventure, Sci-Fi, Shounen, Super Power                                                          - https://myanimelist.net/anime/1704
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA                                                       - 6.45  - 2013    - 1 episode(s)       - 26 min.               - Comedy, Ecchi, Parody, School, Shounen                                                                   - https://myanimelist.net/anime/14889
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu Specials                                                  - 6.14  - 2012    - 5 episode(s)       - 4 min. per ep.        - Comedy, Ecchi, Parody, School, Shounen                                                                   - https://myanimelist.net/anime/16508
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu                                                           - 6.29  - 2012    - 10 episode(s)      - 22 min. per ep.       - Comedy, Ecchi, Parody, School, Shounen                                                                   - https://myanimelist.net/anime/14073
Ecchi na Shintai Sokutei Anime Edition                                                               - 6.27  - 2016    - 1 episode(s)       - 14 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/34311
Eden's Bowy                                                                                          - 6.62  - 1999    - 26 episode(s)      - 24 min. per ep.       - Action, Adventure, Fantasy, Romance, Sci-Fi                                                              - https://myanimelist.net/anime/1189
Edokko Boy: Gatten Tasuke                                                                            - 6.11  - 1990    - 22 episode(s)      - 25 min. per ep.       - Comedy, Martial Arts, Police, Sports                                                                     - https://myanimelist.net/anime/9028
Egao no Orquesta!                                                                                    - 5.87  - 2017    - 1 episode(s)       - 1 min.                - Music                                                                                                    - https://myanimelist.net/anime/36922
Eguchi Hisashi no Kotobuki Gorou Show                                                                - 5.85  - 1991    - 4 episode(s)       - 7 min. per ep.        - Comedy, Ecchi, Parody                                                                                    - https://myanimelist.net/anime/20385
Eguchi Hisashi no Nantoka Narudesho!                                                                 - 5.82  - 1990    - 1 episode(s)       - 46 min.               - Parody, Shoujo                                                                                           - https://myanimelist.net/anime/5554
Eightman After                                                                                       - 6.34  - 1993    - 4 episode(s)       - 28 min. per ep.       - Action, Drama, Sci-Fi                                                                                    - https://myanimelist.net/anime/1344
Eightman                                                                                             - 6.16  - 1963    - 56 episode(s)      - 25 min. per ep.       - Action, Mecha, Drama, Sci-Fi                                                                             - https://myanimelist.net/anime/5052
Eiken: Eikenbu yori Ai wo Komete                                                                     - 4.56  - 2003    - 2 episode(s)       - 30 min. per ep.       - Ecchi, Comedy, Harem, School                                                                             - https://myanimelist.net/anime/788
Eikoku Koi Monogatari Emma: Molders-hen                                                              - 7.99  - 2007    - 12 episode(s)      - 25 min. per ep.       - Slice of Life, Romance, Historical, Drama, Seinen                                                        - https://myanimelist.net/anime/2035
Eikoku Koi Monogatari Emma                                                                           - 7.77  - 2005    - 12 episode(s)      - 25 min. per ep.       - Slice of Life, Historical, Drama, Romance, Seinen                                                        - https://myanimelist.net/anime/345
Elf wo Karu Mono-tachi II                                                                            - 7.13  - 1997    - 12 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Fantasy                                                                               - https://myanimelist.net/anime/1046
Elf wo Karu Mono-tachi                                                                               - 7.11  - 1996    - 12 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Ecchi, Fantasy, Magic, Shounen                                                        - https://myanimelist.net/anime/1045
Elfen Lied Special                                                                                   - 7.30  - 2005    - 1 episode(s)       - 25 min.               - Horror, Psychological, Supernatural, Drama, Ecchi                                                        - https://myanimelist.net/anime/376
Elfen Lied                                                                                           - 7.76  - 2004    - 13 episode(s)      - 25 min. per ep.       - Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen                                      - https://myanimelist.net/anime/226
Elite Jack!!                                                                                         - 7.44  - 2014    - 6 episode(s)       - 13 min. per ep.       - School, Shoujo                                                                                           - https://myanimelist.net/anime/24985
Emblem Take 2                                                                                        - 6.70  - 1993    - 2 episode(s)       - 51 min. per ep.       - Action, Drama, Seinen                                                                                    - https://myanimelist.net/anime/9837
Emiya-san Chi no Kyou no Gohan                                                                       - 7.59  - 2017    - Unknown episode(s) - 13 min.               - Slice of Life, Comedy                                                                                    - https://myanimelist.net/anime/37033
Enbi                                                                                                 - 6.37  - 2014    - 2 episode(s)       - 16 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/23519
Enbo                                                                                                 - 7.25  - 2003    - 6 episode(s)       - 30 min. per ep.       - Hentai, Drama                                                                                            - https://myanimelist.net/anime/2372
Energy Kyouka!!                                                                                      - 7.03  - 2016    - 2 episode(s)       - 18 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/32872
Enyoku                                                                                               - 6.18  - 2007    - 1 episode(s)       - 30 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/4494
Erementar Gerad: Aozora no Senki                                                                     - 5.77  - 2005    - 1 episode(s)       - 2 min.                - Music                                                                                                    - https://myanimelist.net/anime/17693
Erementar Gerad                                                                                      - 7.40  - 2005    - 26 episode(s)      - 24 min. per ep.       - Adventure, Comedy, Fantasy, Magic, Romance, Super Power                                                  - https://myanimelist.net/anime/1250
Ero Manga Mitai na Koi Shiyo                                                                         - 7.07  - 2008    - 2 episode(s)       - 27 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/5315
Eromame                                                                                              - 6.47  - 2014    - 2 episode(s)       - 21 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/27879
Esper Mami                                                                                           - 6.66  - 1987    - 119 episode(s)     - 24 min. per ep.       - Comedy, Ecchi, Magic, School, Super Power, Supernatural                                                  - https://myanimelist.net/anime/3023
Eureka Seven AO Final Episode: One More Time - Lord Don't Slow Me Down                               - 6.72  - 2017    - 5 episode(s)       - 4 min. per ep.        - Action, Adventure, Drama, Mecha, Sci-Fi                                                                  - https://myanimelist.net/anime/34776
Eureka Seven AO: Jungfrau no Hanabana-tachi                                                          - 6.37  - 2012    - 1 episode(s)       - 31 min.               - Action, Adventure, Drama, Mecha, Sci-Fi                                                                  - https://myanimelist.net/anime/14875
Eureka Seven AO                                                                                      - 6.81  - 2012    - 24 episode(s)      - 24 min. per ep.       - Action, Adventure, Drama, Mecha, Sci-Fi                                                                  - https://myanimelist.net/anime/12471
Eyeshield 21: Jump Festa 2005 Special                                                                - 6.88  - 2005    - 1 episode(s)       - 11 min.               - Action, Comedy, Shounen, Sports                                                                          - https://myanimelist.net/anime/6418
Eyeshield 21: Maboroshi no Golden Bowl                                                               - 6.75  - 2004    - 1 episode(s)       - 20 min.               - Sports, Shounen                                                                                          - https://myanimelist.net/anime/1317
Eyeshield 21                                                                                         - 8.05  - 2005    - 145 episode(s)     - 23 min. per ep.       - Action, Sports, Comedy, Shounen                                                                          - https://myanimelist.net/anime/15
Fairy Tail (2014)                                                                                    - 8.13  - 2014    - 102 episode(s)     - 24 min. per ep.       - Action, Adventure, Comedy, Fantasy, Magic, Shounen                                                       - https://myanimelist.net/anime/22043
Fairy Tail (2018)                                                                                    - N/A   - 2018    - Unknown episode(s) - Unknown               - Action, Adventure, Comedy, Magic, Fantasy, Shounen                                                       - https://myanimelist.net/anime/35972
Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa                                                  - 7.49  - 2013    - 1 episode(s)       - 12 min.               - Fantasy, Magic, Shounen                                                                                  - https://myanimelist.net/anime/17535
Fairy Tail Movie 1: Houou no Miko                                                                    - 7.63  - 2012    - 1 episode(s)       - 1 hr. 26 min.         - Action, Adventure, Fantasy, Magic, Comedy, Shounen                                                       - https://myanimelist.net/anime/12049
Fairy Tail Movie 2: Dragon Cry                                                                       - 7.72  - 2017    - 1 episode(s)       - 1 hr. 24 min.         - Action, Adventure, Comedy, Magic, Fantasy, Shounen                                                       - https://myanimelist.net/anime/30778
Fairy Tail OVA (2016)                                                                                - 7.48  - 2016    - 3 episode(s)       - 27 min. per ep.       - Comedy, Magic, Ecchi, Fantasy, Shounen                                                                   - https://myanimelist.net/anime/32930
Fairy Tail OVA                                                                                       - 7.75  - 2011    - 5 episode(s)       - 27 min. per ep.       - Comedy, Magic, Ecchi, Fantasy, Shounen                                                                   - https://myanimelist.net/anime/9982
Fairy Tail x Rave                                                                                    - 7.45  - 2013    - 1 episode(s)       - 25 min.               - Action, Adventure, Comedy, Fantasy, Magic, Shounen                                                       - https://myanimelist.net/anime/18393
Fairy Tail                                                                                           - 8.08  - 2009    - 175 episode(s)     - 24 min. per ep.       - Action, Adventure, Comedy, Magic, Fantasy, Shounen                                                       - https://myanimelist.net/anime/6702
Fake                                                                                                 - 6.64  - 1998    - 1 episode(s)       - 55 min.               - Police, Comedy, Romance, Mystery, Shounen Ai                                                             - https://myanimelist.net/anime/365
Fantasista Stella                                                                                    - 6.08  - 2014    - 3 episode(s)       - 23 min. per ep.       - Sports, Shounen                                                                                          - https://myanimelist.net/anime/24817
Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials                                                   - 7.10  - 2015    - 5 episode(s)       - 6 min. per ep.        - Comedy, Magic, Ecchi                                                                                     - https://myanimelist.net/anime/31056
Fate/kaleid liner Prisma☆Illya 2wei Herz!                                                            - 7.37  - 2015    - 10 episode(s)      - 23 min. per ep.       - Action, Slice of Life, Comedy, Magic, Fantasy                                                            - https://myanimelist.net/anime/27525
Fate/kaleid liner Prisma☆Illya 2wei! OVA                                                             - 7.19  - 2015    - 1 episode(s)       - 26 min.               - Ecchi, Fantasy, Magic, Comedy                                                                            - https://myanimelist.net/anime/26057
Fate/kaleid liner Prisma☆Illya 2wei!                                                                 - 7.43  - 2014    - 10 episode(s)      - 23 min. per ep.       - Action, Comedy, Magic, Fantasy                                                                           - https://myanimelist.net/anime/20509
Fate/kaleid liner Prisma☆Illya 3rei!! Specials                                                       - 6.86  - 2016    - 6 episode(s)       - 5 min. per ep.        - Comedy, Magic, Ecchi                                                                                     - https://myanimelist.net/anime/33456
Fate/kaleid liner Prisma☆Illya 3rei!!                                                                - 7.65  - 2016    - 12 episode(s)      - 24 min. per ep.       - Action, Comedy, Magic, Fantasy                                                                           - https://myanimelist.net/anime/31706
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai - Kuro Sakura no Heya                          - 7.15  - 2018    - 1 episode(s)       - 6 min.                - Slice of Life, Parody                                                                                    - https://myanimelist.net/anime/36833
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai                                                - 8.06  - 2017    - 1 episode(s)       - 1 hr. 29 min.         - Action, Comedy, Fantasy, Magic                                                                           - https://myanimelist.net/anime/34100
Fate/kaleid liner Prisma☆Illya Specials                                                              - 6.88  - 2013    - 5 episode(s)       - 5 min. per ep.        - Comedy, Magic, Ecchi, Fantasy                                                                            - https://myanimelist.net/anime/19109
Fate/kaleid liner Prisma☆Illya: Undoukai de Dance!                                                   - 6.81  - 2014    - 1 episode(s)       - 25 min.               - Comedy, Magic, Fantasy                                                                                   - https://myanimelist.net/anime/18851
Fate/kaleid liner Prisma☆Illya                                                                       - 7.24  - 2013    - 10 episode(s)      - 24 min. per ep.       - Action, Comedy, Magic, Fantasy                                                                           - https://myanimelist.net/anime/14829
Fei Ren Zai                                                                                          - 6.70  - 2018    - Unknown episode(s) - 5 min.                - Slice of Life, Comedy, Supernatural                                                                      - https://myanimelist.net/anime/37292
Fella Hame Lips                                                                                      - 7.24  - 2016    - 2 episode(s)       - 16 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/33231
Fella Pure: Mitarashi-san Chi no Jijou The Animation                                                 - 7.52  - 2014    - 1 episode(s)       - 29 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/21829
Fetikano!                                                                                            - 6.63  - 2014    - 1 episode(s)       - 24 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/24453
Fight Ippatsu! Juuden-chan!! OVA                                                                     - 6.56  - 2014    - 1 episode(s)       - 45 min.               - Sci-Fi, Comedy, Ecchi                                                                                    - https://myanimelist.net/anime/21599
Fight Ippatsu! Juuden-chan!!                                                                         - 6.77  - 2009    - 12 episode(s)      - 24 min. per ep.       - Ecchi, Comedy, Sci-Fi, Shounen                                                                           - https://myanimelist.net/anime/5973
Finder Series                                                                                        - 6.71  - 2012    - 2 episode(s)       - 43 min. per ep.       - Action, Drama, Yaoi                                                                                      - https://myanimelist.net/anime/9761
Fire Tripper                                                                                         - 6.86  - 1985    - 1 episode(s)       - 50 min.               - Fantasy, Sci-Fi                                                                                          - https://myanimelist.net/anime/2973
First Love                                                                                           - 6.85  - 2012    - 3 episode(s)       - 27 min. per ep.       - Hentai                                                                                                   - https://myanimelist.net/anime/12957
Five Star Stories                                                                                    - 6.71  - 1989    - 1 episode(s)       - 1 hr. 5 min.          - Action, Drama, Fantasy, Mecha, Sci-Fi                                                                    - https://myanimelist.net/anime/2042
Flying Witch Petit                                                                                   - 6.00  - 2016    - 9 episode(s)       - 2 min. per ep.        - Slice of Life, Comedy, Supernatural                                                                      - https://myanimelist.net/anime/32954
Flying Witch                                                                                         - 7.61  - 2016    - 12 episode(s)      - 23 min. per ep.       - Slice of Life, Comedy, Supernatural, Magic, Shounen                                                      - https://myanimelist.net/anime/31376
Freezing Vibration                                                                                   - 7.02  - 2013    - 12 episode(s)      - 23 min. per ep.       - Action, Military, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen                             - https://myanimelist.net/anime/18001
Freezing                                                                                             - 7.11  - 2011    - 12 episode(s)      - 24 min. per ep.       - Action, Sci-Fi, Harem, Drama, Romance, Ecchi, Martial Arts, Seinen                                       - https://myanimelist.net/anime/9367
Fruits Basket                                                                                        - 7.77  - 2001    - 26 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo                                                   - https://myanimelist.net/anime/120
Fudanshi Koukou Seikatsu: Sports no Aki, Bonnou no Aki                                               - 6.34  - 2016    - 1 episode(s)       - 4 min.                - Slice of Life, Comedy, School, Shoujo                                                                    - https://myanimelist.net/anime/36629
Fudanshi Koukou Seikatsu                                                                             - 6.66  - 2016    - 12 episode(s)      - 3 min. per ep.        - Slice of Life, Comedy, School, Shoujo                                                                    - https://myanimelist.net/anime/33222
Fujoshi no Hinkaku                                                                                   - 6.23  - 2010    - 1 episode(s)       - 30 min.               - Slice of Life                                                                                            - https://myanimelist.net/anime/8178
Fukumenkei Noise                                                                                     - 7.16  - 2017    - 12 episode(s)      - 23 min. per ep.       - Music, Romance, Shoujo                                                                                   - https://myanimelist.net/anime/33203
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi                           - 7.75  - 2006    - 1 episode(s)       - 30 min.               - Comedy                                                                                                   - https://myanimelist.net/anime/1015
Full Moon wo Sagashite: Kawaii Kawaii Daibouken                                                      - 6.80  - 2002    - 1 episode(s)       - 10 min.               - Comedy, Fantasy, Shoujo, Supernatural                                                                    - https://myanimelist.net/anime/1996
Full Moon wo Sagashite                                                                               - 8.05  - 2002    - 52 episode(s)      - 24 min. per ep.       - Music, Comedy, Supernatural, Drama, Romance, Shoujo                                                      - https://myanimelist.net/anime/122
Fullmetal Alchemist: Brotherhood Specials                                                            - 8.10  - 2009    - 4 episode(s)       - 15 min. per ep.       - Military, Adventure, Drama, Magic, Fantasy, Shounen                                                      - https://myanimelist.net/anime/6421
Fullmetal Alchemist: Brotherhood                                                                     - 9.25  - 2009    - 64 episode(s)      - 24 min. per ep.       - Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen                                      - https://myanimelist.net/anime/5114
Fullmetal Alchemist: Premium Collection                                                              - 7.42  - 2006    - 3 episode(s)       - 7 min. per ep.        - Fantasy, Comedy, Shounen                                                                                 - https://myanimelist.net/anime/908
Fullmetal Alchemist: Reflections                                                                     - 7.36  - 2005    - 1 episode(s)       - 55 min.               - Adventure, Fantasy, Comedy, Military, Drama, Shounen                                                     - https://myanimelist.net/anime/664
Fullmetal Alchemist: The Conqueror of Shamballa                                                      - 7.69  - 2005    - 1 episode(s)       - 1 hr. 45 min.         - Military, Comedy, Historical, Drama, Fantasy, Shounen                                                    - https://myanimelist.net/anime/430
Fullmetal Alchemist: The Sacred Star of Milos Specials                                               - 7.15  - 2011    - 4 episode(s)       - 4 min. per ep.        - Comedy, Magic, Fantasy                                                                                   - https://myanimelist.net/anime/10842
Fullmetal Alchemist: The Sacred Star of Milos                                                        - 7.44  - 2011    - 1 episode(s)       - 1 hr. 50 min.         - Action, Adventure, Fantasy, Magic, Comedy, Military, Drama, Shounen                                      - https://myanimelist.net/anime/9135
Fullmetal Alchemist                                                                                  - 8.29  - 2003    - 51 episode(s)      - 24 min. per ep.       - Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen                                      - https://myanimelist.net/anime/121
Fumikiri Jikan                                                                                       - 6.32  - 2018    - Unknown episode(s) - 3 min.                - Comedy, Slice of Life                                                                                    - https://myanimelist.net/anime/37188
Furueru Kuchibiru Episode 0                                                                          - 6.74  - 2014    - 1 episode(s)       - 24 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/24987
Furueru Kuchibiru                                                                                    - 6.83  - 2014    - 1 episode(s)       - 24 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/23033
Fushigi Yuugi OVA 2                                                                                  - 7.36  - 1997    - 6 episode(s)       - 33 min. per ep.       - Adventure, Fantasy, Martial Arts, Romance, Historical, Drama, Shoujo                                     - https://myanimelist.net/anime/381
Fushigi Yuugi OVA                                                                                    - 7.25  - 1996    - 3 episode(s)       - 28 min. per ep.       - Adventure, Fantasy, Romance, Comedy, Historical, Shoujo                                                  - https://myanimelist.net/anime/380
Fushigi Yuugi Special: Nakago Shikkari Shinasai!                                                     - 7.24  - 1996    - 2 episode(s)       - 2 min. per ep.        - Comedy                                                                                                   - https://myanimelist.net/anime/27567
Fushigi Yuugi: Eikouden                                                                              - 6.98  - 2001    - 4 episode(s)       - 30 min. per ep.       - Adventure, Fantasy, Romance, Drama, Shoujo                                                               - https://myanimelist.net/anime/124
Fushigi Yuugi                                                                                        - 7.75  - 1995    - 52 episode(s)      - 23 min. per ep.       - Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo                      - https://myanimelist.net/anime/123
Fushigi na Melmo                                                                                     - 6.47  - 1971    - 26 episode(s)      - 24 min. per ep.       - Magic, Shoujo                                                                                            - https://myanimelist.net/anime/5476
Fushigi no Kuni no Miyuki-chan                                                                       - 5.90  - 1995    - 2 episode(s)       - 15 min. per ep.       - Comedy, Ecchi, Fantasy, Shoujo Ai, Yuri                                                                  - https://myanimelist.net/anime/1496
Futa-bu! Mix: Futanari World                                                                         - 6.83  - 2015    - 1 episode(s)       - 27 min.               - Hentai, School, Yuri                                                                                     - https://myanimelist.net/anime/30583
Futa-bu!!                                                                                            - 7.29  - 2015    - 2 episode(s)       - 20 min. per ep.       - Hentai, School, Yuri                                                                                     - https://myanimelist.net/anime/28779
Futa-bu!                                                                                             - 7.23  - 2014    - 2 episode(s)       - 19 min. per ep.       - Hentai, School, Yuri                                                                                     - https://myanimelist.net/anime/21521
Futari Daka                                                                                          - 6.19  - 1984    - 36 episode(s)      - 25 min. per ep.       - Cars, Sports, Shounen                                                                                    - https://myanimelist.net/anime/3808
Futari Ecchi (2014)                                                                                  - 6.37  - 2014    - 3 episode(s)       - 26 min. per ep.       - Comedy, Ecchi, Romance, Seinen, Slice of Life                                                            - https://myanimelist.net/anime/23985
Futari Ecchi                                                                                         - 6.49  - 2002    - 4 episode(s)       - 28 min. per ep.       - Comedy, Ecchi, Romance, Seinen, Slice of Life                                                            - https://myanimelist.net/anime/382
Futarigurashi                                                                                        - 6.45  - 1998    - 36 episode(s)      - 8 min. per ep.        - Comedy, Ecchi, Romance                                                                                   - https://myanimelist.net/anime/8765
Futatsu no Spica                                                                                     - 7.45  - 2003    - 20 episode(s)      - 25 min. per ep.       - Sci-Fi, Supernatural, Drama, School                                                                      - https://myanimelist.net/anime/344
Fuuka                                                                                                - 6.73  - 2017    - 12 episode(s)      - 24 min. per ep.       - Drama, Ecchi, Music, Romance, School, Shounen                                                            - https://myanimelist.net/anime/33743
Fuuma no Kojirou: Fuuma Hanran-hen                                                                   - 6.77  - 1991    - 1 episode(s)       - 50 min.               - Action, Martial Arts, Fantasy, Shounen                                                                   - https://myanimelist.net/anime/4856
Fuuma no Kojirou: Seiken Sensou-hen                                                                  - 6.79  - 1990    - 6 episode(s)       - 30 min. per ep.       - Action, Martial Arts, Fantasy, Shounen                                                                   - https://myanimelist.net/anime/4855
Fuuma no Kojirou: Yasha-hen                                                                          - 6.78  - 1989    - 6 episode(s)       - 25 min. per ep.       - Action, Martial Arts, Fantasy, Shounen                                                                   - https://myanimelist.net/anime/4854
Fuyu no Semi Special                                                                                 - 7.30  - 2008    - 1 episode(s)       - 1 hr. 38 min.         - Action, Military, Historical, Drama, Samurai, Yaoi                                                       - https://myanimelist.net/anime/10048
Fuyu no Semi                                                                                         - 7.69  - 2007    - 3 episode(s)       - 30 min. per ep.       - Drama, Historical, Romance, Samurai, Yaoi                                                                - https://myanimelist.net/anime/2238
G-Taste (2010)                                                                                       - 5.42  - 2010    - 1 episode(s)       - 26 min.               - Ecchi, Yuri                                                                                              - https://myanimelist.net/anime/9600
G-Taste                                                                                              - 6.05  - 1999    - 7 episode(s)       - 25 min. per ep.       - Hentai, Yuri                                                                                             - https://myanimelist.net/anime/2530
GS Mikami: Gokuraku Daisakusen!!                                                                     - 6.71  - 1994    - 1 episode(s)       - 59 min.               - Comedy, Fantasy                                                                                          - https://myanimelist.net/anime/3037
Ga-Rei: Zero                                                                                         - 7.72  - 2008    - 12 episode(s)      - 23 min. per ep.       - Action, Super Power, Supernatural, Thriller                                                              - https://myanimelist.net/anime/4725
Gabriel DropOut Specials                                                                             - 7.77  - 2017    - 2 episode(s)       - 15 min. per ep.       - Comedy, Demons, Supernatural, School, Shounen                                                            - https://myanimelist.net/anime/34855
Gabriel DropOut                                                                                      - 7.57  - 2017    - 12 episode(s)      - 23 min. per ep.       - Comedy, Demons, Supernatural, School, Shounen                                                            - https://myanimelist.net/anime/33731
Gakkougurashi!                                                                                       - 7.69  - 2015    - 12 episode(s)      - 24 min. per ep.       - Slice of Life, Psychological, School, Horror, Mystery                                                    - https://myanimelist.net/anime/24765
Gakuen Alice                                                                                         - 7.77  - 2004    - 26 episode(s)      - 25 min. per ep.       - Comedy, School, Shoujo, Super Power                                                                      - https://myanimelist.net/anime/74
Gakuen Babysitters                                                                                   - 7.91  - 2018    - 12 episode(s)      - 23 min. per ep.       - Comedy, School, Shoujo, Slice of Life                                                                    - https://myanimelist.net/anime/35222
Gakuen Maria: Bakunyuu Teachers                                                                      - 5.25  - 2002    - 1 episode(s)       - 30 min.               - Hentai                                                                                                   - https://myanimelist.net/anime/6622
Gakuen Nanafushigi                                                                                   - 6.32  - 2003    - 2 episode(s)       - 30 min. per ep.       - Hentai, Supernatural                                                                                     - https://myanimelist.net/anime/3802
Gakumon!: Ookami Shoujo wa Kujikenai                                                                 - 6.66  - 2014    - 3 episode(s)       - 6 min. per ep.        - Comedy, School, Shounen                                                                                  - https://myanimelist.net/anime/23499
Gallery Fake                                                                                         - 7.59  - 2005    - 37 episode(s)      - 25 min. per ep.       - Mystery, Seinen                                                                                          - https://myanimelist.net/anime/364
Ganbare Genki                                                                                        - 7.55  - 1980    - 35 episode(s)      - 23 min. per ep.       - Action, Comedy, Shounen, Sports                                                                          - https://myanimelist.net/anime/3213
Ganbare! Kickers Specials                                                                            - 6.38  - 2005    - 2 episode(s)       - 23 min. per ep.       - Sports, Drama, Shounen                                                                                   - https://myanimelist.net/anime/33499
