Title                                                                  - Score - Year    - Num Eps      - Duration           - Genre(s)                                                       - Link

BanG Dream! Morfonication                                              - 7.60  - 2022    - 2 episodes   - 23 min per ep      - Music                                                          - https://myanimelist.net/anime/51989
BanG Dream! Movie: Episode of Roselia - I: Yakusoku                    - 7.72  - 2021    - 1 episode    - 1 hr 17 min        - Music                                                          - https://myanimelist.net/anime/41780
BanG Dream! Movie: Episode of Roselia - II: Song I Am.                 - 8.04  - 2021    - 1 episode    - 1 hr 10 min        - Music                                                          - https://myanimelist.net/anime/41781
BanG Dream! Movie: Poppin' Dream!                                      - 7.91  - 2022    - 1 episode    - 1 hr 10 min        - Music                                                          - https://myanimelist.net/anime/41782
BanG Dream!: Asonjatta!                                                - 7.10  - 2017    - 1 episode    - 23 min             - Music, Slice of Life                                           - https://myanimelist.net/anime/34870
BanG Dream!                                                            - 7.00  - 2017    - 13 episodes  - 24 min per ep      - Music                                                          - https://myanimelist.net/anime/33573
Betsu Sekai                                                            - 6.57  - 2022    - 1 episode    - 4 min              - Music, Visual Arts                                             - https://myanimelist.net/anime/54057
Bishoujo Muzai ❤ Pirates                                               - None  - 2023    - 1 episode    - 3 min              - CGDCT, Comedy, Idols (Female)                                  - https://myanimelist.net/anime/56142
Black Shout                                                            - 6.89  - 2017    - 1 episode    - 1 min              - Music                                                          - https://myanimelist.net/anime/36920
Blue Horizon!!                                                         - None  - 2023    - 1 episode    - 2 min              - Idols (Female)                                                 - https://myanimelist.net/anime/56047
Brand new Pastel Road!                                                 - 6.49  - 2022    - 1 episode    - 4 min              - Music                                                          - https://myanimelist.net/anime/51407
Build Divide: Code Black                                               - 6.39  - 2021    - 12 episodes  - 23 min per ep      - Fantasy, Strategy Game                                         - https://myanimelist.net/anime/48776
Build Divide: Code White Recap                                         - 5.76  - 2022    - 1 episode    - 23 min             - Fantasy, Strategy Game                                         - https://myanimelist.net/anime/51778
Build Divide: Code White                                               - 6.64  - 2022    - 12 episodes  - 23 min per ep      - Fantasy, Strategy Game                                         - https://myanimelist.net/anime/48777
Bullbuster                                                             - None  - 2023    - Ongoing      - Unknown            - Action, Mecha, Sci-Fi                                          - https://myanimelist.net/anime/53633
ChroNoiR Episode.0                                                     - 6.68  - 2023    - 1 episode    - 8 min              - Supernatural, Vampire                                          - https://myanimelist.net/anime/56111
D4DJ All Mix                                                           - 7.40  - 2023    - 12 episodes  - 23 min per ep      - Idols (Female), Music, School                                  - https://myanimelist.net/anime/51586
D4DJ Double Mix                                                        - 7.29  - 2022    - 1 episode    - 23 min             - Music                                                          - https://myanimelist.net/anime/51251
D4DJ First Mix                                                         - 7.64  - 2020    - 13 episodes  - 23 min per ep      - Idols (Female), Music, School                                  - https://myanimelist.net/anime/39681
D4DJ Petit Mix                                                         - 6.97  - 2021    - 26 episodes  - 3 min per ep       - Comedy, Music                                                  - https://myanimelist.net/anime/45782
D_Cide Traumerei the Animation                                         - 5.82  - 2021    - 13 episodes  - 23 min per ep      - Action, Drama, Fantasy                                         - https://myanimelist.net/anime/48470
Dance with Devils: Fortuna                                             - 6.30  - 2017    - 1 episode    - 1 hr 1 min         - Fantasy, Mythology, Reverse Harem, Romance, School, Vampire    - https://myanimelist.net/anime/34830
Dance with Devils                                                      - 6.22  - 2015    - 12 episodes  - 23 min per ep      - Fantasy, Mythology, Reverse Harem, Romance, School, Vampire    - https://myanimelist.net/anime/29976
Daylight (2020)                                                        - 6.53  - 2020    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/41377
Dia Horizon (Kabu)                                                     - 4.95  - 2017    - 12 episodes  - 3 min per ep       - Action, Adventure, Fantasy                                     - https://myanimelist.net/anime/35999
Dokusou Shuusa                                                         - 6.25  - 2022    - 1 episode    - 4 min              - Music                                                          - https://myanimelist.net/anime/54262
Egao no Orchestra!                                                     - 6.31  - 2017    - 1 episode    - 1 min              - Music                                                          - https://myanimelist.net/anime/36922
Estab-Life: Great Escape                                               - 6.51  - 2022    - 12 episodes  - 22 min per ep      - Sci-Fi                                                         - https://myanimelist.net/anime/50862
Estab-Life: Revengers Road                                             - None  - 2023    - 1 episode    - Unknown            - Sci-Fi                                                         - https://myanimelist.net/anime/50863
Felicia                                                                - 6.25  - 2019    - 1 episode    - 4 min              - Idols (Female), Music                                          - https://myanimelist.net/anime/52334
First Step                                                             - 6.57  - 2020    - 1 episode    - 2 min              - Music, Slice of Life                                           - https://myanimelist.net/anime/51379
Flaglia: Natsuyasumi no Monogatari                                     - 5.32  - 2023    - 6 episodes   - 12 min per ep      - Fantasy                                                        - https://myanimelist.net/anime/53424
Fly with the Night                                                     - 6.43  - 2021    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/50169
Futsal Boys!!!!! Short Anime                                           - None  - 2022    - 5 episodes   - Unknown            - Comedy, Sports, Team Sports                                    - https://myanimelist.net/anime/52551
Futsal Boys!!!!!                                                       - 5.46  - 2022    - 12 episodes  - 24 min per ep      - Sports, Team Sports                                            - https://myanimelist.net/anime/40488
Fw:Hamatora                                                            - 6.98  - 2015    - 1 episode    - 1 hr 8 min         - Comedy, Mystery, Super Power                                   - https://myanimelist.net/anime/30290
Gakkou no Kaidan (OVA)                                                 - 6.45  - 2005    - 10 episodes  - 10 min per ep      - Comedy, Horror, Mystery, Supernatural                          - https://myanimelist.net/anime/22053
Garugaku. II: Lucky Stars                                              - 6.02  - 2022    - 50 episodes  - 3 min per ep       - Idols (Female), Music, School                                  - https://myanimelist.net/anime/50495
Garugaku.: Sei Girls Square Gakuin                                     - 5.62  - 2020    - 50 episodes  - 3 min per ep       - Idols (Female), Music, School                                  - https://myanimelist.net/anime/41381
Gi(a)rlish Number                                                      - 6.82  - 2016    - 12 episodes  - 24 min per ep      - Showbiz, Slice of Life                                         - https://myanimelist.net/anime/32607
Glory or Dust                                                          - 6.50  - 2021    - 1 episode    - 5 min              - Music                                                          - https://myanimelist.net/anime/48827
Gundam vs Hello Kitty                                                  - 6.57  - 2019    - 3 episodes   - 2 min per ep       - Comedy, Fantasy, Kids, Mecha, Sci-Fi, Space                    - https://myanimelist.net/anime/39674
Hamatora The Animation: Saishuukai Chokuzen! Mao ga Okuru              - 6.73  - 2014    - 1 episode    - 26 min             - Comedy, Mystery, Super Power                                   - https://myanimelist.net/anime/23115
Hamatora The Animation                                                 - 7.26  - 2014    - 12 episodes  - 24 min per ep      - Action, Detective, Mystery, Super Power, Supernatural          - https://myanimelist.net/anime/20689
Hana-Doll*: Reinterpretation of Flowering                              - None  - Unknown - Ongoing      - Unknown            - Idols (Male), Music                                            - https://myanimelist.net/anime/55710
Hang Out!                                                              - 6.24  - 2021    - 1 episode    - 5 min              - Music                                                          - https://myanimelist.net/anime/49437
Happy Happy Party!                                                     - 6.30  - 2017    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/36918
Happy Music♪                                                           - 6.69  - 2020    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/51450
Happy! Happier! Happiest!                                              - None  - 2022    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/54274
Hashiri Hajimeta bakari no Kimi ni                                     - 6.69  - 2016    - 1 episode    - 1 min              - Music                                                          - https://myanimelist.net/anime/34412
High Card Season 2                                                     - None  - 2024    - Ongoing      - Unknown            - Action, Adult Cast, Fantasy, Organized Crime, Super Power      - https://myanimelist.net/anime/54869
High Card                                                              - 7.14  - 2023    - 12 episodes  - 23 min per ep      - Action, Adult Cast, Fantasy, Organized Crime, Super Power      - https://myanimelist.net/anime/49154
Hikari no Machi                                                        - 5.93  - 2019    - 1 episode    - 3 min              - Idols (Female), Music                                          - https://myanimelist.net/anime/52335
Hiragana Danshi                                                        - None  - 2018    - 1 episode    - 57 min             - Music                                                          - https://myanimelist.net/anime/36749
Hololive Alternative                                                   - 8.00  - 2021    - 2 episodes   - 1 min per ep       - Music                                                          - https://myanimelist.net/anime/47904
Hololive Summer 2022                                                   - 6.25  - 2022    - 4 episodes   - 3 min per ep       - Adventure, Comedy, Idols (Female)                              - https://myanimelist.net/anime/53076
Hundred Note                                                           - None  - Unknown - Ongoing      - Unknown            - Action, Adult Cast, Detective                                  - https://myanimelist.net/anime/55352
Hypnosis Mic: Division Rap Battle - Rhyme Anima +                      - None  - 2023    - Ongoing      - Unknown            - Action, Adult Cast, Music, Sci-Fi                              - https://myanimelist.net/anime/54858
Hypnosis Mic: Division Rap Battle - Rhyme Anima                        - 6.81  - 2020    - 13 episodes  - 24 min per ep      - Action, Adult Cast, Music, Sci-Fi                              - https://myanimelist.net/anime/40803
I Can't Control Myself                                                 - 6.02  - 2019    - 1 episode    - 3 min              - Idols (Female), Music                                          - https://myanimelist.net/anime/52342
Ichiban Chikakute Tooi Hoshi                                           - 6.33  - 2021    - 1 episode    - 4 min              - Drama, Music                                                   - https://myanimelist.net/anime/48177
Idol Bu Show Movie                                                     - None  - 2022    - 1 episode    - 1 hr 4 min         - Idols (Female), Music                                          - https://myanimelist.net/anime/51147
Idoly Pride                                                            - 7.43  - 2021    - 12 episodes  - 23 min per ep      - Idols (Female), Music                                          - https://myanimelist.net/anime/40842
Introduction                                                           - 6.96  - 2021    - 1 episode    - 3 min              - Music                                                          - https://myanimelist.net/anime/50563
Kamisama: Nekosama                                                     - None  - 2023    - 1 episode    - 4 min              - Idols (Female), Music                                          - https://myanimelist.net/anime/54596
Kandagawa Jet Girls Recap                                              - 5.37  - 2019    - 1 episode    - 23 min             - Ecchi, Racing                                                  - https://myanimelist.net/anime/40651
Kandagawa Jet Girls: Koko kara Hajimaru Tokyo Girls Promotion          - 5.68  - 2020    - 1 episode    - 22 min             - Ecchi, Racing                                                  - https://myanimelist.net/anime/41146
Kandagawa Jet Girls                                                    - 5.75  - 2019    - 12 episodes  - 23 min per ep      - Ecchi, Racing                                                  - https://myanimelist.net/anime/40196
Kimi ga Inakucha!                                                      - 6.44  - 2018    - 1 episode    - 1 min              - Music                                                          - https://myanimelist.net/anime/38986
Kimi ni Maji Kyun!                                                     - 6.63  - 2016    - 1 episode    - 6 min              - Fantasy, Music, Reverse Harem, Romance, School                 - https://myanimelist.net/anime/32202
Kirin Gogo no Koucha x BanG Dream! Collab Animation CM Koukai!         - 5.99  - 2019    - 1 episode    - 30 sec             - Music                                                          - https://myanimelist.net/anime/40838
Kkeutnal-ui Bam                                                        - None  - 2021    - 1 episode    - 10 min             - Fantasy, Idols (Male), Music                                   - https://myanimelist.net/anime/52996
Konbini Kareshi                                                        - 6.27  - 2017    - 12 episodes  - 24 min per ep      - Romance                                                        - https://myanimelist.net/anime/35434
Lapis Re:LiGHTs                                                        - 6.66  - 2020    - 12 episodes  - 24 min per ep      - Fantasy, Idols (Female), Music, School                         - https://myanimelist.net/anime/37587
Let's End the World                                                    - 6.42  - 2022    - 1 episode    - 3 min              - Idols (Female), Music                                          - https://myanimelist.net/anime/52829
Lip Sync                                                               - 6.54  - 2022    - 1 episode    - 2 min              - Idols (Female), Music                                          - https://myanimelist.net/anime/53908
Live Beyond!!                                                          - 6.33  - 2021    - 1 episode    - 2 min              - Music                                                          - https://myanimelist.net/anime/48773
Lyrical Monster                                                        - 6.16  - 2022    - 1 episode    - 4 min              - Idols (Female), Music                                          - https://myanimelist.net/anime/52382
