Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                      - Link
Akuei to Gacchinpo                                                                                   - 4.47  - 2004 - 13 episode(s)      - 25 min. per ep.       - Kids, Comedy                                                                                  - https://myanimelist.net/anime/29836
Alexander Senki Movie                                                                                - 6.02  - 2000 - 1 episode(s)       - 1 hr. 40 min.         - Action, Adventure, Dementia, Historical, Military, Mystery, Shounen, Supernatural             - https://myanimelist.net/anime/5157
All Out!!                                                                                            - 7.22  - 2016 - 25 episode(s)      - 24 min. per ep.       - Sports, School, Seinen                                                                        - https://myanimelist.net/anime/31588
Alluptoyou                                                                                           - 5.07  - 2016 - 1 episode(s)       - 2 min.                - Music                                                                                         - https://myanimelist.net/anime/36092
Amagami SS+ Plus Picture Drama                                                                       - 6.62  - 2012 - 2 episode(s)       - 7 min. per ep.        - Romance                                                                                       - https://myanimelist.net/anime/15951
Amagi Brilliant Park                                                                                 - 7.63  - 2014 - 13 episode(s)      - 24 min. per ep.       - Comedy, Magic, Fantasy                                                                        - https://myanimelist.net/anime/22147
Ame-iro Cocoa Series: Ame-con!!                                                                      - 4.88  - 2017 - 12 episode(s)      - 2 min. per ep.        - Slice of Life, Comedy                                                                         - https://myanimelist.net/anime/35923
Ame-iro Cocoa in Hawaii                                                                              - 4.80  - 2016 - 12 episode(s)      - 2 min. per ep.        - Comedy, Slice of Life                                                                         - https://myanimelist.net/anime/33245
Ame-iro Cocoa: Rainy Color e Youkoso!                                                                - 4.88  - 2015 - 12 episode(s)      - 2 min. per ep.        - Comedy, Slice of Life                                                                         - https://myanimelist.net/anime/31139
Anata mo Robot ni Nareru feat. Kamome Jidou Gasshoudan                                               - 4.77  - 2014 - 1 episode(s)       - 4 min.                - Music                                                                                         - https://myanimelist.net/anime/30431
Andes Shounen Pepero no Bouken                                                                       - 6.79  - 1975 - 26 episode(s)      - 24 min. per ep.       - Adventure                                                                                     - https://myanimelist.net/anime/5104
Ane Yome Quartet                                                                                     - 7.31  - 2015 - 2 episode(s)       - 27 min. per ep.       - Hentai                                                                                        - https://myanimelist.net/anime/30614
Angel Heart                                                                                          - 7.35  - 2005 - 50 episode(s)      - 23 min. per ep.       - Action, Mystery, Drama, Romance, Seinen                                                       - https://myanimelist.net/anime/282
Angel                                                                                                - 5.44  - 1990 - 1 episode(s)       - 44 min.               - Comedy, Hentai, School                                                                        - https://myanimelist.net/anime/3633
Animal Yokochou                                                                                      - 7.01  - 2005 - 51 episode(s)      - 23 min. per ep.       - Adventure, Comedy, Fantasy, Shoujo                                                            - https://myanimelist.net/anime/280
Anime Oyako Gekijou                                                                                  - 5.93  - 1981 - 26 episode(s)      - 24 min. per ep.       - Kids, Adventure, Fantasy, Historical, Sci-Fi                                                  - https://myanimelist.net/anime/2882
Anime Sanjuushi                                                                                      - 7.22  - 1987 - 52 episode(s)      - 28 min. per ep.       - Adventure, Drama, Historical, Romance                                                         - https://myanimelist.net/anime/2333
Animegataris                                                                                         - 6.63  - 2017 - 12 episode(s)      - 23 min. per ep.       - Comedy, Parody, School                                                                        - https://myanimelist.net/anime/35427
Anitore! EX                                                                                          - 5.53  - 2015 - 12 episode(s)      - 4 min. per ep.        - Comedy, Sports                                                                                - https://myanimelist.net/anime/31519
Anitore! XX: Hitotsu Yane no Shita de                                                                - 5.70  - 2016 - 12 episode(s)      - 4 min. per ep.        - Comedy, Sports                                                                                - https://myanimelist.net/anime/33746
Aniyome                                                                                              - 6.49  - 2004 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                                        - https://myanimelist.net/anime/2140
Anmitsu Hime                                                                                         - 6.51  - 1986 - 51 episode(s)      - 24 min. per ep.       - Comedy, Historical, Shoujo                                                                    - https://myanimelist.net/anime/6093
Annyeong, Jeonwoochi! Dosoolrobotdaegyeoljeon                                                        - 4.67  - 2015 - 1 episode(s)       - 1 hr. 28 min.         - Sci-Fi, Kids, Martial Arts                                                                    - https://myanimelist.net/anime/36161
Ano Ko to Ii Koto                                                                                    - 6.90  - 2015 - 2 episode(s)       - 19 min. per ep.       - Hentai                                                                                        - https://myanimelist.net/anime/31117
Ansatsu Kyoushitsu: Jump Festa 2013 Special                                                          - 7.33  - 2013 - 1 episode(s)       - 31 min.               - Action, Comedy, Shounen                                                                       - https://myanimelist.net/anime/19759
Anyamal Tantei Kiruminzoo                                                                            - 7.09  - 2009 - 50 episode(s)      - 23 min. per ep.       - Magic, Comedy, Shoujo                                                                         - https://myanimelist.net/anime/7152
Ao Oni The Animation                                                                                 - 5.26  - 2016 - 13 episode(s)      - 3 min. per ep.        - Comedy, Horror                                                                                - https://myanimelist.net/anime/33814
Ao no 6-gou                                                                                          - 7.14  - 1998 - 4 episode(s)       - 32 min. per ep.       - Action, Adventure, Mecha, Military, Sci-Fi                                                    - https://myanimelist.net/anime/1051
Ao no Exorcist: Kuro no Iede                                                                         - 7.41  - 2011 - 1 episode(s)       - 24 min.               - Action, Demons, Fantasy, Shounen, Supernatural                                                - https://myanimelist.net/anime/11266
Aoi Bungaku Series                                                                                   - 7.84  - 2009 - 12 episode(s)      - 22 min. per ep.       - Psychological, Historical, Thriller, Drama, Seinen                                            - https://myanimelist.net/anime/7193
