Title                                                                                     - Score - Year - Num Eps            - Duration              - Genre(s)                                                                          - Link
Baccano! Specials                                                                         - 8.24  - 2008 - 3 episode(s)       - 29 min. per ep.       - Action, Mystery, Comedy, Historical, Supernatural                                 - https://myanimelist.net/anime/3901
Bacterial Contamination                                                                   - 6.08  - 2012 - 1 episode(s)       - 4 min.                - Dementia, Music, Horror                                                           - https://myanimelist.net/anime/20855
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi                                - 7.20  - 2011 - 6 episode(s)       - 3 min. per ep.        - Comedy, School                                                                    - https://myanimelist.net/anime/31298
Baka to Test to Shoukanjuu: Matsuri                                                       - 7.75  - 2011 - 2 episode(s)       - 29 min. per ep.       - Comedy, School, Super Power                                                       - https://myanimelist.net/anime/9471
Baku Tech! Bakugan Gachi Special                                                          - 5.81  - 2014 - 1 episode(s)       - 6 min.                - Action, Game, Shounen                                                             - https://myanimelist.net/anime/33708
Bakugan Battle Brawlers: Mechtanium Surge                                                 - 6.26  - 2011 - 46 episode(s)      - 24 min. per ep.       - Action, Adventure, Fantasy, Game, Shounen                                         - https://myanimelist.net/anime/10330
Bary-san no Shokoku Manyuuki                                                              - N/A   - 2016 - 47 episode(s)      - 30 sec. per ep.       - Comedy                                                                            - https://myanimelist.net/anime/36611
Be-yond                                                                                   - 5.73  - 1998 - 2 episode(s)       - 30 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/4820
Beast Wars Neo                                                                            - 6.63  - 1999 - 35 episode(s)      - 23 min. per ep.       - Action, Adventure, Mecha, Shounen, Super Power                                    - https://myanimelist.net/anime/6511
Beatless Intermission                                                                     - 5.62  - 2018 - Unknown episode(s) - 24 min.               - Action, Sci-Fi, Drama, Romance                                                    - https://myanimelist.net/anime/37277
Berserk: Ougon Jidai-hen I - Haou no Tamago                                               - 7.88  - 2012 - 1 episode(s)       - 1 hr. 16 min.         - Action, Military, Adventure, Demons, Supernatural, Fantasy, Seinen                - https://myanimelist.net/anime/10218
Berserk: Ougon Jidai-hen III - Kourin                                                     - 8.31  - 2013 - 1 episode(s)       - 1 hr. 50 min.         - Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Seinen, Supernatural - https://myanimelist.net/anime/12115
Binchou-tan                                                                               - 6.98  - 2006 - 12 episode(s)      - 12 min. per ep.       - Slice of Life, Comedy                                                             - https://myanimelist.net/anime/750
Binetsu Shoukougun                                                                        - 5.53  - 1997 - 2 episode(s)       - 38 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/3942
Bishoujo Animerama: Manami no Michi Tono Sou Nyuu!?                                       - 4.47  - 1990 - 1 episode(s)       - 28 min.               - Hentai, Sci-Fi                                                                    - https://myanimelist.net/anime/18483
Black Shout                                                                               - 6.53  - 2017 - 1 episode(s)       - 1 min.                - Music                                                                             - https://myanimelist.net/anime/36920
Boat Race Marugame Image Talent Mimika                                                    - 3.50  - 2018 - 1 episode(s)       - 14 sec.               - Sports                                                                            - https://myanimelist.net/anime/37358
Boku dake ga Inai Machi Recap                                                             - 7.10  - 2016 - 1 episode(s)       - 17 min.               - Mystery, Psychological, Supernatural, Seinen                                      - https://myanimelist.net/anime/35815
Boku no Chikyuu wo Mamotte: Alice kara, Rin-kun e                                         - 6.97  - 1995 - 1 episode(s)       - 1 hr. 40 min.         - Drama, Romance, Sci-Fi, Shoujo                                                    - https://myanimelist.net/anime/7366
Boku no Yayoi-san                                                                         - 6.33  - 2015 - 2 episode(s)       - 21 min. per ep.       - Hentai                                                                            - https://myanimelist.net/anime/29852
Bomberman B-Daman Bakugaiden Victory                                                      - 6.62  - 1999 - 50 episode(s)      - 26 min. per ep.       - Sci-Fi, Shounen                                                                   - https://myanimelist.net/anime/1673
Bomberman B-Daman Bakugaiden                                                              - 6.67  - 1998 - 48 episode(s)      - 26 min. per ep.       - Comedy, Sci-Fi, Shounen                                                           - https://myanimelist.net/anime/1672
Bousou Sengokushi                                                                         - 5.50  - 1991 - 2 episode(s)       - 45 min. per ep.       - Action                                                                            - https://myanimelist.net/anime/9343
Boyfriend                                                                                 - 5.59  - 1992 - 1 episode(s)       - 1 hr. 54 min.         - Sports, Romance, Shoujo                                                           - https://myanimelist.net/anime/10435
Brothers Conflict Special                                                                 - 6.76  - 2014 - 1 episode(s)       - 14 min.               - Harem, Romance, Shoujo                                                            - https://myanimelist.net/anime/22745
Bubblegum Crisis                                                                          - 7.33  - 1987 - 8 episode(s)       - 41 min. per ep.       - Sci-Fi, Adventure, Mecha, Shounen                                                 - https://myanimelist.net/anime/1347
Buzzer Beater                                                                             - 6.67  - 2005 - 13 episode(s)      - 25 min. per ep.       - Shounen, Sports                                                                   - https://myanimelist.net/anime/406
CB Chara Go Nagai World                                                                   - 6.98  - 1991 - 3 episode(s)       - 45 min. per ep.       - Action, Parody, Comedy                                                            - https://myanimelist.net/anime/2692
Canaan: Minorikawa Report 201X Shanghai                                                   - 6.71  - 2010 - 1 episode(s)       - 13 min.               - Action, Seinen                                                                    - https://myanimelist.net/anime/9706
Cat&#039;s Eye Love                                                                       - 3.50  - 1978 - 1 episode(s)       - 2 min.                - Music                                                                             - https://myanimelist.net/anime/36348
Chain Chronicle: Haecceitas no Hikari Part 3                                              - 7.21  - 2017 - 1 episode(s)       - 1 hr. 33 min.         - Action, Adventure, Fantasy, Magic, Shounen                                        - https://myanimelist.net/anime/33730
Challenge Ichinensei de Kakkoii Ichinensei ni Henshin!                                    - 5.65  - 2008 - 1 episode(s)       - 35 min.               - Kids                                                                              - https://myanimelist.net/anime/7803
Chameleon (OVA)                                                                           - 6.54  - 1992 - 6 episode(s)       - 51 min. per ep.       - Comedy, Ecchi, School, Seinen                                                     - https://myanimelist.net/anime/5353
