Title                                                                                         - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                 - Link
Amaenaide yo!!                                                                                - 6.61  - 2005 - 12 episode(s)      - 24 min. per ep.       - Comedy, Ecchi, Harem, Romance, Supernatural                                                              - https://myanimelist.net/anime/591
Amagami SS                                                                                    - 7.52  - 2010 - 25 episode(s)      - 24 min. per ep.       - Slice of Life, Comedy, Romance, School                                                                   - https://myanimelist.net/anime/8676
Amanchu!                                                                                      - 7.34  - 2016 - 12 episode(s)      - 23 min. per ep.       - Slice of Life, Comedy, School, Shounen                                                                   - https://myanimelist.net/anime/31771
Anata dake Konbanwa                                                                           - 6.92  - 2009 - 5 episode(s)       - 25 min. per ep.       - Harem, Hentai                                                                                            - https://myanimelist.net/anime/6690
Ange Vierge                                                                                   - 6.13  - 2016 - 12 episode(s)      - 23 min. per ep.       - Adventure, Magic, Fantasy, School                                                                        - https://myanimelist.net/anime/32171
Angel Blade: Ultimate Edition - Tokuteneizou                                                  - 6.27  - 2004 - 1 episode(s)       - 6 min.                - Sci-Fi, Hentai                                                                                           - https://myanimelist.net/anime/4946
Angel ga Tonda Hi                                                                             - 5.20  - 1996 - 1 episode(s)       - 1 hr. 20 min.         - Slice of Life, Comedy                                                                                    - https://myanimelist.net/anime/22959
Anime Rakugo Kan                                                                              - 5.79  - 1992 - 8 episode(s)       - 21 min. per ep.       - Comedy                                                                                                   - https://myanimelist.net/anime/8723
Anime TV de Hakken! Tamagotchi                                                                - 6.26  - 1997 - 27 episode(s)      - 20 min. per ep.       - Comedy, Fantasy, Kids, Slice of Life                                                                     - https://myanimelist.net/anime/6520
Animegatari x Shingeki no Kyojin Collab Eizou                                                 - N/A   - 2015 - 1 episode(s)       - 1 min.                - Comedy                                                                                                   - https://myanimelist.net/anime/37012
Annyeong Totobi                                                                               - 1.33  - 2011 - 104 episode(s)     - 20 min. per ep.       - Kids                                                                                                     - https://myanimelist.net/anime/36978
Anpanman to Hajime yo! Iro, Kazu, Katachi Wakarukana Iro, Katachi                             - 5.74  - 2006 - 1 episode(s)       - 25 min.               - Kids                                                                                                     - https://myanimelist.net/anime/19557
Ao Haru Ride                                                                                  - 7.84  - 2014 - 12 episode(s)      - 23 min. per ep.       - Comedy, Drama, Romance, School, Shoujo, Slice of Life                                                    - https://myanimelist.net/anime/21995
Aoharu x Kikanjuu                                                                             - 7.29  - 2015 - 12 episode(s)      - 24 min. per ep.       - Action, Comedy, Sports, Shounen                                                                          - https://myanimelist.net/anime/30205
Aoi Hana                                                                                      - 7.25  - 2009 - 11 episode(s)      - 22 min. per ep.       - Romance, Slice of Life, Shoujo Ai                                                                        - https://myanimelist.net/anime/6164
Aoshima Megu                                                                                  - 5.30  - 2017 - 1 episode(s)       - 45 sec.               - Adventure                                                                                                - https://myanimelist.net/anime/35933
Aquarion Logos                                                                                - 5.86  - 2015 - 26 episode(s)      - 24 min. per ep.       - Action, Comedy, Drama, Fantasy, Mecha, Romance, Sci-Fi                                                   - https://myanimelist.net/anime/30382
Arcana Famiglia                                                                               - 6.41  - 2012 - 12 episode(s)      - 24 min. per ep.       - Action, Harem, Supernatural, Romance, Shoujo                                                             - https://myanimelist.net/anime/12967
Arete Hime                                                                                    - 7.03  - 2001 - 1 episode(s)       - 1 hr. 45 min.         - Fantasy, Magic                                                                                           - https://myanimelist.net/anime/1028
Ariel Visual                                                                                  - 5.53  - 1989 - 2 episode(s)       - 28 min. per ep.       - Action, Comedy, Mecha, Sci-Fi                                                                            - https://myanimelist.net/anime/2839
Ark IX                                                                                        - 5.28  - 2013 - 1 episode(s)       - 11 min.               - Action                                                                                                   - https://myanimelist.net/anime/17395
