Title                                                                                                - Score - Year - Num Eps            - Duration              - Genre(s)                                                                                                                                                       - Link
Aikatsu Stars!                                                                                       - 7.36  - 2016 - 100 episode(s)     - 24 min. per ep.       - Music, Slice of Life, School, Shoujo                                                                                                                           - https://myanimelist.net/anime/32717
Air Gear                                                                                             - 7.65  - 2006 - 25 episode(s)      - 24 min. per ep.       - Action, Comedy, Ecchi, Shounen, Sports                                                                                                                         - https://myanimelist.net/anime/857
Air Master                                                                                           - 7.10  - 2003 - 27 episode(s)      - 24 min. per ep.       - Action, Comedy, Martial Arts, Seinen                                                                                                                           - https://myanimelist.net/anime/230
Air Soushuuhen                                                                                       - 6.43  - 2005 - 1 episode(s)       - 22 min.               - Supernatural, Drama, Romance                                                                                                                                   - https://myanimelist.net/anime/36032
Aishiteruze Baby★★                                                                                   - 7.55  - 2004 - 26 episode(s)      - 25 min. per ep.       - Comedy, Drama, Romance, Shoujo                                                                                                                                 - https://myanimelist.net/anime/102
Aiura                                                                                                - 6.79  - 2013 - 12 episode(s)      - 4 min. per ep.        - Comedy, School, Shounen, Slice of Life                                                                                                                         - https://myanimelist.net/anime/17082
Ajin 2nd Season OVA                                                                                  - N/A   - 2017 - 1 episode(s)       - 21 min.               - Action, Horror, Mystery, Seinen, Supernatural                                                                                                                  - https://myanimelist.net/anime/36625
Akadou Suzunosuke                                                                                    - 5.93  - 1972 - 52 episode(s)      - 24 min. per ep.       - Adventure, Historical                                                                                                                                          - https://myanimelist.net/anime/11275
Akai Jitensha                                                                                        - 4.02  - 1999 - 1 episode(s)       - 2 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/24999
Akai Koudan Zillion                                                                                  - 6.77  - 1987 - 31 episode(s)      - 24 min. per ep.       - Action, Adventure, Military, Sci-Fi, Shounen                                                                                                                   - https://myanimelist.net/anime/2688
Akakichi no Eleven                                                                                   - 6.83  - 1970 - 52 episode(s)      - 25 min. per ep.       - Sports                                                                                                                                                         - https://myanimelist.net/anime/2316
Akane-chan                                                                                           - 5.88  - 1968 - 26 episode(s)      - 26 min. per ep.       - Slice of Life, Comedy, School, Shoujo                                                                                                                          - https://myanimelist.net/anime/18635
Akebi no Hana: Maho                                                                                  - 5.78  - 2011 - 1 episode(s)       - 30 min.               - Hentai                                                                                                                                                         - https://myanimelist.net/anime/10552
Akihabara Dennou-gumi                                                                                - 6.66  - 1998 - 26 episode(s)      - 23 min. per ep.       - Adventure, Mecha, Sci-Fi, Shoujo                                                                                                                               - https://myanimelist.net/anime/2288
Akindo Sei no Little Peso                                                                            - 5.15  - 2017 - 12 episode(s)      - 3 min. per ep.        - Sci-Fi, Comedy                                                                                                                                                 - https://myanimelist.net/anime/34928
Akisutozeneko                                                                                        - 3.05  - 2001 - 1 episode(s)       - 2 min.                - Music                                                                                                                                                          - https://myanimelist.net/anime/35786
Akkun to Kanojo                                                                                      - N/A   - 2018 - Unknown episode(s) - 5 min.                - Comedy, Romance, School, Josei                                                                                                                                 - https://myanimelist.net/anime/36864
Akubi Girl                                                                                           - 6.16  - 2006 - 26 episode(s)      - 4 min. per ep.        - Comedy, Fantasy                                                                                                                                                - https://myanimelist.net/anime/6077
Akuei to Gacchinpo The Movie: Chelsea no Gyakushuu/Akuei to Mahou no Hammer                          - 4.13  - 2005 - 1 episode(s)       - 1 hr. 45 min.         - Kids, Magic, Comedy                                                                                                                                            - https://myanimelist.net/anime/29842
Akuma no Riddle                                                                                      - 6.78  - 2014 - 12 episode(s)      - 23 min. per ep.       - Action, School, Shoujo Ai                                                                                                                                      - https://myanimelist.net/anime/19429
Akuma-kun                                                                                            - 6.37  - 1989 - 42 episode(s)      - 25 min. per ep.       - Adventure, Fantasy, Horror, Magic, Supernatural                                                                                                                - https://myanimelist.net/anime/8194
Alade Suming Zhi Men                                                                                 - N/A   - 2017 - 20 episode(s)      - 14 min. per ep.       - Action, Adventure, Comedy, Fantasy                                                                                                                             - https://myanimelist.net/anime/35544
Alice SOS                                                                                            - 6.18  - 1998 - 28 episode(s)      - 19 min. per ep.       - Adventure                                                                                                                                                      - https://myanimelist.net/anime/8812
Alice Tantei Kyoku                                                                                   - 5.22  - 1995 - 56 episode(s)      - 12 min. per ep.       - Mystery, Kids, Fantasy                                                                                                                                         - https://myanimelist.net/anime/18819
Alice or Alice: Siscon Niisan to Futago no Imouto                                                    - N/A   - 2018 - Unknown episode(s) - 5 min.                - Slice of Life, Seinen                                                                                                                                          - https://myanimelist.net/anime/36001
Allison to Lillia                                                                                    - 7.39  - 2008 - 26 episode(s)      - 24 min. per ep.       - Action, Adventure, Shounen                                                                                                                                     - https://myanimelist.net/anime/3549
Alps Monogatari: Watashi no Annette Specials                                                         - 5.77  - 2001 - 2 episode(s)       - 45 min. per ep.       - Slice of Life, Drama                                                                                                                                           - https://myanimelist.net/anime/24647
Amagami SS+ Plus Specials                                                                            - 7.31  - 2012 - 6 episode(s)       - 3 min. per ep.        - Romance                                                                                                                                                        - https://myanimelist.net/anime/12669
Amai Choupatsu: Watashi wa Kanshuu Senyou Pet                                                        - N/A   - 2018 - Unknown episode(s) - Unknown               - Ecchi, Josei                                                                                                                                                   - https://myanimelist.net/anime/37320
Amanchu! Advance                                                                                     - N/A   - 2018 - 12 episode(s)      - 23 min. per ep.       - Comedy, School, Shounen, Slice of Life                                                                                                                         - https://myanimelist.net/anime/36800
