Title                                                                                                        - Score - Year - Num Eps       - Duration           - Genre(s)                                                                                    - Link

** Kouhai                                                                                                    - 7.26  - 2020 - 8 episodes    - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                           - https://myanimelist.net/anime/40658
Darker than Black: Kuro no Keiyakusha Gaiden                                                                 - 7.92  - 2010 - 4 episodes    - 24 min per ep      - Action, Mystery, Sci-Fi, Super Power                                                        - https://myanimelist.net/anime/7338
Darling Klaxon Baby                                                                                          - None  - 2021 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/55471
Darling in the FranXX                                                                                        - 7.21  - 2018 - 24 episodes   - 24 min per ep      - Action, Drama, Mecha, Romance, Sci-Fi                                                       - https://myanimelist.net/anime/35849
Darwin's Game                                                                                                - 7.23  - 2020 - 11 episodes   - 26 min per ep      - Action, High Stakes Game, Mystery, Sci-Fi, Shounen, Super Power, Survival                   - https://myanimelist.net/anime/38656
Dase! Ikevo Gakuen                                                                                           - None  - 2019 - 4 episodes    - 3 min per ep       - Comedy, Romance                                                                             - https://myanimelist.net/anime/42172
Date A Live III                                                                                              - 7.18  - 2019 - 12 episodes   - 24 min per ep      - Action, Harem, Mecha, Romance, School, Sci-Fi                                               - https://myanimelist.net/anime/36633
Datte Kyou made Koiwazurai                                                                                   - None  - 2022 - 1 episode     - 2 min              - Music                                                                                       - https://myanimelist.net/anime/54282
Day by Day (2023)                                                                                            - 6.28  - 2023 - 1 episode     - 1 min              - Fantasy, Music, Slice of Life                                                               - https://myanimelist.net/anime/55288
Dead Leaves                                                                                                  - 7.21  - 2004 - 1 episode     - 52 min             - Action, Comedy, Sci-Fi                                                                      - https://myanimelist.net/anime/974
Death March kara Hajimaru Isekai Kyousoukyoku                                                                - 6.46  - 2018 - 12 episodes   - 23 min per ep      - Adventure, Fantasy, Harem, Isekai                                                           - https://myanimelist.net/anime/34497
Death Parade                                                                                                 - 8.15  - 2015 - 12 episodes   - 23 min per ep      - Adult Cast, Drama, High Stakes Game, Psychological, Supernatural, Suspense                  - https://myanimelist.net/anime/28223
Deltora Quest                                                                                                - 7.07  - 2007 - 65 episodes   - 25 min per ep      - Adventure, Fantasy, Kids                                                                    - https://myanimelist.net/anime/1826
Demi-chan wa Kataritai                                                                                       - 7.54  - 2017 - 12 episodes   - 23 min per ep      - Comedy, Fantasy, Mythology, School, Seinen, Vampire                                         - https://myanimelist.net/anime/33988
Denki Groove 30-shuunen no Uta                                                                               - None  - 2019 - 1 episode     - 4 min              - Music                                                                                       - https://myanimelist.net/anime/55685
Dennou Senshi Dokan-kun                                                                                      - None  - 2007 - 11 episodes   - 6 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/36881
Dennou Sentai Voogie's★Angel: Forever and Ever                                                               - 6.00  - 1999 - 1 episode     - 1 hr 15 min        - Action, Comedy, Drama, Mecha, Sci-Fi                                                        - https://myanimelist.net/anime/17131
Denshinbashira Elemi no Koi                                                                                  - 6.15  - 2009 - 1 episode     - 44 min             - Award Winning, Fantasy                                                                      - https://myanimelist.net/anime/7718
Detective Conan OVA 02: 16 Suspects                                                                          - 7.32  - 2002 - 1 episode     - 25 min             - Adventure, Comedy, Detective, Mystery, Shounen                                              - https://myanimelist.net/anime/2512
Detective Conan: Haibara Ai Monogatari - Kurogane no Mystery Train                                           - 7.18  - 2023 - 1 episode     - 1 hr 30 min        - Detective, Mystery, Shounen                                                                 - https://myanimelist.net/anime/53780
Detective Conan: Happy New Year Special                                                                      - 6.99  - 2015 - 1 episode     - 24 min             - Action, Comedy, Detective, Mystery, Shounen                                                 - https://myanimelist.net/anime/29437
Detective Conan                                                                                              - 8.17  - 1996 - Ongoing       - 25 min             - Adventure, Comedy, Detective, Mystery, Shounen                                              - https://myanimelist.net/anime/235
Devilman: Crybaby                                                                                            - 7.75  - 2018 - 10 episodes   - 25 min per ep      - Action, Avant Garde, Gore, Horror, Mythology, Shounen, Supernatural                         - https://myanimelist.net/anime/35120
Digimon X-Evolution                                                                                          - 7.07  - 2005 - 1 episode     - 1 hr 20 min        - Action, Adventure, Fantasy, Sci-Fi                                                          - https://myanimelist.net/anime/2123
Digital Juice                                                                                                - 5.46  - 2002 - 6 episodes    - 3 min per ep       - Comedy, Psychological                                                                       - https://myanimelist.net/anime/1105
Dimension W                                                                                                  - 7.19  - 2016 - 12 episodes   - 24 min per ep      - Action, Sci-Fi, Seinen                                                                      - https://myanimelist.net/anime/31163
Dirty Pair Flash                                                                                             - 6.58  - 1994 - 6 episodes    - 26 min per ep      - Action, Adventure, Comedy, Detective, Ecchi, Sci-Fi                                         - https://myanimelist.net/anime/1802
Dirty Pair: Bouryaku no 005-bin                                                                              - 6.75  - 1990 - 1 episode     - 59 min             - Action, Adventure, Comedy, Detective, Sci-Fi                                                - https://myanimelist.net/anime/1795
Dirty Pair: Lovely Angels yori Ai wo Komete                                                                  - 7.04  - 1987 - 2 episodes    - 24 min per ep      - Action, Adventure, Comedy, Detective, Sci-Fi                                                - https://myanimelist.net/anime/1803
Discipline Zero                                                                                              - 6.57  - 2010 - 2 episodes    - 28 min per ep      - Hentai                                                                                      - https://myanimelist.net/anime/7456
Divergence Eve 2: Misaki Chronicles                                                                          - 6.43  - 2004 - 13 episodes   - 24 min per ep      - Adventure, Drama, Mecha, Military, Sci-Fi, Space                                            - https://myanimelist.net/anime/295
Divine Gate                                                                                                  - 5.54  - 2016 - 12 episodes   - 23 min per ep      - Action, Fantasy, Sci-Fi                                                                     - https://myanimelist.net/anime/31710
Do S na Seitokaichou-sama ga M Note ni Shihai Saremashita.                                                   - 6.45  - 2018 - 4 episodes    - 22 min per ep      - Hentai, School                                                                              - https://myanimelist.net/anime/36721
Doamaiger D                                                                                                  - 5.31  - 2015 - 13 episodes   - 2 min per ep       - Action, Comedy, Gourmet, Mecha, Parody                                                      - https://myanimelist.net/anime/27785
Dog Attacks Human                                                                                            - None  - 2021 - 1 episode     - 3 min              - Avant Garde, Comedy, Music                                                                  - https://myanimelist.net/anime/53920
Dog Days Recap                                                                                               - 6.44  - 2015 - 1 episode     - 24 min             - Action, Adventure, Fantasy                                                                  - https://myanimelist.net/anime/29413
Dog Days''                                                                                                   - 6.87  - 2015 - 12 episodes   - 23 min per ep      - Action, Adventure, Fantasy, Isekai                                                          - https://myanimelist.net/anime/16385
Dogeza de Tanondemita: Isekai-hen                                                                            - 5.67  - 2021 - 1 episode     - 3 min              - Comedy, Ecchi, Fantasy                                                                      - https://myanimelist.net/anime/42990
Dokidoki! Mini Mini! Kakushi Dungeon Gekijou                                                                 - 5.87  - 2021 - 14 episodes   - 1 min per ep       - Comedy, Fantasy                                                                             - https://myanimelist.net/anime/45658
Dokuhaku Suru Universal Yoko Mercator Egg Man                                                                - None  - 2009 - 1 episode     - 42 min             - Detective, Mystery, Suspense                                                                - https://myanimelist.net/anime/53155
Dolls' Frontline                                                                                             - 5.88  - 2022 - 12 episodes   - 24 min per ep      - Action, Drama, Military, Sci-Fi                                                             - https://myanimelist.net/anime/46604
Domestic na Kanojo                                                                                           - 6.67  - 2019 - 12 episodes   - 25 min per ep      - Drama, Love Polygon, Romance, School, Shounen                                               - https://myanimelist.net/anime/37982
Dongfang Shen Wa 2nd Season                                                                                  - None  - 2009 - 52 episodes   - 12 min per ep      - Adventure, Kids, Mythology                                                                  - https://myanimelist.net/anime/44169
Dongwu Kuanghuan Jie                                                                                         - None  - 2009 - 1 episode     - 1 min              - Anthropomorphic, Comedy, Fantasy                                                            - https://myanimelist.net/anime/52706
Dongwu Tegong Ju                                                                                             - None  - 2020 - 1 episode     - 1 hr 38 min        - Adventure, Fantasy, Kids                                                                    - https://myanimelist.net/anime/45111
Doraemon Meets Hattori the Ninja                                                                             - 6.84  - 1982 - 1 episode     - 23 min             - Comedy, Kids, Sci-Fi, Shounen                                                               - https://myanimelist.net/anime/2630
Doraemon and Itchy the Stray                                                                                 - 6.53  - 1987 - 1 episode     - 22 min             - Comedy, Kids, Sci-Fi, Shounen                                                               - https://myanimelist.net/anime/2629
Doraemon: Doraemon Comes Back                                                                                - 7.01  - 1981 - 1 episode     - 21 min             - Comedy, Fantasy, Kids, Sci-Fi, Shounen                                                      - https://myanimelist.net/anime/2634
Doraemon: Time Machine de Oshougatsu                                                                         - 6.50  - 1980 - 1 episode     - 22 min             - Adventure, Comedy, Kids, Sci-Fi, Shounen                                                    - https://myanimelist.net/anime/2632
Dorei Kaigo                                                                                                  - 6.15  - 2003 - 3 episodes    - 24 min per ep      - Hentai                                                                                      - https://myanimelist.net/anime/3538
Dorohedoro                                                                                                   - 8.05  - 2020 - 12 episodes   - 23 min per ep      - Action, Comedy, Fantasy, Gore, Horror, Seinen                                               - https://myanimelist.net/anime/38668
Dororo Pilot                                                                                                 - 5.76  - 1968 - 1 episode     - 14 min             - Action, Shounen                                                                             - https://myanimelist.net/anime/11471
Dororo                                                                                                       - 8.24  - 2019 - 24 episodes   - 24 min per ep      - Action, Adventure, Historical, Mythology, Samurai, Shounen, Supernatural                    - https://myanimelist.net/anime/37520
Dosanko Gal wa Namara Menkoi                                                                                 - None  - 2024 - Ongoing       - Unknown            - Comedy, Romantic Subtext, School, Shounen                                                   - https://myanimelist.net/anime/53421
Doukyonin wa Hiza, Tokidoki, Atama no Ue.                                                                    - 7.73  - 2019 - 12 episodes   - 23 min per ep      - Adult Cast, Pets, Slice of Life                                                             - https://myanimelist.net/anime/38145
Douluo Dalu                                                                                                  - 7.86  - 2018 - 26 episodes   - 20 min per ep      - Action, Adventure, Fantasy, Historical, Martial Arts, Reincarnation, Romance                - https://myanimelist.net/anime/37150
Doupo Cangqiong: Q Ban Xiao Juchang                                                                          - None  - 2017 - 12 episodes   - 5 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/47548
Doupo Cangqiong                                                                                              - 7.22  - 2017 - 12 episodes   - 20 min per ep      - Action, Adventure, Comedy, Romance, Supernatural                                            - https://myanimelist.net/anime/36491
Dr. Slump: Arale-chan '92 Oshougatsu Special                                                                 - 5.89  - 1992 - 3 episodes    - 28 min per ep      - Comedy, Gag Humor, Sci-Fi, Shounen                                                          - https://myanimelist.net/anime/28367
Dr. Slump: Arale-chan - Penguin Mura Eiyuu Densetsu                                                          - 5.98  - 1982 - 1 episode     - 46 min             - Comedy, Gag Humor, Sci-Fi, Shounen                                                          - https://myanimelist.net/anime/28371
Dr. Stone: Stone Wars                                                                                        - 8.17  - 2021 - 11 episodes   - 24 min per ep      - Adventure, Comedy, Sci-Fi, Shounen, Survival, Time Travel                                   - https://myanimelist.net/anime/40852
Dragon Ball Z: Atsumare! Gokuu World                                                                         - 6.43  - 1992 - 1 episode     - 30 min             - Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power                      - https://myanimelist.net/anime/6714
Dragon Crisis!                                                                                               - 6.63  - 2011 - 12 episodes   - 23 min per ep      - Action, Romance, School, Supernatural                                                       - https://myanimelist.net/anime/9330
Dream Collaboration Festival: DoriKora Fes. - Aikatsu! Series & Pretty Series                                - None  - 2023 - 1 episode     - 1 hr 10 min        - Idols (Female), Music                                                                       - https://myanimelist.net/anime/54263
Dream On                                                                                                     - None  - 2021 - 1 episode     - 3 min              - Fantasy, Idols (Male), Music                                                                - https://myanimelist.net/anime/55859
Dream                                                                                                        - 5.89  - 2020 - 1 episode     - 6 min              - Adventure, Fantasy, Kids, Music                                                             - https://myanimelist.net/anime/41135
Dreamland                                                                                                    - 6.02  - 2018 - 1 episode     - 5 min              - Avant Garde, Music                                                                          - https://myanimelist.net/anime/51051
Druaga no Tou: The Sword of Uruk                                                                             - 7.19  - 2009 - 12 episodes   - 24 min per ep      - Adventure, Fantasy                                                                          - https://myanimelist.net/anime/4726
Du Dang Man                                                                                                  - None  - 2019 - 24 episodes   - 13 min per ep      - Kids                                                                                        - https://myanimelist.net/anime/47663
Duanzi Gou Riji                                                                                              - None  - 2016 - 71 episodes   - 30 sec per ep      - Comedy                                                                                      - https://myanimelist.net/anime/47279
Duchiwa Ppukku                                                                                               - None  - 1996 - 26 episodes   - Unknown            - Comedy, Kids, Supernatural                                                                  - https://myanimelist.net/anime/48172
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA                                              - 6.46  - 2020 - 1 episode     - 26 min             - Adventure, Comedy, Ecchi, Fantasy                                                           - https://myanimelist.net/anime/40453
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen                         - 8.24  - 2023 - 11 episodes   - 24 min per ep      - Action, Adventure, Fantasy                                                                  - https://myanimelist.net/anime/53111
Duobiao                                                                                                      - None  - 2010 - 1 episode     - 1 hr 24 min        - Kids, Sports                                                                                - https://myanimelist.net/anime/44744
Durarara!!                                                                                                   - 8.11  - 2010 - 24 episodes   - 24 min per ep      - Action, Mystery, Supernatural                                                               - https://myanimelist.net/anime/6746
Durarara!!x2 Ketsu                                                                                           - 8.06  - 2016 - 12 episodes   - 24 min per ep      - Action, Mystery, Supernatural                                                               - https://myanimelist.net/anime/27833
Durarara!!x2 Shou                                                                                            - 7.98  - 2015 - 12 episodes   - 24 min per ep      - Action, Mystery, Supernatural                                                               - https://myanimelist.net/anime/23199
Durarara!!x2 Ten: Onoroke Chakapoko                                                                          - 7.53  - 2016 - 1 episode     - 24 min             - Action, Mystery, Supernatural                                                               - https://myanimelist.net/anime/31552
Dushi Miao Qitan                                                                                             - None  - 2021 - 20 episodes   - 17 min per ep      - Supernatural                                                                                - https://myanimelist.net/anime/45997
Easy Breezy                                                                                                  - 7.16  - 2020 - 1 episode     - 3 min              - Avant Garde, Music                                                                          - https://myanimelist.net/anime/55077
Eat-Man                                                                                                      - 6.37  - 1997 - 12 episodes   - 24 min per ep      - Action, Adventure, Sci-Fi, Shounen, Super Power                                             - https://myanimelist.net/anime/1704
Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA                                                               - 6.32  - 2013 - 1 episode     - 26 min             - Comedy, Ecchi, Parody, School, Shounen                                                      - https://myanimelist.net/anime/14889
Ecchan no Sensou                                                                                             - None  - 2002 - 1 episode     - 1 hr 20 min        - Drama, Historical                                                                           - https://myanimelist.net/anime/19907
Echolocation                                                                                                 - 5.66  - 2014 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/36069
Egao no Daika                                                                                                - 6.03  - 2019 - 12 episodes   - 23 min per ep      - Action, Drama, Fantasy, Mecha, Military, Sci-Fi                                             - https://myanimelist.net/anime/38544
Egao no Hanataba                                                                                             - None  - 2023 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/54168
Eguchi Hisashi no Nantoka Narudesho!                                                                         - 4.67  - 1990 - 1 episode     - 33 min             - Comedy, Horror, Parody, Shoujo, Supernatural                                                - https://myanimelist.net/anime/5554
Eien no 831                                                                                                  - 5.24  - 2022 - 1 episode     - 1 hr 45 min        -                                                                                             - https://myanimelist.net/anime/49532
Eikoku Ikka, Nihon wo Taberu: English Ikka, Shougatsu wo Taberu                                              - None  - 2016 - 1 episode     - 49 min             - Comedy, Gourmet, Slice of Life                                                              - https://myanimelist.net/anime/32010
Eiyuu Kyoushitsu OVA                                                                                         - None  - 2024 - 3 episodes    - 10 min per ep      - Action, Ecchi, Fantasy, Harem, School                                                       - https://myanimelist.net/anime/55806
Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀                              - 6.57  - 2023 - 12 episodes   - 23 min per ep      - Action, Fantasy, Reincarnation                                                              - https://myanimelist.net/anime/50481
Eizouken Mini Anime                                                                                          - 5.55  - 2020 - 13 episodes   - 1 min per ep       - Comedy, Otaku Culture                                                                       - https://myanimelist.net/anime/41454
Eizouken ni wa Te wo Dasu na!                                                                                - 8.13  - 2020 - 12 episodes   - 25 min per ep      - Adventure, Award Winning, Comedy, Otaku Culture, School, Seinen                             - https://myanimelist.net/anime/39792
Ekimemo!                                                                                                     - None  - 2018 - 3 episodes    - 3 min per ep       - Video Game                                                                                  - https://myanimelist.net/anime/36973
Eko Eko Azarak                                                                                               - 5.81  - 2007 - 1 episode     - 24 min             - Fantasy, Horror                                                                             - https://myanimelist.net/anime/6267
El Hazard: The Alternative World                                                                             - 6.79  - 1998 - 13 episodes   - 25 min per ep      - Adventure, Comedy, Fantasy                                                                  - https://myanimelist.net/anime/115
Elf 17                                                                                                       - 5.78  - 1987 - 1 episode     - 29 min             - Adventure, Comedy, Martial Arts, Mecha                                                      - https://myanimelist.net/anime/9324
Elleair x Kamiusagi Rope                                                                                     - None  - 2018 - Ongoing       - 1 min              - Comedy, Slice of Life                                                                       - https://myanimelist.net/anime/37850
Emerald no Oka                                                                                               - 5.76  - 2014 - 1 episode     - 4 min              - Drama, Music                                                                                - https://myanimelist.net/anime/39939
Emiya-san Chi no Kyou no Gohan                                                                               - 7.79  - 2018 - 13 episodes   - 13 min per ep      - Comedy, Gourmet, Iyashikei, Slice of Life                                                   - https://myanimelist.net/anime/37033
Encore                                                                                                       - 6.79  - 2021 - 1 episode     - 4 min              - Music                                                                                       - https://myanimelist.net/anime/49103
End Like This                                                                                                - None  - 2021 - 1 episode     - 2 min              - Action, Fantasy, Music                                                                      - https://myanimelist.net/anime/55372
Endro~!                                                                                                      - 6.92  - 2019 - 12 episodes   - 23 min per ep      - CGDCT, Fantasy, Slice of Life                                                               - https://myanimelist.net/anime/38062
Enen no Shouboutai Mini Anime                                                                                - 6.08  - 2021 - 30 episodes   - 1 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/45999
Eomma Chaja Sammanli                                                                                         - None  - 1981 - 1 episode     - 1 hr 23 min        - Adventure, Drama, Kids                                                                      - https://myanimelist.net/anime/45645
Ero Ishi: Seijun Bishoujo wo Kotoba Takumi ni Hametai Houdai                                                 - 6.25  - 2022 - 4 episodes    - 24 min per ep      - Hentai                                                                                      - https://myanimelist.net/anime/50434
Eromanga-sensei OVA                                                                                          - 6.81  - 2019 - 2 episodes    - 23 min per ep      - Comedy, Drama, Ecchi, Romance                                                               - https://myanimelist.net/anime/36792
Eunhajeonseol Tera                                                                                           - None  - 1983 - 1 episode     - 1 hr 11 min        - Action, Adventure, Sci-Fi, Space                                                            - https://myanimelist.net/anime/18307
Eureka Seven AO: One More Time - Lord Don't Slow Me Down                                                     - 6.64  - 2017 - 5 episodes    - 4 min per ep       - Action, Adventure, Drama, Mecha, Sci-Fi                                                     - https://myanimelist.net/anime/34776
Ex-Arm                                                                                                       - 2.90  - 2021 - 12 episodes   - 23 min per ep      - Action, Sci-Fi, Seinen                                                                      - https://myanimelist.net/anime/38853
Examurai Sengoku                                                                                             - 6.22  - 2009 - 24 episodes   - 12 min per ep      - Action, Martial Arts, Samurai, Sci-Fi                                                       - https://myanimelist.net/anime/5883
Extra                                                                                                        - 5.96  - 1995 - 1 episode     - 3 min              - Action, Avant Garde, Horror, Music, Sci-Fi                                                  - https://myanimelist.net/anime/3525
Fadian Zhi Mi: Haidi Tao Fa                                                                                  - None  - 2010 - 1 episode     - 1 hr 45 min        - Adventure, Fantasy, Kids                                                                    - https://myanimelist.net/anime/44748
Fanren Xiu Xian Chuan: Yan Jia Bao Dazhan                                                                    - 7.26  - 2021 - 4 episodes    - 18 min per ep      - Action, Adventure, Fantasy, Historical, Martial Arts                                        - https://myanimelist.net/anime/45558
Fantasy Bishoujo Juniku Ojisan to                                                                            - 7.15  - 2022 - 12 episodes   - 23 min per ep      - Adult Cast, Adventure, Comedy, Fantasy, Isekai, Magical Sex Shift, Parody                   - https://myanimelist.net/anime/48997
Fate/Extra: Last Encore                                                                                      - 6.29  - 2018 - 10 episodes   - 24 min per ep      - Action, Fantasy                                                                             - https://myanimelist.net/anime/33047
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon Specials                                   - None  - 2022 - 2 episodes    - 1 hr 45 min per ep - Adventure, Fantasy                                                                          - https://myanimelist.net/anime/51410
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai - Kuro Sakura no Heya                                  - 6.71  - 2018 - 1 episode     - 6 min              - Parody, Slice of Life                                                                       - https://myanimelist.net/anime/36833
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly                                                    - 8.50  - 2019 - 1 episode     - 1 hr 57 min        - Action, Fantasy, Supernatural                                                               - https://myanimelist.net/anime/33049
Fate/stay night Movie: Unlimited Blade Works                                                                 - 7.38  - 2010 - 1 episode     - 1 hr 45 min        - Action, Fantasy, Supernatural                                                               - https://myanimelist.net/anime/6922
Fate/stay night TV Reproduction                                                                              - 6.83  - 2010 - 2 episodes    - 1 hr per ep        - Action, Fantasy, Romance, Supernatural                                                      - https://myanimelist.net/anime/7559
Fate/stay night                                                                                              - 7.28  - 2006 - 24 episodes   - 24 min per ep      - Action, Fantasy, Romance, Supernatural                                                      - https://myanimelist.net/anime/356
Fei Ren Zai 1st Season Part 2                                                                                - 6.94  - 2020 - 12 episodes   - 6 min per ep       - Comedy, Mythology, Supernatural                                                             - https://myanimelist.net/anime/42454
Fei Ren Zai 2nd Season Part 2                                                                                - None  - 2023 - 12 episodes   - 5 min per ep       - Comedy, Mythology, Supernatural                                                             - https://myanimelist.net/anime/54061
Fen Qing                                                                                                     - 5.37  - 2015 - 1 episode     - 4 min              - Music                                                                                       - https://myanimelist.net/anime/30534
Fight Ippatsu! Juuden-chan!! OVA                                                                             - 6.32  - 2014 - 1 episode     - 45 min             - Comedy, Ecchi, Sci-Fi, Seinen                                                               - https://myanimelist.net/anime/21599
Fire Emblem                                                                                                  - 5.63  - 1996 - 2 episodes    - 27 min per ep      - Action, Adventure, Fantasy                                                                  - https://myanimelist.net/anime/2782
Flaglia: Natsuyasumi no Monogatari                                                                           - 5.32  - 2023 - 6 episodes    - 12 min per ep      - Fantasy                                                                                     - https://myanimelist.net/anime/53424
Flanders no Inu                                                                                              - 7.37  - 1975 - 52 episodes   - 26 min per ep      - Drama, Historical, Pets, Slice of Life, Visual Arts                                         - https://myanimelist.net/anime/2553
Float Play                                                                                                   - None  - 2023 - 1 episode     - 4 min              - Music                                                                                       - https://myanimelist.net/anime/55321
Fly High                                                                                                     - None  - 2002 - 1 episode     - 3 min              - Avant Garde, Music, Racing, Sci-Fi                                                          - https://myanimelist.net/anime/53921
Fondant Step                                                                                                 - 6.01  - 2021 - 1 episode     - 4 min              - Music                                                                                       - https://myanimelist.net/anime/51480
Forest Fairy Five                                                                                            - 3.34  - 2017 - 13 episodes   - 10 min per ep      - Comedy, Fantasy, Music                                                                      - https://myanimelist.net/anime/34223
Forever Only (SHINDRUM Remix)                                                                                - None  - 2023 - 1 episode     - 3 min              - Music                                                                                       - https://myanimelist.net/anime/55175
Forsaken                                                                                                     - 5.64  - 2008 - 1 episode     - 5 min              - Music, Vampire                                                                              - https://myanimelist.net/anime/11795
Fox Wood Monogatari                                                                                          - None  - 1991 - 3 episodes    - 25 min per ep      - Adventure, Kids                                                                             - https://myanimelist.net/anime/23967
Fractale                                                                                                     - 6.92  - 2011 - 11 episodes   - 23 min per ep      - Adventure, Fantasy, Sci-Fi                                                                  - https://myanimelist.net/anime/9314
Freezing                                                                                                     - 6.80  - 2011 - 12 episodes   - 24 min per ep      - Action, Drama, Ecchi, Romance, Sci-Fi, Seinen                                               - https://myanimelist.net/anime/9367
Fuaxiao Chuanqi                                                                                              - None  - 2018 - 1 episode     - 1 hr 8 min         - Mystery, Sci-Fi                                                                             - https://myanimelist.net/anime/45068
Fukai ni Nemuru Oujo no Abaddon The Animation                                                                - 5.67  - 2020 - 1 episode     - 24 min             - Hentai                                                                                      - https://myanimelist.net/anime/41211
Fukigen na Mononokean Tsuzuki                                                                                - 7.57  - 2019 - 13 episodes   - 23 min per ep      - Comedy, Mythology, Supernatural                                                             - https://myanimelist.net/anime/37958
Full Metal Panic! Movie 2: One Night Stand                                                                   - 6.99  - 2018 - 1 episode     - 1 hr 25 min        - Action, Comedy, Mecha, Military, Sci-Fi                                                     - https://myanimelist.net/anime/36343
Full Metal Panic! Movie 3: Into the Blue                                                                     - 7.01  - 2018 - 1 episode     - 2 hr               - Action, Comedy, Mecha, Military, Sci-Fi                                                     - https://myanimelist.net/anime/36344
Full Metal Panic!                                                                                            - 7.61  - 2002 - 24 episodes   - 24 min per ep      - Action, Comedy, Mecha, Military, Sci-Fi                                                     - https://myanimelist.net/anime/71
Funassyi to Yukaina Kyoudai                                                                                  - None  - 2015 - 4 episodes    - 3 min per ep       - Comedy, Kids                                                                                - https://myanimelist.net/anime/30556
Funny Pets                                                                                                   - 5.02  - 2006 - 12 episodes   - 6 min per ep       - Comedy                                                                                      - https://myanimelist.net/anime/2232
Fushigi no Yappo Shima: Pukipuki to Poi                                                                      - None  - 2012 - 25 episodes   - 5 min per ep       - Kids                                                                                        - https://myanimelist.net/anime/33842
Fussa-shi PR Anime                                                                                           - 5.57  - 2017 - 2 episodes    - 4 min per ep       - Slice of Life                                                                               - https://myanimelist.net/anime/34746
Futari wa Precure: Splash☆Star Maji★Doki♥ Theater                                                            - 6.25  - 2008 - 1 episode     - 12 min             - Action, Comedy, Fantasy, Mahou Shoujo, Shoujo                                               - https://myanimelist.net/anime/26053
Futon no Naka kara Detakunai                                                                                 - 6.53  - 2018 - 1 episode     - 4 min              - Comedy, Music, Slice of Life                                                                - https://myanimelist.net/anime/38658
Futsal Boys!!!!!                                                                                             - 5.46  - 2022 - 12 episodes   - 24 min per ep      - Sports, Team Sports                                                                         - https://myanimelist.net/anime/40488
Future Card Buddyfight                                                                                       - 6.71  - 2014 - 64 episodes   - 24 min per ep      - Strategy Game                                                                               - https://myanimelist.net/anime/19067
Fuuka                                                                                                        - 6.51  - 2017 - 12 episodes   - 24 min per ep      - Drama, Ecchi, Music, Romance, School, Shounen                                               - https://myanimelist.net/anime/33743
GJ-bu                                                                                                        - 7.30  - 2013 - 12 episodes   - 23 min per ep      - Comedy, School, Slice of Life                                                               - https://myanimelist.net/anime/14811
GR: Giant Robo                                                                                               - 6.31  - 2007 - 13 episodes   - 25 min per ep      - Adventure, Mecha, Military, Sci-Fi, Shounen                                                 - https://myanimelist.net/anime/3146
