Title                                                                                                        - Score - Year - Num Eps       - Duration           - Genre(s)                                                                                    - Link

** Kouhai                                                                                                    - 7.26  - 2020 - 8 episodes    - 16 min per ep      - Fantasy, Harem, Hentai, Mythology                                                           - https://myanimelist.net/anime/40658
Aerover: Seupeiseu Drone Gwihwan                                                                             - None  - 2018 - 13 episodes   - 14 min per ep      - Action, Comedy, Sports                                                                      - https://myanimelist.net/anime/48510
Afro Samurai Pilot                                                                                           - 6.69  - 2003 - 1 episode     - 3 min              - Action, Martial Arts, Samurai                                                               - https://myanimelist.net/anime/27939
Afro Samurai: Resurrection                                                                                   - 7.34  - 2009 - 1 episode     - 1 hr 40 min        - Action, Adventure, Gore, Samurai                                                            - https://myanimelist.net/anime/4970
Agigongryong Doolie (2009)                                                                                   - 5.73  - 2009 - 26 episodes   - 20 min per ep      - Adventure, Kids                                                                             - https://myanimelist.net/anime/17090
Ai Shoujo Pollyanna Story                                                                                    - 6.97  - 1986 - 51 episodes   - 25 min per ep      - Drama, Historical, Slice of Life                                                            - https://myanimelist.net/anime/2554
Ai no Kusabi (2012)                                                                                          - 6.56  - 2012 - 4 episodes    - 25 min per ep      - Boys Love, Drama, Erotica, Sci-Fi                                                           - https://myanimelist.net/anime/5784
Ai no Wakakusa Monogatari                                                                                    - 7.38  - 1987 - 48 episodes   - 24 min per ep      - Drama, Historical, Slice of Life                                                            - https://myanimelist.net/anime/2548
Ai wa KAT-TUN                                                                                                - 5.12  - 2012 - 5 episodes    - 53 sec per ep      - Comedy                                                                                      - https://myanimelist.net/anime/12865
Aikatsu Planet!                                                                                              - 6.48  - 2021 - 24 episodes   - 10 min per ep      - Idols (Female), Music, School, Slice of Life                                                - https://myanimelist.net/anime/42653
Aikatsu! 10th Story: Mirai e no Starway (2023)                                                               - 7.00  - 2023 - 1 episode     - 1 hr 12 min        - Idols (Female), Music                                                                       - https://myanimelist.net/anime/53499
Ain't Seen Nothing Like This                                                                                 - None  - 2022 - 1 episode     - 2 min              - Action, Music                                                                               - https://myanimelist.net/anime/55364
Air                                                                                                          - 7.28  - 2005 - 12 episodes   - 24 min per ep      - Drama, Romance, Supernatural                                                                - https://myanimelist.net/anime/101
Ajin                                                                                                         - 7.40  - 2016 - 13 episodes   - 24 min per ep      - Action, Gore, Horror, Mystery, Seinen, Supernatural                                         - https://myanimelist.net/anime/31580
Ajisai no Chiru Koro ni                                                                                      - 6.45  - 2021 - 1 episode     - 16 min             - Hentai                                                                                      - https://myanimelist.net/anime/43467
Akachan Honbuchou 2nd Season                                                                                 - None  - 2022 - 8 episodes    - 5 min per ep       - Comedy, Seinen, Workplace                                                                   - https://myanimelist.net/anime/51132
Akagami no Shirayuki-hime 2nd Season                                                                         - 7.97  - 2016 - 12 episodes   - 24 min per ep      - Drama, Fantasy, Romance, Shoujo                                                             - https://myanimelist.net/anime/31173
