Title                                                                                                - Score - Year - Num Eps            - Duration             - Genre(s)                                                                                                                                                       - Link
Animation Seisaku Shinkou Kuromi-chan                                                                - 7.00  - 2001 - 1 episode(s)       - 38 min.              - Comedy, Parody, Drama                                                                                                                                          - https://myanimelist.net/anime/1797
Anime Sanjuushi: Aramis no Bouken                                                                    - 6.71  - 1989 - 1 episode(s)       - 45 min.              - Adventure, Historical, Romance                                                                                                                                 - https://myanimelist.net/anime/2334
Anitore! XX: Jigoku no Training                                                                      - N/A   - 2017 - 6 episode(s)       - 4 min. per ep.       - Ecchi, Sports                                                                                                                                                  - https://myanimelist.net/anime/35926
Ano Hi no Kanojo-tachi                                                                               - N/A   - 2018 - Unknown episode(s) - 1 min.               - Slice of Life                                                                                                                                                  - https://myanimelist.net/anime/37589
Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen                                                  - 7.91  - 2016 - 8 episode(s)       - 5 min. per ep.       - Action, Comedy, School, Shounen                                                                                                                                - https://myanimelist.net/anime/32863
Anzen no Shiteiseki Child Seat                                                                       - 4.22  - 2007 - 1 episode(s)       - 16 min.              - Kids                                                                                                                                                           - https://myanimelist.net/anime/35172
Aoi Triton                                                                                           - 6.31  - 2002 - 1 episode(s)       - 8 min.               -                                                                                                                                                                - https://myanimelist.net/anime/36163
Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo                                                 - 6.24  - 2006 - 1 episode(s)       - 24 min.              - Action, Adventure, Fantasy, Magic, Sci-Fi                                                                                                                      - https://myanimelist.net/anime/1202
Arcana Famiglia: Capriccio - stile Arcana Famiglia                                                   - 6.93  - 2013 - 1 episode(s)       - 23 min.              - Romance, Shoujo                                                                                                                                                - https://myanimelist.net/anime/15411
Arei no Kagami: Way to the Virgin Space                                                              - 5.94  - 1985 - 1 episode(s)       - 25 min.              - Action, Adventure, Sci-Fi, Space                                                                                                                               - https://myanimelist.net/anime/7156
Argento Soma Special                                                                                 - 6.51  - 2002 - 1 episode(s)       - 25 min.              - Action, Mecha, Sci-Fi                                                                                                                                          - https://myanimelist.net/anime/1789
Arion                                                                                                - 6.29  - 1986 - 1 episode(s)       - 2 hr.                - Action, Adventure, Fantasy, Magic, Drama, Seinen                                                                                                               - https://myanimelist.net/anime/791
Aru Tabibito no Nikki                                                                                - 7.24  - 2003 - 6 episode(s)       - 3 min. per ep.       - Adventure, Fantasy                                                                                                                                             - https://myanimelist.net/anime/1205
Arve Rezzle: Kikaijikake no Yousei-tachi                                                             - 6.38  - 2013 - 1 episode(s)       - 24 min.              - Action, Thriller, Drama, Mystery, Sci-Fi                                                                                                                       - https://myanimelist.net/anime/13863
Asari-chan: Ai no Marchen Shoujo                                                                     - 6.23  - 1982 - 1 episode(s)       - 24 min.              - Adventure, Shoujo, Slice of Life                                                                                                                               - https://myanimelist.net/anime/6630
Ashiaraiyashiki no Juunin-tachi.                                                                     - 5.05  - 2010 - 1 episode(s)       - 6 min.               - Action, Fantasy, Supernatural, Seinen                                                                                                                          - https://myanimelist.net/anime/8064
Ashita Kirarin                                                                                       - 5.94  - 2004 - 1 episode(s)       - 26 min.              - Drama, Kids                                                                                                                                                    - https://myanimelist.net/anime/32255
Ashita no Joe (Movie)                                                                                - 7.24  - 1980 - 1 episode(s)       - 2 hr. 33 min.        - Action, Drama, Shounen, Sports                                                                                                                                 - https://myanimelist.net/anime/2920
Asience: Kami wa Onna no Inochi                                                                      - 6.35  - 2007 - 1 episode(s)       - 1 min.               - Historical, Samurai                                                                                                                                            - https://myanimelist.net/anime/5168
Asu wo Tsukutta Otoko: Tanabe Sakurou to Biwako Sosui                                                - 5.62  - 2003 - 1 episode(s)       - 1 hr. 10 min.        - Historical                                                                                                                                                     - https://myanimelist.net/anime/28091
